band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,census_code
2575,2250,2915,2158,2975,2217,2822,2666,2647,2570,2373,2805,2575,2250,2915,2158,2975,2217,2822,2666,2647,2570,2373,2805,2575,2250,2915,2158,2975,2217,2822,2666,2647,2570,2373,2805,2575,2250,2915,2158,2975,2217,2822,2666,2647,2570,2373,2805,2575,2250,2915,2158,2975,2217,2822,2666,2647,2570,2373,2805,2575,2250,2915,2158,2975,2217,2822,2666,2647,2570,2373,2805,2575,2250,2915,2158,2975,2217,2822,2666,2647,2570,2373,2805,2575,2250,2915,2158,2975,2217,2822,2666,2647,2570,2373,2805,2575,2250,2915,2158,2975,2217,2822,2666,2647,2570,2373,2805,2575,2250,2915,2158,2975,2217,2822,2666,2647,2570,2373,2805,2575,2250,2915,2158,2975,2217,2822,2666,2647,2570,2373,2805,2575,2250,2915,2158,2975,2217,2822,2666,2647,2570,2373,2805,498
1394,1549,1602,1192,1611,1721,1488,1550,1562,1441,1583,1537,1394,1549,1602,1192,1611,1721,1488,1550,1562,1441,1583,1537,1394,1549,1602,1192,1611,1721,1488,1550,1562,1441,1583,1537,1394,1549,1602,1192,1611,1721,1488,1550,1562,1441,1583,1537,1394,1549,1602,1192,1611,1721,1488,1550,1562,1441,1583,1537,1394,1549,1602,1192,1611,1721,1488,1550,1562,1441,1583,1537,1394,1549,1602,1192,1611,1721,1488,1550,1562,1441,1583,1537,1394,1549,1602,1192,1611,1721,1488,1550,1562,1441,1583,1537,1394,1549,1602,1192,1611,1721,1488,1550,1562,1441,1583,1537,1394,1549,1602,1192,1611,1721,1488,1550,1562,1441,1583,1537,1394,1549,1602,1192,1611,1721,1488,1550,1562,1441,1583,1537,1394,1549,1602,1192,1611,1721,1488,1550,1562,1441,1583,1537,415
1854,1861,1870,1861,1861,1857,1802,1905,1763,1828,1926,1950,1854,1861,1870,1861,1861,1857,1802,1905,1763,1828,1926,1950,1854,1861,1870,1861,1861,1857,1802,1905,1763,1828,1926,1950,1854,1861,1870,1861,1861,1857,1802,1905,1763,1828,1926,1950,1854,1861,1870,1861,1861,1857,1802,1905,1763,1828,1926,1950,1854,1861,1870,1861,1861,1857,1802,1905,1763,1828,1926,1950,1854,1861,1870,1861,1861,1857,1802,1905,1763,1828,1926,1950,1854,1861,1870,1861,1861,1857,1802,1905,1763,1828,1926,1950,1854,1861,1870,1861,1861,1857,1802,1905,1763,1828,1926,1950,1854,1861,1870,1861,1861,1857,1802,1905,1763,1828,1926,1950,1854,1861,1870,1861,1861,1857,1802,1905,1763,1828,1926,1950,1854,1861,1870,1861,1861,1857,1802,1905,1763,1828,1926,1950,419
1215,1344,1174,1362,1411,1275,1319,1304,953,1659,1292,1318,1215,1344,1174,1362,1411,1275,1319,1304,953,1659,1292,1318,1215,1344,1174,1362,1411,1275,1319,1304,953,1659,1292,1318,1215,1344,1174,1362,1411,1275,1319,1304,953,1659,1292,1318,1215,1344,1174,1362,1411,1275,1319,1304,953,1659,1292,1318,1215,1344,1174,1362,1411,1275,1319,1304,953,1659,1292,1318,1215,1344,1174,1362,1411,1275,1319,1304,953,1659,1292,1318,1215,1344,1174,1362,1411,1275,1319,1304,953,1659,1292,1318,1215,1344,1174,1362,1411,1275,1319,1304,953,1659,1292,1318,1215,1344,1174,1362,1411,1275,1319,1304,953,1659,1292,1318,1215,1344,1174,1362,1411,1275,1319,1304,953,1659,1292,1318,1215,1344,1174,1362,1411,1275,1319,1304,953,1659,1292,1318,306
101,97,102,106,102,97,94,110,102,104,99,104,101,97,102,106,102,97,94,110,102,104,99,104,101,97,102,106,102,97,94,110,102,104,99,104,101,97,102,106,102,97,94,110,102,104,99,104,101,97,102,106,102,97,94,110,102,104,99,104,101,97,102,106,102,97,94,110,102,104,99,104,101,97,102,106,102,97,94,110,102,104,99,104,101,97,102,106,102,97,94,110,102,104,99,104,101,97,102,106,102,97,94,110,102,104,99,104,101,97,102,106,102,97,94,110,102,104,99,104,101,97,102,106,102,97,94,110,102,104,99,104,101,97,102,106,102,97,94,110,102,104,99,104,635
3744,4433,4515,3706,4125,4197,4723,4074,4228,4517,4111,4404,3744,4433,4515,3706,4125,4197,4723,4074,4228,4517,4111,4404,3744,4433,4515,3706,4125,4197,4723,4074,4228,4517,4111,4404,3744,4433,4515,3706,4125,4197,4723,4074,4228,4517,4111,4404,3744,4433,4515,3706,4125,4197,4723,4074,4228,4517,4111,4404,3744,4433,4515,3706,4125,4197,4723,4074,4228,4517,4111,4404,3744,4433,4515,3706,4125,4197,4723,4074,4228,4517,4111,4404,3744,4433,4515,3706,4125,4197,4723,4074,4228,4517,4111,4404,3744,4433,4515,3706,4125,4197,4723,4074,4228,4517,4111,4404,3744,4433,4515,3706,4125,4197,4723,4074,4228,4517,4111,4404,3744,4433,4515,3706,4125,4197,4723,4074,4228,4517,4111,4404,3744,4433,4515,3706,4125,4197,4723,4074,4228,4517,4111,4404,110
1798,1970,1841,1907,1900,1886,1884,1883,1883,1858,1832,1962,1798,1970,1841,1907,1900,1886,1884,1883,1883,1858,1832,1962,1798,1970,1841,1907,1900,1886,1884,1883,1883,1858,1832,1962,1798,1970,1841,1907,1900,1886,1884,1883,1883,1858,1832,1962,1798,1970,1841,1907,1900,1886,1884,1883,1883,1858,1832,1962,1798,1970,1841,1907,1900,1886,1884,1883,1883,1858,1832,1962,1798,1970,1841,1907,1900,1886,1884,1883,1883,1858,1832,1962,1798,1970,1841,1907,1900,1886,1884,1883,1883,1858,1832,1962,1798,1970,1841,1907,1900,1886,1884,1883,1883,1858,1832,1962,1798,1970,1841,1907,1900,1886,1884,1883,1883,1858,1832,1962,1798,1970,1841,1907,1900,1886,1884,1883,1883,1858,1832,1962,1798,1970,1841,1907,1900,1886,1884,1883,1883,1858,1832,1962,397
1030,1175,1223,871,657,1902,698,1587,1135,787,1510,1145,1030,1175,1223,871,657,1902,698,1587,1135,787,1510,1145,1030,1175,1223,871,657,1902,698,1587,1135,787,1510,1145,1030,1175,1223,871,657,1902,698,1587,1135,787,1510,1145,1030,1175,1223,871,657,1902,698,1587,1135,787,1510,1145,1030,1175,1223,871,657,1902,698,1587,1135,787,1510,1145,1030,1175,1223,871,657,1902,698,1587,1135,787,1510,1145,1030,1175,1223,871,657,1902,698,1587,1135,787,1510,1145,1030,1175,1223,871,657,1902,698,1587,1135,787,1510,1145,1030,1175,1223,871,657,1902,698,1587,1135,787,1510,1145,1030,1175,1223,871,657,1902,698,1587,1135,787,1510,1145,1030,1175,1223,871,657,1902,698,1587,1135,787,1510,1145,225
1370,1189,1270,1737,1297,836,1452,1363,1251,1064,1987,1893,1370,1189,1270,1737,1297,836,1452,1363,1251,1064,1987,1893,1370,1189,1270,1737,1297,836,1452,1363,1251,1064,1987,1893,1370,1189,1270,1737,1297,836,1452,1363,1251,1064,1987,1893,1370,1189,1270,1737,1297,836,1452,1363,1251,1064,1987,1893,1370,1189,1270,1737,1297,836,1452,1363,1251,1064,1987,1893,1370,1189,1270,1737,1297,836,1452,1363,1251,1064,1987,1893,1370,1189,1270,1737,1297,836,1452,1363,1251,1064,1987,1893,1370,1189,1270,1737,1297,836,1452,1363,1251,1064,1987,1893,1370,1189,1270,1737,1297,836,1452,1363,1251,1064,1987,1893,1370,1189,1270,1737,1297,836,1452,1363,1251,1064,1987,1893,1370,1189,1270,1737,1297,836,1452,1363,1251,1064,1987,1893,53
654,625,717,681,684,673,670,439,861,695,684,687,654,625,717,681,684,673,670,439,861,695,684,687,654,625,717,681,684,673,670,439,861,695,684,687,654,625,717,681,684,673,670,439,861,695,684,687,654,625,717,681,684,673,670,439,861,695,684,687,654,625,717,681,684,673,670,439,861,695,684,687,654,625,717,681,684,673,670,439,861,695,684,687,654,625,717,681,684,673,670,439,861,695,684,687,654,625,717,681,684,673,670,439,861,695,684,687,654,625,717,681,684,673,670,439,861,695,684,687,654,625,717,681,684,673,670,439,861,695,684,687,654,625,717,681,684,673,670,439,861,695,684,687,71
2227,2283,2241,2291,1994,2529,2221,2317,2211,2322,2257,2270,2227,2283,2241,2291,1994,2529,2221,2317,2211,2322,2257,2270,2227,2283,2241,2291,1994,2529,2221,2317,2211,2322,2257,2270,2227,2283,2241,2291,1994,2529,2221,2317,2211,2322,2257,2270,2227,2283,2241,2291,1994,2529,2221,2317,2211,2322,2257,2270,2227,2283,2241,2291,1994,2529,2221,2317,2211,2322,2257,2270,2227,2283,2241,2291,1994,2529,2221,2317,2211,2322,2257,2270,2227,2283,2241,2291,1994,2529,2221,2317,2211,2322,2257,2270,2227,2283,2241,2291,1994,2529,2221,2317,2211,2322,2257,2270,2227,2283,2241,2291,1994,2529,2221,2317,2211,2322,2257,2270,2227,2283,2241,2291,1994,2529,2221,2317,2211,2322,2257,2270,2227,2283,2241,2291,1994,2529,2221,2317,2211,2322,2257,2270,155
1135,1142,1129,1150,1111,1161,1137,1118,1165,1132,1149,1140,1135,1142,1129,1150,1111,1161,1137,1118,1165,1132,1149,1140,1135,1142,1129,1150,1111,1161,1137,1118,1165,1132,1149,1140,1135,1142,1129,1150,1111,1161,1137,1118,1165,1132,1149,1140,1135,1142,1129,1150,1111,1161,1137,1118,1165,1132,1149,1140,1135,1142,1129,1150,1111,1161,1137,1118,1165,1132,1149,1140,1135,1142,1129,1150,1111,1161,1137,1118,1165,1132,1149,1140,1135,1142,1129,1150,1111,1161,1137,1118,1165,1132,1149,1140,1135,1142,1129,1150,1111,1161,1137,1118,1165,1132,1149,1140,1135,1142,1129,1150,1111,1161,1137,1118,1165,1132,1149,1140,1135,1142,1129,1150,1111,1161,1137,1118,1165,1132,1149,1140,1135,1142,1129,1150,1111,1161,1137,1118,1165,1132,1149,1140,171
2844,2926,2805,3022,2926,2848,2942,2934,2915,2910,2831,2987,2844,2926,2805,3022,2926,2848,2942,2934,2915,2910,2831,2987,2844,2926,2805,3022,2926,2848,2942,2934,2915,2910,2831,2987,2844,2926,2805,3022,2926,2848,2942,2934,2915,2910,2831,2987,2844,2926,2805,3022,2926,2848,2942,2934,2915,2910,2831,2987,2844,2926,2805,3022,2926,2848,2942,2934,2915,2910,2831,2987,2844,2926,2805,3022,2926,2848,2942,2934,2915,2910,2831,2987,2844,2926,2805,3022,2926,2848,2942,2934,2915,2910,2831,2987,2844,2926,2805,3022,2926,2848,2942,2934,2915,2910,2831,2987,2844,2926,2805,3022,2926,2848,2942,2934,2915,2910,2831,2987,2844,2926,2805,3022,2926,2848,2942,2934,2915,2910,2831,2987,2844,2926,2805,3022,2926,2848,2942,2934,2915,2910,2831,2987,440
3863,3880,3828,3941,3877,3883,3858,3909,3820,3946,3884,3881,3863,3880,3828,3941,3877,3883,3858,3909,3820,3946,3884,3881,3863,3880,3828,3941,3877,3883,3858,3909,3820,3946,3884,3881,3863,3880,3828,3941,3877,3883,3858,3909,3820,3946,3884,3881,3863,3880,3828,3941,3877,3883,3858,3909,3820,3946,3884,3881,3863,3880,3828,3941,3877,3883,3858,3909,3820,3946,3884,3881,3863,3880,3828,3941,3877,3883,3858,3909,3820,3946,3884,3881,3863,3880,3828,3941,3877,3883,3858,3909,3820,3946,3884,3881,3863,3880,3828,3941,3877,3883,3858,3909,3820,3946,3884,3881,3863,3880,3828,3941,3877,3883,3858,3909,3820,3946,3884,3881,3863,3880,3828,3941,3877,3883,3858,3909,3820,3946,3884,3881,3863,3880,3828,3941,3877,3883,3858,3909,3820,3946,3884,3881,122
1216,1621,1676,1676,1534,1506,1541,1609,1549,1549,1548,1548,1216,1621,1676,1676,1534,1506,1541,1609,1549,1549,1548,1548,1216,1621,1676,1676,1534,1506,1541,1609,1549,1549,1548,1548,1216,1621,1676,1676,1534,1506,1541,1609,1549,1549,1548,1548,1216,1621,1676,1676,1534,1506,1541,1609,1549,1549,1548,1548,1216,1621,1676,1676,1534,1506,1541,1609,1549,1549,1548,1548,1216,1621,1676,1676,1534,1506,1541,1609,1549,1549,1548,1548,1216,1621,1676,1676,1534,1506,1541,1609,1549,1549,1548,1548,1216,1621,1676,1676,1534,1506,1541,1609,1549,1549,1548,1548,1216,1621,1676,1676,1534,1506,1541,1609,1549,1549,1548,1548,1216,1621,1676,1676,1534,1506,1541,1609,1549,1549,1548,1548,1216,1621,1676,1676,1534,1506,1541,1609,1549,1549,1548,1548,256
1881,1893,1930,1902,1898,1896,1855,1835,2023,1790,1879,2036,1881,1893,1930,1902,1898,1896,1855,1835,2023,1790,1879,2036,1881,1893,1930,1902,1898,1896,1855,1835,2023,1790,1879,2036,1881,1893,1930,1902,1898,1896,1855,1835,2023,1790,1879,2036,1881,1893,1930,1902,1898,1896,1855,1835,2023,1790,1879,2036,1881,1893,1930,1902,1898,1896,1855,1835,2023,1790,1879,2036,1881,1893,1930,1902,1898,1896,1855,1835,2023,1790,1879,2036,1881,1893,1930,1902,1898,1896,1855,1835,2023,1790,1879,2036,1881,1893,1930,1902,1898,1896,1855,1835,2023,1790,1879,2036,1881,1893,1930,1902,1898,1896,1855,1835,2023,1790,1879,2036,1881,1893,1930,1902,1898,1896,1855,1835,2023,1790,1879,2036,1881,1893,1930,1902,1898,1896,1855,1835,2023,1790,1879,2036,105
3795,3121,4395,3796,4413,4438,2815,5096,3707,4359,3996,3994,3795,3121,4395,3796,4413,4438,2815,5096,3707,4359,3996,3994,3795,3121,4395,3796,4413,4438,2815,5096,3707,4359,3996,3994,3795,3121,4395,3796,4413,4438,2815,5096,3707,4359,3996,3994,3795,3121,4395,3796,4413,4438,2815,5096,3707,4359,3996,3994,3795,3121,4395,3796,4413,4438,2815,5096,3707,4359,3996,3994,3795,3121,4395,3796,4413,4438,2815,5096,3707,4359,3996,3994,3795,3121,4395,3796,4413,4438,2815,5096,3707,4359,3996,3994,3795,3121,4395,3796,4413,4438,2815,5096,3707,4359,3996,3994,3795,3121,4395,3796,4413,4438,2815,5096,3707,4359,3996,3994,3795,3121,4395,3796,4413,4438,2815,5096,3707,4359,3996,3994,3795,3121,4395,3796,4413,4438,2815,5096,3707,4359,3996,3994,548
453,487,472,469,464,469,483,471,462,480,470,473,453,487,472,469,464,469,483,471,462,480,470,473,453,487,472,469,464,469,483,471,462,480,470,473,453,487,472,469,464,469,483,471,462,480,470,473,453,487,472,469,464,469,483,471,462,480,470,473,453,487,472,469,464,469,483,471,462,480,470,473,453,487,472,469,464,469,483,471,462,480,470,473,453,487,472,469,464,469,483,471,462,480,470,473,453,487,472,469,464,469,483,471,462,480,470,473,453,487,472,469,464,469,483,471,462,480,470,473,453,487,472,469,464,469,483,471,462,480,470,473,453,487,472,469,464,469,483,471,462,480,470,473,86
492,510,466,531,462,487,555,446,529,524,510,502,492,510,466,531,462,487,555,446,529,524,510,502,492,510,466,531,462,487,555,446,529,524,510,502,492,510,466,531,462,487,555,446,529,524,510,502,492,510,466,531,462,487,555,446,529,524,510,502,492,510,466,531,462,487,555,446,529,524,510,502,492,510,466,531,462,487,555,446,529,524,510,502,492,510,466,531,462,487,555,446,529,524,510,502,492,510,466,531,462,487,555,446,529,524,510,502,492,510,466,531,462,487,555,446,529,524,510,502,492,510,466,531,462,487,555,446,529,524,510,502,492,510,466,531,462,487,555,446,529,524,510,502,89
544,1270,1612,348,2021,362,1836,1156,732,1758,1053,1341,544,1270,1612,348,2021,362,1836,1156,732,1758,1053,1341,544,1270,1612,348,2021,362,1836,1156,732,1758,1053,1341,544,1270,1612,348,2021,362,1836,1156,732,1758,1053,1341,544,1270,1612,348,2021,362,1836,1156,732,1758,1053,1341,544,1270,1612,348,2021,362,1836,1156,732,1758,1053,1341,544,1270,1612,348,2021,362,1836,1156,732,1758,1053,1341,544,1270,1612,348,2021,362,1836,1156,732,1758,1053,1341,544,1270,1612,348,2021,362,1836,1156,732,1758,1053,1341,544,1270,1612,348,2021,362,1836,1156,732,1758,1053,1341,544,1270,1612,348,2021,362,1836,1156,732,1758,1053,1341,544,1270,1612,348,2021,362,1836,1156,732,1758,1053,1341,280
1922,2514,2200,1983,2484,1437,2929,2242,2194,2303,2193,2250,1922,2514,2200,1983,2484,1437,2929,2242,2194,2303,2193,2250,1922,2514,2200,1983,2484,1437,2929,2242,2194,2303,2193,2250,1922,2514,2200,1983,2484,1437,2929,2242,2194,2303,2193,2250,1922,2514,2200,1983,2484,1437,2929,2242,2194,2303,2193,2250,1922,2514,2200,1983,2484,1437,2929,2242,2194,2303,2193,2250,1922,2514,2200,1983,2484,1437,2929,2242,2194,2303,2193,2250,1922,2514,2200,1983,2484,1437,2929,2242,2194,2303,2193,2250,1922,2514,2200,1983,2484,1437,2929,2242,2194,2303,2193,2250,1922,2514,2200,1983,2484,1437,2929,2242,2194,2303,2193,2250,1922,2514,2200,1983,2484,1437,2929,2242,2194,2303,2193,2250,1922,2514,2200,1983,2484,1437,2929,2242,2194,2303,2193,2250,435
166,166,166,159,169,168,166,165,167,166,165,167,166,166,166,159,169,168,166,165,167,166,165,167,166,166,166,159,169,168,166,165,167,166,165,167,166,166,166,159,169,168,166,165,167,166,165,167,166,166,166,159,169,168,166,165,167,166,165,167,166,166,166,159,169,168,166,165,167,166,165,167,166,166,166,159,169,168,166,165,167,166,165,167,166,166,166,159,169,168,166,165,167,166,165,167,166,166,166,159,169,168,166,165,167,166,165,167,166,166,166,159,169,168,166,165,167,166,165,167,166,166,166,159,169,168,166,165,167,166,165,167,166,166,166,159,169,168,166,165,167,166,165,167,97
2692,2690,2670,2635,2768,2690,2656,2708,2638,2763,2674,2713,2692,2690,2670,2635,2768,2690,2656,2708,2638,2763,2674,2713,2692,2690,2670,2635,2768,2690,2656,2708,2638,2763,2674,2713,2692,2690,2670,2635,2768,2690,2656,2708,2638,2763,2674,2713,2692,2690,2670,2635,2768,2690,2656,2708,2638,2763,2674,2713,2692,2690,2670,2635,2768,2690,2656,2708,2638,2763,2674,2713,2692,2690,2670,2635,2768,2690,2656,2708,2638,2763,2674,2713,2692,2690,2670,2635,2768,2690,2656,2708,2638,2763,2674,2713,2692,2690,2670,2635,2768,2690,2656,2708,2638,2763,2674,2713,2692,2690,2670,2635,2768,2690,2656,2708,2638,2763,2674,2713,2692,2690,2670,2635,2768,2690,2656,2708,2638,2763,2674,2713,2692,2690,2670,2635,2768,2690,2656,2708,2638,2763,2674,2713,466
543,532,565,549,566,554,502,577,552,571,561,552,543,532,565,549,566,554,502,577,552,571,561,552,543,532,565,549,566,554,502,577,552,571,561,552,543,532,565,549,566,554,502,577,552,571,561,552,543,532,565,549,566,554,502,577,552,571,561,552,543,532,565,549,566,554,502,577,552,571,561,552,543,532,565,549,566,554,502,577,552,571,561,552,543,532,565,549,566,554,502,577,552,571,561,552,543,532,565,549,566,554,502,577,552,571,561,552,543,532,565,549,566,554,502,577,552,571,561,552,543,532,565,549,566,554,502,577,552,571,561,552,543,532,565,549,566,554,502,577,552,571,561,552,223
1923,1994,2013,1958,1967,1988,1960,1930,2042,1953,1995,1995,1923,1994,2013,1958,1967,1988,1960,1930,2042,1953,1995,1995,1923,1994,2013,1958,1967,1988,1960,1930,2042,1953,1995,1995,1923,1994,2013,1958,1967,1988,1960,1930,2042,1953,1995,1995,1923,1994,2013,1958,1967,1988,1960,1930,2042,1953,1995,1995,1923,1994,2013,1958,1967,1988,1960,1930,2042,1953,1995,1995,1923,1994,2013,1958,1967,1988,1960,1930,2042,1953,1995,1995,1923,1994,2013,1958,1967,1988,1960,1930,2042,1953,1995,1995,1923,1994,2013,1958,1967,1988,1960,1930,2042,1953,1995,1995,1923,1994,2013,1958,1967,1988,1960,1930,2042,1953,1995,1995,1923,1994,2013,1958,1967,1988,1960,1930,2042,1953,1995,1995,1923,1994,2013,1958,1967,1988,1960,1930,2042,1953,1995,1995,543
167,244,231,291,243,192,216,287,232,258,219,255,167,244,231,291,243,192,216,287,232,258,219,255,167,244,231,291,243,192,216,287,232,258,219,255,167,244,231,291,243,192,216,287,232,258,219,255,167,244,231,291,243,192,216,287,232,258,219,255,167,244,231,291,243,192,216,287,232,258,219,255,167,244,231,291,243,192,216,287,232,258,219,255,167,244,231,291,243,192,216,287,232,258,219,255,167,244,231,291,243,192,216,287,232,258,219,255,167,244,231,291,243,192,216,287,232,258,219,255,167,244,231,291,243,192,216,287,232,258,219,255,167,244,231,291,243,192,216,287,232,258,219,255,228
481,501,488,497,385,598,492,329,1142,423,606,481,501,488,497,385,598,492,329,1142,423,606,481,501,488,497,385,598,492,329,1142,423,606,481,501,488,497,385,598,492,329,1142,423,606,481,501,488,497,385,598,492,329,1142,423,606,481,501,488,497,385,598,492,329,1142,423,606,481,501,488,497,385,598,492,329,1142,423,606,481,501,488,497,385,598,492,329,1142,423,606,481,501,488,497,385,598,492,329,1142,423,606,481,501,488,497,385,598,492,329,1142,423,606,481,501,488,497,385,598,492,329,1142,423,606,481,501,488,497,385,598,492,329,1142,423,606,282,,,,,,,,,,,,
1332,2476,1422,2322,939,2844,1599,1406,2022,2612,1965,1917,1332,2476,1422,2322,939,2844,1599,1406,2022,2612,1965,1917,1332,2476,1422,2322,939,2844,1599,1406,2022,2612,1965,1917,1332,2476,1422,2322,939,2844,1599,1406,2022,2612,1965,1917,1332,2476,1422,2322,939,2844,1599,1406,2022,2612,1965,1917,1332,2476,1422,2322,939,2844,1599,1406,2022,2612,1965,1917,1332,2476,1422,2322,939,2844,1599,1406,2022,2612,1965,1917,1332,2476,1422,2322,939,2844,1599,1406,2022,2612,1965,1917,1332,2476,1422,2322,939,2844,1599,1406,2022,2612,1965,1917,1332,2476,1422,2322,939,2844,1599,1406,2022,2612,1965,1917,1332,2476,1422,2322,939,2844,1599,1406,2022,2612,1965,1917,1332,2476,1422,2322,939,2844,1599,1406,2022,2612,1965,1917,488
6330,6647,6804,5154,7193,6263,6055,8478,6549,6864,6315,7229,6330,6647,6804,5154,7193,6263,6055,8478,6549,6864,6315,7229,6330,6647,6804,5154,7193,6263,6055,8478,6549,6864,6315,7229,6330,6647,6804,5154,7193,6263,6055,8478,6549,6864,6315,7229,6330,6647,6804,5154,7193,6263,6055,8478,6549,6864,6315,7229,6330,6647,6804,5154,7193,6263,6055,8478,6549,6864,6315,7229,6330,6647,6804,5154,7193,6263,6055,8478,6549,6864,6315,7229,6330,6647,6804,5154,7193,6263,6055,8478,6549,6864,6315,7229,6330,6647,6804,5154,7193,6263,6055,8478,6549,6864,6315,7229,6330,6647,6804,5154,7193,6263,6055,8478,6549,6864,6315,7229,6330,6647,6804,5154,7193,6263,6055,8478,6549,6864,6315,7229,6330,6647,6804,5154,7193,6263,6055,8478,6549,6864,6315,7229,553
652,1083,860,873,532,1203,868,627,1098,875,695,1041,652,1083,860,873,532,1203,868,627,1098,875,695,1041,652,1083,860,873,532,1203,868,627,1098,875,695,1041,652,1083,860,873,532,1203,868,627,1098,875,695,1041,652,1083,860,873,532,1203,868,627,1098,875,695,1041,652,1083,860,873,532,1203,868,627,1098,875,695,1041,652,1083,860,873,532,1203,868,627,1098,875,695,1041,652,1083,860,873,532,1203,868,627,1098,875,695,1041,652,1083,860,873,532,1203,868,627,1098,875,695,1041,652,1083,860,873,532,1203,868,627,1098,875,695,1041,652,1083,860,873,532,1203,868,627,1098,875,695,1041,652,1083,860,873,532,1203,868,627,1098,875,695,1041,137
1066,1129,1061,1106,1080,967,1194,1182,1090,948,1257,1100,1066,1129,1061,1106,1080,967,1194,1182,1090,948,1257,1100,1066,1129,1061,1106,1080,967,1194,1182,1090,948,1257,1100,1066,1129,1061,1106,1080,967,1194,1182,1090,948,1257,1100,1066,1129,1061,1106,1080,967,1194,1182,1090,948,1257,1100,1066,1129,1061,1106,1080,967,1194,1182,1090,948,1257,1100,1066,1129,1061,1106,1080,967,1194,1182,1090,948,1257,1100,1066,1129,1061,1106,1080,967,1194,1182,1090,948,1257,1100,1066,1129,1061,1106,1080,967,1194,1182,1090,948,1257,1100,1066,1129,1061,1106,1080,967,1194,1182,1090,948,1257,1100,1066,1129,1061,1106,1080,967,1194,1182,1090,948,1257,1100,1066,1129,1061,1106,1080,967,1194,1182,1090,948,1257,1100,289
1763,2121,1947,1552,2021,2055,2149,1943,1937,1956,1905,1984,1763,2121,1947,1552,2021,2055,2149,1943,1937,1956,1905,1984,1763,2121,1947,1552,2021,2055,2149,1943,1937,1956,1905,1984,1763,2121,1947,1552,2021,2055,2149,1943,1937,1956,1905,1984,1763,2121,1947,1552,2021,2055,2149,1943,1937,1956,1905,1984,1763,2121,1947,1552,2021,2055,2149,1943,1937,1956,1905,1984,1763,2121,1947,1552,2021,2055,2149,1943,1937,1956,1905,1984,1763,2121,1947,1552,2021,2055,2149,1943,1937,1956,1905,1984,1763,2121,1947,1552,2021,2055,2149,1943,1937,1956,1905,1984,1763,2121,1947,1552,2021,2055,2149,1943,1937,1956,1905,1984,1763,2121,1947,1552,2021,2055,2149,1943,1937,1956,1905,1984,1763,2121,1947,1552,2021,2055,2149,1943,1937,1956,1905,1984,421
99,211,319,362,298,251,265,263,269,232,396,337,99,211,319,362,298,251,265,263,269,232,396,337,99,211,319,362,298,251,265,263,269,232,396,337,99,211,319,362,298,251,265,263,269,232,396,337,99,211,319,362,298,251,265,263,269,232,396,337,99,211,319,362,298,251,265,263,269,232,396,337,99,211,319,362,298,251,265,263,269,232,396,337,99,211,319,362,298,251,265,263,269,232,396,337,99,211,319,362,298,251,265,263,269,232,396,337,99,211,319,362,298,251,265,263,269,232,396,337,99,211,319,362,298,251,265,263,269,232,396,337,99,211,319,362,298,251,265,263,269,232,396,337,243
