band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,census_code
7030,6982,7105,6942,6147,8036,5688,7487,7968,7030,6982,7105,6942,6147,8036,5688,7487,7968,7030,6982,7105,6942,6147,8036,5688,7487,7968,7030,6982,7105,6942,6147,8036,5688,7487,7968,7030,6982,7105,6942,6147,8036,5688,7487,7968,7030,6982,7105,6942,6147,8036,5688,7487,7968,7030,6982,7105,6942,6147,8036,5688,7487,7968,7030,6982,7105,6942,6147,8036,5688,7487,7968,7030,6982,7105,6942,6147,8036,5688,7487,7968,7030,6982,7105,6942,6147,8036,5688,7487,7968,7030,6982,7105,6942,6147,8036,5688,7487,7968,7030,6982,7105,6942,6147,8036,5688,7487,7968,102
1839,1877,1709,1140,2528,2040,1565,2183,1861,1839,1877,1709,1140,2528,2040,1565,2183,1861,1839,1877,1709,1140,2528,2040,1565,2183,1861,1839,1877,1709,1140,2528,2040,1565,2183,1861,1839,1877,1709,1140,2528,2040,1565,2183,1861,1839,1877,1709,1140,2528,2040,1565,2183,1861,1839,1877,1709,1140,2528,2040,1565,2183,1861,1839,1877,1709,1140,2528,2040,1565,2183,1861,1839,1877,1709,1140,2528,2040,1565,2183,1861,1839,1877,1709,1140,2528,2040,1565,2183,1861,1839,1877,1709,1140,2528,2040,1565,2183,1861,1839,1877,1709,1140,2528,2040,1565,2183,1861,41
539,547,544,507,475,917,611,664,621,539,547,544,507,475,917,611,664,621,539,547,544,507,475,917,611,664,621,539,547,544,507,475,917,611,664,621,539,547,544,507,475,917,611,664,621,539,547,544,507,475,917,611,664,621,539,547,544,507,475,917,611,664,621,539,547,544,507,475,917,611,664,621,539,547,544,507,475,917,611,664,621,539,547,544,507,475,917,611,664,621,539,547,544,507,475,917,611,664,621,539,547,544,507,475,917,611,664,621,242
3014,3154,3262,3281,3103,2943,3451,3211,3189,3014,3154,3262,3281,3103,2943,3451,3211,3189,3014,3154,3262,3281,3103,2943,3451,3211,3189,3014,3154,3262,3281,3103,2943,3451,3211,3189,3014,3154,3262,3281,3103,2943,3451,3211,3189,3014,3154,3262,3281,3103,2943,3451,3211,3189,3014,3154,3262,3281,3103,2943,3451,3211,3189,3014,3154,3262,3281,3103,2943,3451,3211,3189,3014,3154,3262,3281,3103,2943,3451,3211,3189,3014,3154,3262,3281,3103,2943,3451,3211,3189,3014,3154,3262,3281,3103,2943,3451,3211,3189,3014,3154,3262,3281,3103,2943,3451,3211,3189,524
1485,1777,1400,1834,1459,1787,1615,1640,1685,1485,1777,1400,1834,1459,1787,1615,1640,1685,1485,1777,1400,1834,1459,1787,1615,1640,1685,1485,1777,1400,1834,1459,1787,1615,1640,1685,1485,1777,1400,1834,1459,1787,1615,1640,1685,1485,1777,1400,1834,1459,1787,1615,1640,1685,1485,1777,1400,1834,1459,1787,1615,1640,1685,1485,1777,1400,1834,1459,1787,1615,1640,1685,1485,1777,1400,1834,1459,1787,1615,1640,1685,1485,1777,1400,1834,1459,1787,1615,1640,1685,1485,1777,1400,1834,1459,1787,1615,1640,1685,1485,1777,1400,1834,1459,1787,1615,1640,1685,284
2976,4407,3315,4029,3329,3841,2837,4598,3897,2976,4407,3315,4029,3329,3841,2837,4598,3897,2976,4407,3315,4029,3329,3841,2837,4598,3897,2976,4407,3315,4029,3329,3841,2837,4598,3897,2976,4407,3315,4029,3329,3841,2837,4598,3897,2976,4407,3315,4029,3329,3841,2837,4598,3897,2976,4407,3315,4029,3329,3841,2837,4598,3897,2976,4407,3315,4029,3329,3841,2837,4598,3897,2976,4407,3315,4029,3329,3841,2837,4598,3897,2976,4407,3315,4029,3329,3841,2837,4598,3897,2976,4407,3315,4029,3329,3841,2837,4598,3897,2976,4407,3315,4029,3329,3841,2837,4598,3897,514
1805,1323,2078,1682,1568,2372,1368,1894,2154,1805,1323,2078,1682,1568,2372,1368,1894,2154,1805,1323,2078,1682,1568,2372,1368,1894,2154,1805,1323,2078,1682,1568,2372,1368,1894,2154,1805,1323,2078,1682,1568,2372,1368,1894,2154,1805,1323,2078,1682,1568,2372,1368,1894,2154,1805,1323,2078,1682,1568,2372,1368,1894,2154,1805,1323,2078,1682,1568,2372,1368,1894,2154,1805,1323,2078,1682,1568,2372,1368,1894,2154,1805,1323,2078,1682,1568,2372,1368,1894,2154,1805,1323,2078,1682,1568,2372,1368,1894,2154,1805,1323,2078,1682,1568,2372,1368,1894,2154,142
2798,3282,3089,2937,3133,3090,3007,3120,3058,2798,3282,3089,2937,3133,3090,3007,3120,3058,2798,3282,3089,2937,3133,3090,3007,3120,3058,2798,3282,3089,2937,3133,3090,3007,3120,3058,2798,3282,3089,2937,3133,3090,3007,3120,3058,2798,3282,3089,2937,3133,3090,3007,3120,3058,2798,3282,3089,2937,3133,3090,3007,3120,3058,2798,3282,3089,2937,3133,3090,3007,3120,3058,2798,3282,3089,2937,3133,3090,3007,3120,3058,2798,3282,3089,2937,3133,3090,3007,3120,3058,2798,3282,3089,2937,3133,3090,3007,3120,3058,2798,3282,3089,2937,3133,3090,3007,3120,3058,556
3375,3461,2846,3987,3422,3266,3571,2688,4150,3375,3461,2846,3987,3422,3266,3571,2688,4150,3375,3461,2846,3987,3422,3266,3571,2688,4150,3375,3461,2846,3987,3422,3266,3571,2688,4150,3375,3461,2846,3987,3422,3266,3571,2688,4150,3375,3461,2846,3987,3422,3266,3571,2688,4150,3375,3461,2846,3987,3422,3266,3571,2688,4150,3375,3461,2846,3987,3422,3266,3571,2688,4150,3375,3461,2846,3987,3422,3266,3571,2688,4150,3375,3461,2846,3987,3422,3266,3571,2688,4150,3375,3461,2846,3987,3422,3266,3571,2688,4150,3375,3461,2846,3987,3422,3266,3571,2688,4150,335
830,852,847,843,831,851,846,789,897,830,852,847,843,831,851,846,789,897,830,852,847,843,831,851,846,789,897,830,852,847,843,831,851,846,789,897,830,852,847,843,831,851,846,789,897,830,852,847,843,831,851,846,789,897,830,852,847,843,831,851,846,789,897,830,852,847,843,831,851,846,789,897,830,852,847,843,831,851,846,789,897,830,852,847,843,831,851,846,789,897,830,852,847,843,831,851,846,789,897,830,852,847,843,831,851,846,789,897,489
2267,2267,2219,2313,2229,2306,2244,2271,2287,2267,2267,2219,2313,2229,2306,2244,2271,2287,2267,2267,2219,2313,2229,2306,2244,2271,2287,2267,2267,2219,2313,2229,2306,2244,2271,2287,2267,2267,2219,2313,2229,2306,2244,2271,2287,2267,2267,2219,2313,2229,2306,2244,2271,2287,2267,2267,2219,2313,2229,2306,2244,2271,2287,2267,2267,2219,2313,2229,2306,2244,2271,2287,2267,2267,2219,2313,2229,2306,2244,2271,2287,2267,2267,2219,2313,2229,2306,2244,2271,2287,2267,2267,2219,2313,2229,2306,2244,2271,2287,2267,2267,2219,2313,2229,2306,2244,2271,2287,411
2153,2150,2149,2125,2165,2176,1971,2326,2162,2153,2150,2149,2125,2165,2176,1971,2326,2162,2153,2150,2149,2125,2165,2176,1971,2326,2162,2153,2150,2149,2125,2165,2176,1971,2326,2162,2153,2150,2149,2125,2165,2176,1971,2326,2162,2153,2150,2149,2125,2165,2176,1971,2326,2162,2153,2150,2149,2125,2165,2176,1971,2326,2162,2153,2150,2149,2125,2165,2176,1971,2326,2162,2153,2150,2149,2125,2165,2176,1971,2326,2162,2153,2150,2149,2125,2165,2176,1971,2326,2162,2153,2150,2149,2125,2165,2176,1971,2326,2162,2153,2150,2149,2125,2165,2176,1971,2326,2162,561
724,812,769,690,658,1018,683,855,808,724,812,769,690,658,1018,683,855,808,724,812,769,690,658,1018,683,855,808,724,812,769,690,658,1018,683,855,808,724,812,769,690,658,1018,683,855,808,724,812,769,690,658,1018,683,855,808,724,812,769,690,658,1018,683,855,808,724,812,769,690,658,1018,683,855,808,724,812,769,690,658,1018,683,855,808,724,812,769,690,658,1018,683,855,808,724,812,769,690,658,1018,683,855,808,724,812,769,690,658,1018,683,855,808,585
581,655,853,570,820,678,625,793,701,581,655,853,570,820,678,625,793,701,581,655,853,570,820,678,625,793,701,581,655,853,570,820,678,625,793,701,581,655,853,570,820,678,625,793,701,581,655,853,570,820,678,625,793,701,581,655,853,570,820,678,625,793,701,581,655,853,570,820,678,625,793,701,581,655,853,570,820,678,625,793,701,581,655,853,570,820,678,625,793,701,581,655,853,570,820,678,625,793,701,581,655,853,570,820,678,625,793,701,630
2075,2073,2071,2073,1688,1918,2561,2114,2098,2075,2073,2071,2073,1688,1918,2561,2114,2098,2075,2073,2071,2073,1688,1918,2561,2114,2098,2075,2073,2071,2073,1688,1918,2561,2114,2098,2075,2073,2071,2073,1688,1918,2561,2114,2098,2075,2073,2071,2073,1688,1918,2561,2114,2098,2075,2073,2071,2073,1688,1918,2561,2114,2098,2075,2073,2071,2073,1688,1918,2561,2114,2098,2075,2073,2071,2073,1688,1918,2561,2114,2098,2075,2073,2071,2073,1688,1918,2561,2114,2098,2075,2073,2071,2073,1688,1918,2561,2114,2098,2075,2073,2071,2073,1688,1918,2561,2114,2098,133
3134,3320,3171,3276,3219,3245,3226,3218,3243,3134,3320,3171,3276,3219,3245,3226,3218,3243,3134,3320,3171,3276,3219,3245,3226,3218,3243,3134,3320,3171,3276,3219,3245,3226,3218,3243,3134,3320,3171,3276,3219,3245,3226,3218,3243,3134,3320,3171,3276,3219,3245,3226,3218,3243,3134,3320,3171,3276,3219,3245,3226,3218,3243,3134,3320,3171,3276,3219,3245,3226,3218,3243,3134,3320,3171,3276,3219,3245,3226,3218,3243,3134,3320,3171,3276,3219,3245,3226,3218,3243,3134,3320,3171,3276,3219,3245,3226,3218,3243,3134,3320,3171,3276,3219,3245,3226,3218,3243,372
3154,4039,3649,3669,3556,3260,4004,3665,3657,3154,4039,3649,3669,3556,3260,4004,3665,3657,3154,4039,3649,3669,3556,3260,4004,3665,3657,3154,4039,3649,3669,3556,3260,4004,3665,3657,3154,4039,3649,3669,3556,3260,4004,3665,3657,3154,4039,3649,3669,3556,3260,4004,3665,3657,3154,4039,3649,3669,3556,3260,4004,3665,3657,3154,4039,3649,3669,3556,3260,4004,3665,3657,3154,4039,3649,3669,3556,3260,4004,3665,3657,3154,4039,3649,3669,3556,3260,4004,3665,3657,3154,4039,3649,3669,3556,3260,4004,3665,3657,3154,4039,3649,3669,3556,3260,4004,3665,3657,486
278,230,332,183,303,340,299,278,287,278,230,332,183,303,340,299,278,287,278,230,332,183,303,340,299,278,287,278,230,332,183,303,340,299,278,287,278,230,332,183,303,340,299,278,287,278,230,332,183,303,340,299,278,287,278,230,332,183,303,340,299,278,287,278,230,332,183,303,340,299,278,287,278,230,332,183,303,340,299,278,287,278,230,332,183,303,340,299,278,287,278,230,332,183,303,340,299,278,287,278,230,332,183,303,340,299,278,287,268
2530,2462,2739,2559,2555,2747,2447,2747,2609,2530,2462,2739,2559,2555,2747,2447,2747,2609,2530,2462,2739,2559,2555,2747,2447,2747,2609,2530,2462,2739,2559,2555,2747,2447,2747,2609,2530,2462,2739,2559,2555,2747,2447,2747,2609,2530,2462,2739,2559,2555,2747,2447,2747,2609,2530,2462,2739,2559,2555,2747,2447,2747,2609,2530,2462,2739,2559,2555,2747,2447,2747,2609,2530,2462,2739,2559,2555,2747,2447,2747,2609,2530,2462,2739,2559,2555,2747,2447,2747,2609,2530,2462,2739,2559,2555,2747,2447,2747,2609,2530,2462,2739,2559,2555,2747,2447,2747,2609,366
1173,1147,1213,1170,1021,1368,1121,1250,1183,1173,1147,1213,1170,1021,1368,1121,1250,1183,1173,1147,1213,1170,1021,1368,1121,1250,1183,1173,1147,1213,1170,1021,1368,1121,1250,1183,1173,1147,1213,1170,1021,1368,1121,1250,1183,1173,1147,1213,1170,1021,1368,1121,1250,1183,1173,1147,1213,1170,1021,1368,1121,1250,1183,1173,1147,1213,1170,1021,1368,1121,1250,1183,1173,1147,1213,1170,1021,1368,1121,1250,1183,1173,1147,1213,1170,1021,1368,1121,1250,1183,1173,1147,1213,1170,1021,1368,1121,1250,1183,1173,1147,1213,1170,1021,1368,1121,1250,1183,73
857,1227,1492,1409,1255,1240,1256,1032,1464,857,1227,1492,1409,1255,1240,1256,1032,1464,857,1227,1492,1409,1255,1240,1256,1032,1464,857,1227,1492,1409,1255,1240,1256,1032,1464,857,1227,1492,1409,1255,1240,1256,1032,1464,857,1227,1492,1409,1255,1240,1256,1032,1464,857,1227,1492,1409,1255,1240,1256,1032,1464,857,1227,1492,1409,1255,1240,1256,1032,1464,857,1227,1492,1409,1255,1240,1256,1032,1464,857,1227,1492,1409,1255,1240,1256,1032,1464,857,1227,1492,1409,1255,1240,1256,1032,1464,857,1227,1492,1409,1255,1240,1256,1032,1464,196
2577,2441,2753,2664,2262,2953,2602,2665,2615,2577,2441,2753,2664,2262,2953,2602,2665,2615,2577,2441,2753,2664,2262,2953,2602,2665,2615,2577,2441,2753,2664,2262,2953,2602,2665,2615,2577,2441,2753,2664,2262,2953,2602,2665,2615,2577,2441,2753,2664,2262,2953,2602,2665,2615,2577,2441,2753,2664,2262,2953,2602,2665,2615,2577,2441,2753,2664,2262,2953,2602,2665,2615,2577,2441,2753,2664,2262,2953,2602,2665,2615,2577,2441,2753,2664,2262,2953,2602,2665,2615,2577,2441,2753,2664,2262,2953,2602,2665,2615,2577,2441,2753,2664,2262,2953,2602,2665,2615,441
1015,1241,1006,1243,1103,981,1233,1126,1230,1015,1241,1006,1243,1103,981,1233,1126,1230,1015,1241,1006,1243,1103,981,1233,1126,1230,1015,1241,1006,1243,1103,981,1233,1126,1230,1015,1241,1006,1243,1103,981,1233,1126,1230,1015,1241,1006,1243,1103,981,1233,1126,1230,1015,1241,1006,1243,1103,981,1233,1126,1230,1015,1241,1006,1243,1103,981,1233,1126,1230,1015,1241,1006,1243,1103,981,1233,1126,1230,1015,1241,1006,1243,1103,981,1233,1126,1230,1015,1241,1006,1243,1103,981,1233,1126,1230,1015,1241,1006,1243,1103,981,1233,1126,1230,618
1834,1861,1931,1872,1985,1729,2062,1859,1936,1834,1861,1931,1872,1985,1729,2062,1859,1936,1834,1861,1931,1872,1985,1729,2062,1859,1936,1834,1861,1931,1872,1985,1729,2062,1859,1936,1834,1861,1931,1872,1985,1729,2062,1859,1936,1834,1861,1931,1872,1985,1729,2062,1859,1936,1834,1861,1931,1872,1985,1729,2062,1859,1936,1834,1861,1931,1872,1985,1729,2062,1859,1936,1834,1861,1931,1872,1985,1729,2062,1859,1936,1834,1861,1931,1872,1985,1729,2062,1859,1936,1834,1861,1931,1872,1985,1729,2062,1859,1936,1834,1861,1931,1872,1985,1729,2062,1859,1936,439
5254,5312,5114,5089,5778,5256,6008,5371,5437,5254,5312,5114,5089,5778,5256,6008,5371,5437,5254,5312,5114,5089,5778,5256,6008,5371,5437,5254,5312,5114,5089,5778,5256,6008,5371,5437,5254,5312,5114,5089,5778,5256,6008,5371,5437,5254,5312,5114,5089,5778,5256,6008,5371,5437,5254,5312,5114,5089,5778,5256,6008,5371,5437,5254,5312,5114,5089,5778,5256,6008,5371,5437,5254,5312,5114,5089,5778,5256,6008,5371,5437,5254,5312,5114,5089,5778,5256,6008,5371,5437,5254,5312,5114,5089,5778,5256,6008,5371,5437,5254,5312,5114,5089,5778,5256,6008,5371,5437,476
1180,1271,877,1207,1423,1403,1091,1180,1416,1180,1271,877,1207,1423,1403,1091,1180,1416,1180,1271,877,1207,1423,1403,1091,1180,1416,1180,1271,877,1207,1423,1403,1091,1180,1416,1180,1271,877,1207,1423,1403,1091,1180,1416,1180,1271,877,1207,1423,1403,1091,1180,1416,1180,1271,877,1207,1423,1403,1091,1180,1416,1180,1271,877,1207,1423,1403,1091,1180,1416,1180,1271,877,1207,1423,1403,1091,1180,1416,1180,1271,877,1207,1423,1403,1091,1180,1416,1180,1271,877,1207,1423,1403,1091,1180,1416,1180,1271,877,1207,1423,1403,1091,1180,1416,68
3628,3820,3763,3542,3978,3547,3940,3691,3930,3628,3820,3763,3542,3978,3547,3940,3691,3930,3628,3820,3763,3542,3978,3547,3940,3691,3930,3628,3820,3763,3542,3978,3547,3940,3691,3930,3628,3820,3763,3542,3978,3547,3940,3691,3930,3628,3820,3763,3542,3978,3547,3940,3691,3930,3628,3820,3763,3542,3978,3547,3940,3691,3930,3628,3820,3763,3542,3978,3547,3940,3691,3930,3628,3820,3763,3542,3978,3547,3940,3691,3930,3628,3820,3763,3542,3978,3547,3940,3691,3930,3628,3820,3763,3542,3978,3547,3940,3691,3930,3628,3820,3763,3542,3978,3547,3940,3691,3930,126
2069,1528,2073,1682,2322,2642,2103,2160,2108,2069,1528,2073,1682,2322,2642,2103,2160,2108,2069,1528,2073,1682,2322,2642,2103,2160,2108,2069,1528,2073,1682,2322,2642,2103,2160,2108,2069,1528,2073,1682,2322,2642,2103,2160,2108,2069,1528,2073,1682,2322,2642,2103,2160,2108,2069,1528,2073,1682,2322,2642,2103,2160,2108,2069,1528,2073,1682,2322,2642,2103,2160,2108,2069,1528,2073,1682,2322,2642,2103,2160,2108,2069,1528,2073,1682,2322,2642,2103,2160,2108,2069,1528,2073,1682,2322,2642,2103,2160,2108,2069,1528,2073,1682,2322,2642,2103,2160,2108,492
1426,1235,1060,1767,1802,1551,1564,1501,1516,1426,1235,1060,1767,1802,1551,1564,1501,1516,1426,1235,1060,1767,1802,1551,1564,1501,1516,1426,1235,1060,1767,1802,1551,1564,1501,1516,1426,1235,1060,1767,1802,1551,1564,1501,1516,1426,1235,1060,1767,1802,1551,1564,1501,1516,1426,1235,1060,1767,1802,1551,1564,1501,1516,1426,1235,1060,1767,1802,1551,1564,1501,1516,1426,1235,1060,1767,1802,1551,1564,1501,1516,1426,1235,1060,1767,1802,1551,1564,1501,1516,1426,1235,1060,1767,1802,1551,1564,1501,1516,1426,1235,1060,1767,1802,1551,1564,1501,1516,193
148,112,172,156,111,177,150,153,148,148,112,172,156,111,177,150,153,148,148,112,172,156,111,177,150,153,148,148,112,172,156,111,177,150,153,148,148,112,172,156,111,177,150,153,148,148,112,172,156,111,177,150,153,148,148,112,172,156,111,177,150,153,148,148,112,172,156,111,177,150,153,148,148,112,172,156,111,177,150,153,148,148,112,172,156,111,177,150,153,148,148,112,172,156,111,177,150,153,148,148,112,172,156,111,177,150,153,148,277
3830,3848,3883,3852,3846,3865,3843,3852,3868,3830,3848,3883,3852,3846,3865,3843,3852,3868,3830,3848,3883,3852,3846,3865,3843,3852,3868,3830,3848,3883,3852,3846,3865,3843,3852,3868,3830,3848,3883,3852,3846,3865,3843,3852,3868,3830,3848,3883,3852,3846,3865,3843,3852,3868,3830,3848,3883,3852,3846,3865,3843,3852,3868,3830,3848,3883,3852,3846,3865,3843,3852,3868,3830,3848,3883,3852,3846,3865,3843,3852,3868,3830,3848,3883,3852,3846,3865,3843,3852,3868,3830,3848,3883,3852,3846,3865,3843,3852,3868,3830,3848,3883,3852,3846,3865,3843,3852,3868,408
2053,1901,5873,2368,3364,4263,3128,3194,3696,2053,1901,5873,2368,3364,4263,3128,3194,3696,2053,1901,5873,2368,3364,4263,3128,3194,3696,2053,1901,5873,2368,3364,4263,3128,3194,3696,2053,1901,5873,2368,3364,4263,3128,3194,3696,2053,1901,5873,2368,3364,4263,3128,3194,3696,2053,1901,5873,2368,3364,4263,3128,3194,3696,2053,1901,5873,2368,3364,4263,3128,3194,3696,2053,1901,5873,2368,3364,4263,3128,3194,3696,2053,1901,5873,2368,3364,4263,3128,3194,3696,2053,1901,5873,2368,3364,4263,3128,3194,3696,2053,1901,5873,2368,3364,4263,3128,3194,3696,570
2739,2737,2720,2759,2738,2441,3035,2729,2750,2739,2737,2720,2759,2738,2441,3035,2729,2750,2739,2737,2720,2759,2738,2441,3035,2729,2750,2739,2737,2720,2759,2738,2441,3035,2729,2750,2739,2737,2720,2759,2738,2441,3035,2729,2750,2739,2737,2720,2759,2738,2441,3035,2729,2750,2739,2737,2720,2759,2738,2441,3035,2729,2750,2739,2737,2720,2759,2738,2441,3035,2729,2750,2739,2737,2720,2759,2738,2441,3035,2729,2750,2739,2737,2720,2759,2738,2441,3035,2729,2750,2739,2737,2720,2759,2738,2441,3035,2729,2750,2739,2737,2720,2759,2738,2441,3035,2729,2750,399
1266,1254,1288,1247,1292,1269,1265,1271,1272,1266,1254,1288,1247,1292,1269,1265,1271,1272,1266,1254,1288,1247,1292,1269,1265,1271,1272,1266,1254,1288,1247,1292,1269,1265,1271,1272,1266,1254,1288,1247,1292,1269,1265,1271,1272,1266,1254,1288,1247,1292,1269,1265,1271,1272,1266,1254,1288,1247,1292,1269,1265,1271,1272,1266,1254,1288,1247,1292,1269,1265,1271,1272,1266,1254,1288,1247,1292,1269,1265,1271,1272,1266,1254,1288,1247,1292,1269,1265,1271,1272,1266,1254,1288,1247,1292,1269,1265,1271,1272,1266,1254,1288,1247,1292,1269,1265,1271,1272,157
3862,4145,4000,3974,3943,4043,4054,4007,4004,3862,4145,4000,3974,3943,4043,4054,4007,4004,3862,4145,4000,3974,3943,4043,4054,4007,4004,3862,4145,4000,3974,3943,4043,4054,4007,4004,3862,4145,4000,3974,3943,4043,4054,4007,4004,3862,4145,4000,3974,3943,4043,4054,4007,4004,3862,4145,4000,3974,3943,4043,4054,4007,4004,3862,4145,4000,3974,3943,4043,4054,4007,4004,3862,4145,4000,3974,3943,4043,4054,4007,4004,3862,4145,4000,3974,3943,4043,4054,4007,4004,3862,4145,4000,3974,3943,4043,4054,4007,4004,3862,4145,4000,3974,3943,4043,4054,4007,4004,531
3481,3441,3419,3569,3446,3529,3354,3558,3531,3481,3441,3419,3569,3446,3529,3354,3558,3531,3481,3441,3419,3569,3446,3529,3354,3558,3531,3481,3441,3419,3569,3446,3529,3354,3558,3531,3481,3441,3419,3569,3446,3529,3354,3558,3531,3481,3441,3419,3569,3446,3529,3354,3558,3531,3481,3441,3419,3569,3446,3529,3354,3558,3531,3481,3441,3419,3569,3446,3529,3354,3558,3531,3481,3441,3419,3569,3446,3529,3354,3558,3531,3481,3441,3419,3569,3446,3529,3354,3558,3531,3481,3441,3419,3569,3446,3529,3354,3558,3531,3481,3441,3419,3569,3446,3529,3354,3558,3531,426
3888,3850,3882,3706,4130,3836,3922,3908,3901,3888,3850,3882,3706,4130,3836,3922,3908,3901,3888,3850,3882,3706,4130,3836,3922,3908,3901,3888,3850,3882,3706,4130,3836,3922,3908,3901,3888,3850,3882,3706,4130,3836,3922,3908,3901,3888,3850,3882,3706,4130,3836,3922,3908,3901,3888,3850,3882,3706,4130,3836,3922,3908,3901,3888,3850,3882,3706,4130,3836,3922,3908,3901,3888,3850,3882,3706,4130,3836,3922,3908,3901,3888,3850,3882,3706,4130,3836,3922,3908,3901,3888,3850,3882,3706,4130,3836,3922,3908,3901,3888,3850,3882,3706,4130,3836,3922,3908,3901,568
220,231,225,218,222,236,225,224,227,220,231,225,218,222,236,225,224,227,220,231,225,218,222,236,225,224,227,220,231,225,218,222,236,225,224,227,220,231,225,218,222,236,225,224,227,220,231,225,218,222,236,225,224,227,220,231,225,218,222,236,225,224,227,220,231,225,218,222,236,225,224,227,220,231,225,218,222,236,225,224,227,220,231,225,218,222,236,225,224,227,220,231,225,218,222,236,225,224,227,220,231,225,218,222,236,225,224,227,90
7998,8001,8000,7985,7983,8029,7999,7997,8005,7998,8001,8000,7985,7983,8029,7999,7997,8005,7998,8001,8000,7985,7983,8029,7999,7997,8005,7998,8001,8000,7985,7983,8029,7999,7997,8005,7998,8001,8000,7985,7983,8029,7999,7997,8005,7998,8001,8000,7985,7983,8029,7999,7997,8005,7998,8001,8000,7985,7983,8029,7999,7997,8005,7998,8001,8000,7985,7983,8029,7999,7997,8005,7998,8001,8000,7985,7983,8029,7999,7997,8005,7998,8001,8000,7985,7983,8029,7999,7997,8005,7998,8001,8000,7985,7983,8029,7999,7997,8005,7998,8001,8000,7985,7983,8029,7999,7997,8005,4
1321,1343,1370,1354,1322,1038,1676,1236,1464,1321,1343,1370,1354,1322,1038,1676,1236,1464,1321,1343,1370,1354,1322,1038,1676,1236,1464,1321,1343,1370,1354,1322,1038,1676,1236,1464,1321,1343,1370,1354,1322,1038,1676,1236,1464,1321,1343,1370,1354,1322,1038,1676,1236,1464,1321,1343,1370,1354,1322,1038,1676,1236,1464,1321,1343,1370,1354,1322,1038,1676,1236,1464,1321,1343,1370,1354,1322,1038,1676,1236,1464,1321,1343,1370,1354,1322,1038,1676,1236,1464,1321,1343,1370,1354,1322,1038,1676,1236,1464,1321,1343,1370,1354,1322,1038,1676,1236,1464,373
824,1161,983,743,1380,736,1231,1097,1098,824,1161,983,743,1380,736,1231,1097,1098,824,1161,983,743,1380,736,1231,1097,1098,824,1161,983,743,1380,736,1231,1097,1098,824,1161,983,743,1380,736,1231,1097,1098,824,1161,983,743,1380,736,1231,1097,1098,824,1161,983,743,1380,736,1231,1097,1098,824,1161,983,743,1380,736,1231,1097,1098,824,1161,983,743,1380,736,1231,1097,1098,824,1161,983,743,1380,736,1231,1097,1098,824,1161,983,743,1380,736,1231,1097,1098,824,1161,983,743,1380,736,1231,1097,1098,6
2846,3312,3143,3091,2721,3494,3031,3209,3106,2846,3312,3143,3091,2721,3494,3031,3209,3106,2846,3312,3143,3091,2721,3494,3031,3209,3106,2846,3312,3143,3091,2721,3494,3031,3209,3106,2846,3312,3143,3091,2721,3494,3031,3209,3106,2846,3312,3143,3091,2721,3494,3031,3209,3106,2846,3312,3143,3091,2721,3494,3031,3209,3106,2846,3312,3143,3091,2721,3494,3031,3209,3106,2846,3312,3143,3091,2721,3494,3031,3209,3106,2846,3312,3143,3091,2721,3494,3031,3209,3106,2846,3312,3143,3091,2721,3494,3031,3209,3106,2846,3312,3143,3091,2721,3494,3031,3209,3106,328
1803,1662,2341,1931,1943,1886,1761,2074,2024,1803,1662,2341,1931,1943,1886,1761,2074,2024,1803,1662,2341,1931,1943,1886,1761,2074,2024,1803,1662,2341,1931,1943,1886,1761,2074,2024,1803,1662,2341,1931,1943,1886,1761,2074,2024,1803,1662,2341,1931,1943,1886,1761,2074,2024,1803,1662,2341,1931,1943,1886,1761,2074,2024,1803,1662,2341,1931,1943,1886,1761,2074,2024,1803,1662,2341,1931,1943,1886,1761,2074,2024,1803,1662,2341,1931,1943,1886,1761,2074,2024,1803,1662,2341,1931,1943,1886,1761,2074,2024,1803,1662,2341,1931,1943,1886,1761,2074,2024,412
