band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,census_code
727,780,769,758,748,766,754,719,806,759,727,780,769,758,748,766,754,719,806,759,727,780,769,758,748,766,754,719,806,759,727,780,769,758,748,766,754,719,806,759,727,780,769,758,748,766,754,719,806,759,727,780,769,758,748,766,754,719,806,759,727,780,769,758,748,766,754,719,806,759,727,780,769,758,748,766,754,719,806,759,727,780,769,758,748,766,754,719,806,759,727,780,769,758,748,766,754,719,806,759,727,780,769,758,748,766,754,719,806,759,727,780,769,758,748,766,754,719,806,759,489
2040,1994,2013,2110,1959,2126,2038,1971,2088,2064,2040,1994,2013,2110,1959,2126,2038,1971,2088,2064,2040,1994,2013,2110,1959,2126,2038,1971,2088,2064,2040,1994,2013,2110,1959,2126,2038,1971,2088,2064,2040,1994,2013,2110,1959,2126,2038,1971,2088,2064,2040,1994,2013,2110,1959,2126,2038,1971,2088,2064,2040,1994,2013,2110,1959,2126,2038,1971,2088,2064,2040,1994,2013,2110,1959,2126,2038,1971,2088,2064,2040,1994,2013,2110,1959,2126,2038,1971,2088,2064,2040,1994,2013,2110,1959,2126,2038,1971,2088,2064,2040,1994,2013,2110,1959,2126,2038,1971,2088,2064,2040,1994,2013,2110,1959,2126,2038,1971,2088,2064,411
1901,1972,1857,1953,1987,1954,1784,1901,2130,1938,1901,1972,1857,1953,1987,1954,1784,1901,2130,1938,1901,1972,1857,1953,1987,1954,1784,1901,2130,1938,1901,1972,1857,1953,1987,1954,1784,1901,2130,1938,1901,1972,1857,1953,1987,1954,1784,1901,2130,1938,1901,1972,1857,1953,1987,1954,1784,1901,2130,1938,1901,1972,1857,1953,1987,1954,1784,1901,2130,1938,1901,1972,1857,1953,1987,1954,1784,1901,2130,1938,1901,1972,1857,1953,1987,1954,1784,1901,2130,1938,1901,1972,1857,1953,1987,1954,1784,1901,2130,1938,1901,1972,1857,1953,1987,1954,1784,1901,2130,1938,1901,1972,1857,1953,1987,1954,1784,1901,2130,1938,561
682,710,711,629,775,594,755,657,792,712,682,710,711,629,775,594,755,657,792,712,682,710,711,629,775,594,755,657,792,712,682,710,711,629,775,594,755,657,792,712,682,710,711,629,775,594,755,657,792,712,682,710,711,629,775,594,755,657,792,712,682,710,711,629,775,594,755,657,792,712,682,710,711,629,775,594,755,657,792,712,682,710,711,629,775,594,755,657,792,712,682,710,711,629,775,594,755,657,792,712,682,710,711,629,775,594,755,657,792,712,682,710,711,629,775,594,755,657,792,712,585
581,655,630,640,594,645,597,675,630,629,581,655,630,640,594,645,597,675,630,629,581,655,630,640,594,645,597,675,630,629,581,655,630,640,594,645,597,675,630,629,581,655,630,640,594,645,597,675,630,629,581,655,630,640,594,645,597,675,630,629,581,655,630,640,594,645,597,675,630,629,581,655,630,640,594,645,597,675,630,629,581,655,630,640,594,645,597,675,630,629,581,655,630,640,594,645,597,675,630,629,581,655,630,640,594,645,597,675,630,629,581,655,630,640,594,645,597,675,630,629,630
1846,1882,1717,1875,1667,2212,1870,1598,1976,2028,1846,1882,1717,1875,1667,2212,1870,1598,1976,2028,1846,1882,1717,1875,1667,2212,1870,1598,1976,2028,1846,1882,1717,1875,1667,2212,1870,1598,1976,2028,1846,1882,1717,1875,1667,2212,1870,1598,1976,2028,1846,1882,1717,1875,1667,2212,1870,1598,1976,2028,1846,1882,1717,1875,1667,2212,1870,1598,1976,2028,1846,1882,1717,1875,1667,2212,1870,1598,1976,2028,1846,1882,1717,1875,1667,2212,1870,1598,1976,2028,1846,1882,1717,1875,1667,2212,1870,1598,1976,2028,1846,1882,1717,1875,1667,2212,1870,1598,1976,2028,1846,1882,1717,1875,1667,2212,1870,1598,1976,2028,133
2904,2897,2914,2882,2907,2926,2903,2888,2922,2909,2904,2897,2914,2882,2907,2926,2903,2888,2922,2909,2904,2897,2914,2882,2907,2926,2903,2888,2922,2909,2904,2897,2914,2882,2907,2926,2903,2888,2922,2909,2904,2897,2914,2882,2907,2926,2903,2888,2922,2909,2904,2897,2914,2882,2907,2926,2903,2888,2922,2909,2904,2897,2914,2882,2907,2926,2903,2888,2922,2909,2904,2897,2914,2882,2907,2926,2903,2888,2922,2909,2904,2897,2914,2882,2907,2926,2903,2888,2922,2909,2904,2897,2914,2882,2907,2926,2903,2888,2922,2909,2904,2897,2914,2882,2907,2926,2903,2888,2922,2909,2904,2897,2914,2882,2907,2926,2903,2888,2922,2909,372
3154,3337,3285,3277,3023,3497,3066,3443,3303,3268,3154,3337,3285,3277,3023,3497,3066,3443,3303,3268,3154,3337,3285,3277,3023,3497,3066,3443,3303,3268,3154,3337,3285,3277,3023,3497,3066,3443,3303,3268,3154,3337,3285,3277,3023,3497,3066,3443,3303,3268,3154,3337,3285,3277,3023,3497,3066,3443,3303,3268,3154,3337,3285,3277,3023,3497,3066,3443,3303,3268,3154,3337,3285,3277,3023,3497,3066,3443,3303,3268,3154,3337,3285,3277,3023,3497,3066,3443,3303,3268,3154,3337,3285,3277,3023,3497,3066,3443,3303,3268,3154,3337,3285,3277,3023,3497,3066,3443,3303,3268,3154,3337,3285,3277,3023,3497,3066,3443,3303,3268,486
214,290,138,367,234,200,294,273,233,287,214,290,138,367,234,200,294,273,233,287,214,290,138,367,234,200,294,273,233,287,214,290,138,367,234,200,294,273,233,287,214,290,138,367,234,200,294,273,233,287,214,290,138,367,234,200,294,273,233,287,214,290,138,367,234,200,294,273,233,287,214,290,138,367,234,200,294,273,233,287,214,290,138,367,234,200,294,273,233,287,214,290,138,367,234,200,294,273,233,287,214,290,138,367,234,200,294,273,233,287,214,290,138,367,234,200,294,273,233,287,268
2338,2338,2297,2300,2401,2220,2269,2543,2272,2417,2338,2338,2297,2300,2401,2220,2269,2543,2272,2417,2338,2338,2297,2300,2401,2220,2269,2543,2272,2417,2338,2338,2297,2300,2401,2220,2269,2543,2272,2417,2338,2338,2297,2300,2401,2220,2269,2543,2272,2417,2338,2338,2297,2300,2401,2220,2269,2543,2272,2417,2338,2338,2297,2300,2401,2220,2269,2543,2272,2417,2338,2338,2297,2300,2401,2220,2269,2543,2272,2417,2338,2338,2297,2300,2401,2220,2269,2543,2272,2417,2338,2338,2297,2300,2401,2220,2269,2543,2272,2417,2338,2338,2297,2300,2401,2220,2269,2543,2272,2417,2338,2338,2297,2300,2401,2220,2269,2543,2272,2417,366
895,1165,1099,1083,1072,1056,996,1066,1049,1165,895,1165,1099,1083,1072,1056,996,1066,1049,1165,895,1165,1099,1083,1072,1056,996,1066,1049,1165,895,1165,1099,1083,1072,1056,996,1066,1049,1165,895,1165,1099,1083,1072,1056,996,1066,1049,1165,895,1165,1099,1083,1072,1056,996,1066,1049,1165,895,1165,1099,1083,1072,1056,996,1066,1049,1165,895,1165,1099,1083,1072,1056,996,1066,1049,1165,895,1165,1099,1083,1072,1056,996,1066,1049,1165,895,1165,1099,1083,1072,1056,996,1066,1049,1165,895,1165,1099,1083,1072,1056,996,1066,1049,1165,895,1165,1099,1083,1072,1056,996,1066,1049,1165,73
857,1227,787,1620,1113,1134,1101,1044,1224,1125,857,1227,787,1620,1113,1134,1101,1044,1224,1125,857,1227,787,1620,1113,1134,1101,1044,1224,1125,857,1227,787,1620,1113,1134,1101,1044,1224,1125,857,1227,787,1620,1113,1134,1101,1044,1224,1125,857,1227,787,1620,1113,1134,1101,1044,1224,1125,857,1227,787,1620,1113,1134,1101,1044,1224,1125,857,1227,787,1620,1113,1134,1101,1044,1224,1125,857,1227,787,1620,1113,1134,1101,1044,1224,1125,857,1227,787,1620,1113,1134,1101,1044,1224,1125,857,1227,787,1620,1113,1134,1101,1044,1224,1125,857,1227,787,1620,1113,1134,1101,1044,1224,1125,196
2334,2091,2141,2066,2922,2493,2407,2124,2346,2608,2334,2091,2141,2066,2922,2493,2407,2124,2346,2608,2334,2091,2141,2066,2922,2493,2407,2124,2346,2608,2334,2091,2141,2066,2922,2493,2407,2124,2346,2608,2334,2091,2141,2066,2922,2493,2407,2124,2346,2608,2334,2091,2141,2066,2922,2493,2407,2124,2346,2608,2334,2091,2141,2066,2922,2493,2407,2124,2346,2608,2334,2091,2141,2066,2922,2493,2407,2124,2346,2608,2334,2091,2141,2066,2922,2493,2407,2124,2346,2608,2334,2091,2141,2066,2922,2493,2407,2124,2346,2608,2334,2091,2141,2066,2922,2493,2407,2124,2346,2608,2334,2091,2141,2066,2922,2493,2407,2124,2346,2608,441
1015,951,1070,859,1190,1009,922,1117,1004,1041,1015,951,1070,859,1190,1009,922,1117,1004,1041,1015,951,1070,859,1190,1009,922,1117,1004,1041,1015,951,1070,859,1190,1009,922,1117,1004,1041,1015,951,1070,859,1190,1009,922,1117,1004,1041,1015,951,1070,859,1190,1009,922,1117,1004,1041,1015,951,1070,859,1190,1009,922,1117,1004,1041,1015,951,1070,859,1190,1009,922,1117,1004,1041,1015,951,1070,859,1190,1009,922,1117,1004,1041,1015,951,1070,859,1190,1009,922,1117,1004,1041,1015,951,1070,859,1190,1009,922,1117,1004,1041,1015,951,1070,859,1190,1009,922,1117,1004,1041,618
1707,1695,1624,1529,1763,1909,1653,1394,2070,1725,1707,1695,1624,1529,1763,1909,1653,1394,2070,1725,1707,1695,1624,1529,1763,1909,1653,1394,2070,1725,1707,1695,1624,1529,1763,1909,1653,1394,2070,1725,1707,1695,1624,1529,1763,1909,1653,1394,2070,1725,1707,1695,1624,1529,1763,1909,1653,1394,2070,1725,1707,1695,1624,1529,1763,1909,1653,1394,2070,1725,1707,1695,1624,1529,1763,1909,1653,1394,2070,1725,1707,1695,1624,1529,1763,1909,1653,1394,2070,1725,1707,1695,1624,1529,1763,1909,1653,1394,2070,1725,1707,1695,1624,1529,1763,1909,1653,1394,2070,1725,1707,1695,1624,1529,1763,1909,1653,1394,2070,1725,439
4816,4480,5285,4200,5508,4721,4589,5283,4734,5003,4816,4480,5285,4200,5508,4721,4589,5283,4734,5003,4816,4480,5285,4200,5508,4721,4589,5283,4734,5003,4816,4480,5285,4200,5508,4721,4589,5283,4734,5003,4816,4480,5285,4200,5508,4721,4589,5283,4734,5003,4816,4480,5285,4200,5508,4721,4589,5283,4734,5003,4816,4480,5285,4200,5508,4721,4589,5283,4734,5003,4816,4480,5285,4200,5508,4721,4589,5283,4734,5003,4816,4480,5285,4200,5508,4721,4589,5283,4734,5003,4816,4480,5285,4200,5508,4721,4589,5283,4734,5003,4816,4480,5285,4200,5508,4721,4589,5283,4734,5003,4816,4480,5285,4200,5508,4721,4589,5283,4734,5003,476
1017,1023,1275,475,1381,787,1403,1468,1074,1145,1017,1023,1275,475,1381,787,1403,1468,1074,1145,1017,1023,1275,475,1381,787,1403,1468,1074,1145,1017,1023,1275,475,1381,787,1403,1468,1074,1145,1017,1023,1275,475,1381,787,1403,1468,1074,1145,1017,1023,1275,475,1381,787,1403,1468,1074,1145,1017,1023,1275,475,1381,787,1403,1468,1074,1145,1017,1023,1275,475,1381,787,1403,1468,1074,1145,1017,1023,1275,475,1381,787,1403,1468,1074,1145,1017,1023,1275,475,1381,787,1403,1468,1074,1145,1017,1023,1275,475,1381,787,1403,1468,1074,1145,1017,1023,1275,475,1381,787,1403,1468,1074,1145,68
3382,3167,3600,3165,3440,3481,3188,3482,3426,3508,3382,3167,3600,3165,3440,3481,3188,3482,3426,3508,3382,3167,3600,3165,3440,3481,3188,3482,3426,3508,3382,3167,3600,3165,3440,3481,3188,3482,3426,3508,3382,3167,3600,3165,3440,3481,3188,3482,3426,3508,3382,3167,3600,3165,3440,3481,3188,3482,3426,3508,3382,3167,3600,3165,3440,3481,3188,3482,3426,3508,3382,3167,3600,3165,3440,3481,3188,3482,3426,3508,3382,3167,3600,3165,3440,3481,3188,3482,3426,3508,3382,3167,3600,3165,3440,3481,3188,3482,3426,3508,3382,3167,3600,3165,3440,3481,3188,3482,3426,3508,3382,3167,3600,3165,3440,3481,3188,3482,3426,3508,126
1772,1825,1823,1932,1988,1655,1487,2220,2091,1894,1772,1825,1823,1932,1988,1655,1487,2220,2091,1894,1772,1825,1823,1932,1988,1655,1487,2220,2091,1894,1772,1825,1823,1932,1988,1655,1487,2220,2091,1894,1772,1825,1823,1932,1988,1655,1487,2220,2091,1894,1772,1825,1823,1932,1988,1655,1487,2220,2091,1894,1772,1825,1823,1932,1988,1655,1487,2220,2091,1894,1772,1825,1823,1932,1988,1655,1487,2220,2091,1894,1772,1825,1823,1932,1988,1655,1487,2220,2091,1894,1772,1825,1823,1932,1988,1655,1487,2220,2091,1894,1772,1825,1823,1932,1988,1655,1487,2220,2091,1894,1772,1825,1823,1932,1988,1655,1487,2220,2091,1894,492
1321,1340,1060,1556,1426,881,1780,1305,1384,1369,1321,1340,1060,1556,1426,881,1780,1305,1384,1369,1321,1340,1060,1556,1426,881,1780,1305,1384,1369,1321,1340,1060,1556,1426,881,1780,1305,1384,1369,1321,1340,1060,1556,1426,881,1780,1305,1384,1369,1321,1340,1060,1556,1426,881,1780,1305,1384,1369,1321,1340,1060,1556,1426,881,1780,1305,1384,1369,1321,1340,1060,1556,1426,881,1780,1305,1384,1369,1321,1340,1060,1556,1426,881,1780,1305,1384,1369,1321,1340,1060,1556,1426,881,1780,1305,1384,1369,1321,1340,1060,1556,1426,881,1780,1305,1384,1369,1321,1340,1060,1556,1426,881,1780,1305,1384,1369,193
100,160,58,165,174,135,130,138,133,134,100,160,58,165,174,135,130,138,133,134,100,160,58,165,174,135,130,138,133,134,100,160,58,165,174,135,130,138,133,134,100,160,58,165,174,135,130,138,133,134,100,160,58,165,174,135,130,138,133,134,100,160,58,165,174,135,130,138,133,134,100,160,58,165,174,135,130,138,133,134,100,160,58,165,174,135,130,138,133,134,100,160,58,165,174,135,130,138,133,134,100,160,58,165,174,135,130,138,133,134,100,160,58,165,174,135,130,138,133,134,277
3449,3406,3539,3448,3377,3574,3461,3477,3462,3494,3449,3406,3539,3448,3377,3574,3461,3477,3462,3494,3449,3406,3539,3448,3377,3574,3461,3477,3462,3494,3449,3406,3539,3448,3377,3574,3461,3477,3462,3494,3449,3406,3539,3448,3377,3574,3461,3477,3462,3494,3449,3406,3539,3448,3377,3574,3461,3477,3462,3494,3449,3406,3539,3448,3377,3574,3461,3477,3462,3494,3449,3406,3539,3448,3377,3574,3461,3477,3462,3494,3449,3406,3539,3448,3377,3574,3461,3477,3462,3494,3449,3406,3539,3448,3377,3574,3461,3477,3462,3494,3449,3406,3539,3448,3377,3574,3461,3477,3462,3494,3449,3406,3539,3448,3377,3574,3461,3477,3462,3494,408
2053,1901,3026,2847,4212,2822,4027,2983,2920,3049,2053,1901,3026,2847,4212,2822,4027,2983,2920,3049,2053,1901,3026,2847,4212,2822,4027,2983,2920,3049,2053,1901,3026,2847,4212,2822,4027,2983,2920,3049,2053,1901,3026,2847,4212,2822,4027,2983,2920,3049,2053,1901,3026,2847,4212,2822,4027,2983,2920,3049,2053,1901,3026,2847,4212,2822,4027,2983,2920,3049,2053,1901,3026,2847,4212,2822,4027,2983,2920,3049,2053,1901,3026,2847,4212,2822,4027,2983,2920,3049,2053,1901,3026,2847,4212,2822,4027,2983,2920,3049,2053,1901,3026,2847,4212,2822,4027,2983,2920,3049,2053,1901,3026,2847,4212,2822,4027,2983,2920,3049,570
2436,2474,2430,2519,2457,2431,2232,2719,2424,2526,2436,2474,2430,2519,2457,2431,2232,2719,2424,2526,2436,2474,2430,2519,2457,2431,2232,2719,2424,2526,2436,2474,2430,2519,2457,2431,2232,2719,2424,2526,2436,2474,2430,2519,2457,2431,2232,2719,2424,2526,2436,2474,2430,2519,2457,2431,2232,2719,2424,2526,2436,2474,2430,2519,2457,2431,2232,2719,2424,2526,2436,2474,2430,2519,2457,2431,2232,2719,2424,2526,2436,2474,2430,2519,2457,2431,2232,2719,2424,2526,2436,2474,2430,2519,2457,2431,2232,2719,2424,2526,2436,2474,2430,2519,2457,2431,2232,2719,2424,2526,2436,2474,2430,2519,2457,2431,2232,2719,2424,2526,399
1141,1132,1137,1159,1138,1141,1139,1152,1138,1147,1141,1132,1137,1159,1138,1141,1139,1152,1138,1147,1141,1132,1137,1159,1138,1141,1139,1152,1138,1147,1141,1132,1137,1159,1138,1141,1139,1152,1138,1147,1141,1132,1137,1159,1138,1141,1139,1152,1138,1147,1141,1132,1137,1159,1138,1141,1139,1152,1138,1147,1141,1132,1137,1159,1138,1141,1139,1152,1138,1147,1141,1132,1137,1159,1138,1141,1139,1152,1138,1147,1141,1132,1137,1159,1138,1141,1139,1152,1138,1147,1141,1132,1137,1159,1138,1141,1139,1152,1138,1147,1141,1132,1137,1159,1138,1141,1139,1152,1138,1147,1141,1132,1137,1159,1138,1141,1139,1152,1138,1147,157
3579,3508,3714,3588,3440,3790,3603,3593,3568,3649,3579,3508,3714,3588,3440,3790,3603,3593,3568,3649,3579,3508,3714,3588,3440,3790,3603,3593,3568,3649,3579,3508,3714,3588,3440,3790,3603,3593,3568,3649,3579,3508,3714,3588,3440,3790,3603,3593,3568,3649,3579,3508,3714,3588,3440,3790,3603,3593,3568,3649,3579,3508,3714,3588,3440,3790,3603,3593,3568,3649,3579,3508,3714,3588,3440,3790,3603,3593,3568,3649,3579,3508,3714,3588,3440,3790,3603,3593,3568,3649,3579,3508,3714,3588,3440,3790,3603,3593,3568,3649,3579,3508,3714,3588,3440,3790,3603,3593,3568,3649,3579,3508,3714,3588,3440,3790,3603,3593,3568,3649,531
3098,3124,3174,3133,3045,3175,3125,3180,3127,3147,3098,3124,3174,3133,3045,3175,3125,3180,3127,3147,3098,3124,3174,3133,3045,3175,3125,3180,3127,3147,3098,3124,3174,3133,3045,3175,3125,3180,3127,3147,3098,3124,3174,3133,3045,3175,3125,3180,3127,3147,3098,3124,3174,3133,3045,3175,3125,3180,3127,3147,3098,3124,3174,3133,3045,3175,3125,3180,3127,3147,3098,3124,3174,3133,3045,3175,3125,3180,3127,3147,3098,3124,3174,3133,3045,3175,3125,3180,3127,3147,3098,3124,3174,3133,3045,3175,3125,3180,3127,3147,3098,3124,3174,3133,3045,3175,3125,3180,3127,3147,3098,3124,3174,3133,3045,3175,3125,3180,3127,3147,426
3414,3397,3686,3430,3565,3511,3438,3534,3493,3555,3414,3397,3686,3430,3565,3511,3438,3534,3493,3555,3414,3397,3686,3430,3565,3511,3438,3534,3493,3555,3414,3397,3686,3430,3565,3511,3438,3534,3493,3555,3414,3397,3686,3430,3565,3511,3438,3534,3493,3555,3414,3397,3686,3430,3565,3511,3438,3534,3493,3555,3414,3397,3686,3430,3565,3511,3438,3534,3493,3555,3414,3397,3686,3430,3565,3511,3438,3534,3493,3555,3414,3397,3686,3430,3565,3511,3438,3534,3493,3555,3414,3397,3686,3430,3565,3511,3438,3534,3493,3555,3414,3397,3686,3430,3565,3511,3438,3534,3493,3555,3414,3397,3686,3430,3565,3511,3438,3534,3493,3555,568
202,204,199,205,204,203,196,208,204,203,202,204,199,205,204,203,196,208,204,203,202,204,199,205,204,203,196,208,204,203,202,204,199,205,204,203,196,208,204,203,202,204,199,205,204,203,196,208,204,203,202,204,199,205,204,203,196,208,204,203,202,204,199,205,204,203,196,208,204,203,202,204,199,205,204,203,196,208,204,203,202,204,199,205,204,203,196,208,204,203,202,204,199,205,204,203,196,208,204,203,202,204,199,205,204,203,196,208,204,203,202,204,199,205,204,203,196,208,204,203,90
7195,7204,7198,7200,7200,7159,7242,7194,7172,7233,7195,7204,7198,7200,7200,7159,7242,7194,7172,7233,7195,7204,7198,7200,7200,7159,7242,7194,7172,7233,7195,7204,7198,7200,7200,7159,7242,7194,7172,7233,7195,7204,7198,7200,7200,7159,7242,7194,7172,7233,7195,7204,7198,7200,7200,7159,7242,7194,7172,7233,7195,7204,7198,7200,7200,7159,7242,7194,7172,7233,7195,7204,7198,7200,7200,7159,7242,7194,7172,7233,7195,7204,7198,7200,7200,7159,7242,7194,7172,7233,7195,7204,7198,7200,7200,7159,7242,7194,7172,7233,7195,7204,7198,7200,7200,7159,7242,7194,7172,7233,7195,7204,7198,7200,7200,7159,7242,7194,7172,7233,4
1193,1224,1152,1272,1212,1185,1086,1100,1468,1232,1193,1224,1152,1272,1212,1185,1086,1100,1468,1232,1193,1224,1152,1272,1212,1185,1086,1100,1468,1232,1193,1224,1152,1272,1212,1185,1086,1100,1468,1232,1193,1224,1152,1272,1212,1185,1086,1100,1468,1232,1193,1224,1152,1272,1212,1185,1086,1100,1468,1232,1193,1224,1152,1272,1212,1185,1086,1100,1468,1232,1193,1224,1152,1272,1212,1185,1086,1100,1468,1232,1193,1224,1152,1272,1212,1185,1086,1100,1468,1232,1193,1224,1152,1272,1212,1185,1086,1100,1468,1232,1193,1224,1152,1272,1212,1185,1086,1100,1468,1232,1193,1224,1152,1272,1212,1185,1086,1100,1468,1232,373
824,861,888,1021,797,700,1318,649,1097,1098,824,861,888,1021,797,700,1318,649,1097,1098,824,861,888,1021,797,700,1318,649,1097,1098,824,861,888,1021,797,700,1318,649,1097,1098,824,861,888,1021,797,700,1318,649,1097,1098,824,861,888,1021,797,700,1318,649,1097,1098,824,861,888,1021,797,700,1318,649,1097,1098,824,861,888,1021,797,700,1318,649,1097,1098,824,861,888,1021,797,700,1318,649,1097,1098,824,861,888,1021,797,700,1318,649,1097,1098,824,861,888,1021,797,700,1318,649,1097,1098,824,861,888,1021,797,700,1318,649,1097,1098,6
2763,2775,2800,2815,2796,2762,2808,2830,2736,2868,2763,2775,2800,2815,2796,2762,2808,2830,2736,2868,2763,2775,2800,2815,2796,2762,2808,2830,2736,2868,2763,2775,2800,2815,2796,2762,2808,2830,2736,2868,2763,2775,2800,2815,2796,2762,2808,2830,2736,2868,2763,2775,2800,2815,2796,2762,2808,2830,2736,2868,2763,2775,2800,2815,2796,2762,2808,2830,2736,2868,2763,2775,2800,2815,2796,2762,2808,2830,2736,2868,2763,2775,2800,2815,2796,2762,2808,2830,2736,2868,2763,2775,2800,2815,2796,2762,2808,2830,2736,2868,2763,2775,2800,2815,2796,2762,2808,2830,2736,2868,2763,2775,2800,2815,2796,2762,2808,2830,2736,2868,328
1649,1816,1447,1977,1589,1703,1974,1691,1813,1766,1649,1816,1447,1977,1589,1703,1974,1691,1813,1766,1649,1816,1447,1977,1589,1703,1974,1691,1813,1766,1649,1816,1447,1977,1589,1703,1974,1691,1813,1766,1649,1816,1447,1977,1589,1703,1974,1691,1813,1766,1649,1816,1447,1977,1589,1703,1974,1691,1813,1766,1649,1816,1447,1977,1589,1703,1974,1691,1813,1766,1649,1816,1447,1977,1589,1703,1974,1691,1813,1766,1649,1816,1447,1977,1589,1703,1974,1691,1813,1766,1649,1816,1447,1977,1589,1703,1974,1691,1813,1766,1649,1816,1447,1977,1589,1703,1974,1691,1813,1766,1649,1816,1447,1977,1589,1703,1974,1691,1813,1766,412
891,792,1030,673,813,913,736,1329,733,1151,891,792,1030,673,813,913,736,1329,733,1151,891,792,1030,673,813,913,736,1329,733,1151,891,792,1030,673,813,913,736,1329,733,1151,891,792,1030,673,813,913,736,1329,733,1151,891,792,1030,673,813,913,736,1329,733,1151,891,792,1030,673,813,913,736,1329,733,1151,891,792,1030,673,813,913,736,1329,733,1151,891,792,1030,673,813,913,736,1329,733,1151,891,792,1030,673,813,913,736,1329,733,1151,891,792,1030,673,813,913,736,1329,733,1151,891,792,1030,673,813,913,736,1329,733,1151,326
2481,2511,2384,2613,2484,2494,2426,2540,2540,2513,2481,2511,2384,2613,2484,2494,2426,2540,2540,2513,2481,2511,2384,2613,2484,2494,2426,2540,2540,2513,2481,2511,2384,2613,2484,2494,2426,2540,2540,2513,2481,2511,2384,2613,2484,2494,2426,2540,2540,2513,2481,2511,2384,2613,2484,2494,2426,2540,2540,2513,2481,2511,2384,2613,2484,2494,2426,2540,2540,2513,2481,2511,2384,2613,2484,2494,2426,2540,2540,2513,2481,2511,2384,2613,2484,2494,2426,2540,2540,2513,2481,2511,2384,2613,2484,2494,2426,2540,2540,2513,2481,2511,2384,2613,2484,2494,2426,2540,2540,2513,2481,2511,2384,2613,2484,2494,2426,2540,2540,2513,370
3488,3498,3468,3512,3489,3371,3617,3491,3490,3504,3488,3498,3468,3512,3489,3371,3617,3491,3490,3504,3488,3498,3468,3512,3489,3371,3617,3491,3490,3504,3488,3498,3468,3512,3489,3371,3617,3491,3490,3504,3488,3498,3468,3512,3489,3371,3617,3491,3490,3504,3488,3498,3468,3512,3489,3371,3617,3491,3490,3504,3488,3498,3468,3512,3489,3371,3617,3491,3490,3504,3488,3498,3468,3512,3489,3371,3617,3491,3490,3504,3488,3498,3468,3512,3489,3371,3617,3491,3490,3504,3488,3498,3468,3512,3489,3371,3617,3491,3490,3504,3488,3498,3468,3512,3489,3371,3617,3491,3490,3504,3488,3498,3468,3512,3489,3371,3617,3491,3490,3504,474
722,1778,1236,1055,1455,1137,1372,1277,1230,1280,722,1778,1236,1055,1455,1137,1372,1277,1230,1280,722,1778,1236,1055,1455,1137,1372,1277,1230,1280,722,1778,1236,1055,1455,1137,1372,1277,1230,1280,722,1778,1236,1055,1455,1137,1372,1277,1230,1280,722,1778,1236,1055,1455,1137,1372,1277,1230,1280,722,1778,1236,1055,1455,1137,1372,1277,1230,1280,722,1778,1236,1055,1455,1137,1372,1277,1230,1280,722,1778,1236,1055,1455,1137,1372,1277,1230,1280,722,1778,1236,1055,1455,1137,1372,1277,1230,1280,722,1778,1236,1055,1455,1137,1372,1277,1230,1280,722,1778,1236,1055,1455,1137,1372,1277,1230,1280,49
679,503,854,683,667,600,774,669,685,687,679,503,854,683,667,600,774,669,685,687,679,503,854,683,667,600,774,669,685,687,679,503,854,683,667,600,774,669,685,687,679,503,854,683,667,600,774,669,685,687,679,503,854,683,667,600,774,669,685,687,679,503,854,683,667,600,774,669,685,687,679,503,854,683,667,600,774,669,685,687,679,503,854,683,667,600,774,669,685,687,679,503,854,683,667,600,774,669,685,687,679,503,854,683,667,600,774,669,685,687,679,503,854,683,667,600,774,669,685,687,85
