band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,census_code
619,841,829,1138,1308,1050,814,1285,1102,903,619,841,829,1138,1308,1050,814,1285,1102,903,619,841,829,1138,1308,1050,814,1285,1102,903,619,841,829,1138,1308,1050,814,1285,1102,903,619,841,829,1138,1308,1050,814,1285,1102,903,619,841,829,1138,1308,1050,814,1285,1102,903,619,841,829,1138,1308,1050,814,1285,1102,903,619,841,829,1138,1308,1050,814,1285,1102,903,619,841,829,1138,1308,1050,814,1285,1102,903,619,841,829,1138,1308,1050,814,1285,1102,903,619,841,829,1138,1308,1050,814,1285,1102,903,619,841,829,1138,1308,1050,814,1285,1102,903,478,,,,,,,,,,,,
1978,2041,2002,2037,2005,1990,2059,1968,1970,2109,2018,1978,2041,2002,2037,2005,1990,2059,1968,1970,2109,2018,1978,2041,2002,2037,2005,1990,2059,1968,1970,2109,2018,1978,2041,2002,2037,2005,1990,2059,1968,1970,2109,2018,1978,2041,2002,2037,2005,1990,2059,1968,1970,2109,2018,1978,2041,2002,2037,2005,1990,2059,1968,1970,2109,2018,1978,2041,2002,2037,2005,1990,2059,1968,1970,2109,2018,1978,2041,2002,2037,2005,1990,2059,1968,1970,2109,2018,1978,2041,2002,2037,2005,1990,2059,1968,1970,2109,2018,1978,2041,2002,2037,2005,1990,2059,1968,1970,2109,2018,1978,2041,2002,2037,2005,1990,2059,1968,1970,2109,2018,1978,2041,2002,2037,2005,1990,2059,1968,1970,2109,2018,580
536,534,538,543,537,522,513,559,515,573,544,536,534,538,543,537,522,513,559,515,573,544,536,534,538,543,537,522,513,559,515,573,544,536,534,538,543,537,522,513,559,515,573,544,536,534,538,543,537,522,513,559,515,573,544,536,534,538,543,537,522,513,559,515,573,544,536,534,538,543,537,522,513,559,515,573,544,536,534,538,543,537,522,513,559,515,573,544,536,534,538,543,537,522,513,559,515,573,544,536,534,538,543,537,522,513,559,515,573,544,536,534,538,543,537,522,513,559,515,573,544,536,534,538,543,537,522,513,559,515,573,544,51
1327,1171,1088,1727,1267,1366,1133,1546,1321,1317,1365,1327,1171,1088,1727,1267,1366,1133,1546,1321,1317,1365,1327,1171,1088,1727,1267,1366,1133,1546,1321,1317,1365,1327,1171,1088,1727,1267,1366,1133,1546,1321,1317,1365,1327,1171,1088,1727,1267,1366,1133,1546,1321,1317,1365,1327,1171,1088,1727,1267,1366,1133,1546,1321,1317,1365,1327,1171,1088,1727,1267,1366,1133,1546,1321,1317,1365,1327,1171,1088,1727,1267,1366,1133,1546,1321,1317,1365,1327,1171,1088,1727,1267,1366,1133,1546,1321,1317,1365,1327,1171,1088,1727,1267,1366,1133,1546,1321,1317,1365,1327,1171,1088,1727,1267,1366,1133,1546,1321,1317,1365,1327,1171,1088,1727,1267,1366,1133,1546,1321,1317,1365,592
3868,4287,4126,4094,4044,4148,4090,4090,4103,4087,4102,3868,4287,4126,4094,4044,4148,4090,4090,4103,4087,4102,3868,4287,4126,4094,4044,4148,4090,4090,4103,4087,4102,3868,4287,4126,4094,4044,4148,4090,4090,4103,4087,4102,3868,4287,4126,4094,4044,4148,4090,4090,4103,4087,4102,3868,4287,4126,4094,4044,4148,4090,4090,4103,4087,4102,3868,4287,4126,4094,4044,4148,4090,4090,4103,4087,4102,3868,4287,4126,4094,4044,4148,4090,4090,4103,4087,4102,3868,4287,4126,4094,4044,4148,4090,4090,4103,4087,4102,3868,4287,4126,4094,4044,4148,4090,4090,4103,4087,4102,3868,4287,4126,4094,4044,4148,4090,4090,4103,4087,4102,3868,4287,4126,4094,4044,4148,4090,4090,4103,4087,4102,427
1923,1871,1212,2480,1452,2117,2345,1812,1941,2007,1994,1923,1871,1212,2480,1452,2117,2345,1812,1941,2007,1994,1923,1871,1212,2480,1452,2117,2345,1812,1941,2007,1994,1923,1871,1212,2480,1452,2117,2345,1812,1941,2007,1994,1923,1871,1212,2480,1452,2117,2345,1812,1941,2007,1994,1923,1871,1212,2480,1452,2117,2345,1812,1941,2007,1994,1923,1871,1212,2480,1452,2117,2345,1812,1941,2007,1994,1923,1871,1212,2480,1452,2117,2345,1812,1941,2007,1994,1923,1871,1212,2480,1452,2117,2345,1812,1941,2007,1994,1923,1871,1212,2480,1452,2117,2345,1812,1941,2007,1994,1923,1871,1212,2480,1452,2117,2345,1812,1941,2007,1994,1923,1871,1212,2480,1452,2117,2345,1812,1941,2007,1994,81
699,674,620,989,166,1311,226,1269,898,654,912,699,674,620,989,166,1311,226,1269,898,654,912,699,674,620,989,166,1311,226,1269,898,654,912,699,674,620,989,166,1311,226,1269,898,654,912,699,674,620,989,166,1311,226,1269,898,654,912,699,674,620,989,166,1311,226,1269,898,654,912,699,674,620,989,166,1311,226,1269,898,654,912,699,674,620,989,166,1311,226,1269,898,654,912,699,674,620,989,166,1311,226,1269,898,654,912,699,674,620,989,166,1311,226,1269,898,654,912,699,674,620,989,166,1311,226,1269,898,654,912,699,674,620,989,166,1311,226,1269,898,654,912,422
3767,3770,3769,3768,3767,3770,3761,3506,4016,2487,5072,3767,3770,3769,3768,3767,3770,3761,3506,4016,2487,5072,3767,3770,3769,3768,3767,3770,3761,3506,4016,2487,5072,3767,3770,3769,3768,3767,3770,3761,3506,4016,2487,5072,3767,3770,3769,3768,3767,3770,3761,3506,4016,2487,5072,3767,3770,3769,3768,3767,3770,3761,3506,4016,2487,5072,3767,3770,3769,3768,3767,3770,3761,3506,4016,2487,5072,3767,3770,3769,3768,3767,3770,3761,3506,4016,2487,5072,3767,3770,3769,3768,3767,3770,3761,3506,4016,2487,5072,3767,3770,3769,3768,3767,3770,3761,3506,4016,2487,5072,3767,3770,3769,3768,3767,3770,3761,3506,4016,2487,5072,3767,3770,3769,3768,3767,3770,3761,3506,4016,2487,5072,18
1807,1796,1844,1815,1816,1824,1806,1599,2011,1777,1899,1807,1796,1844,1815,1816,1824,1806,1599,2011,1777,1899,1807,1796,1844,1815,1816,1824,1806,1599,2011,1777,1899,1807,1796,1844,1815,1816,1824,1806,1599,2011,1777,1899,1807,1796,1844,1815,1816,1824,1806,1599,2011,1777,1899,1807,1796,1844,1815,1816,1824,1806,1599,2011,1777,1899,1807,1796,1844,1815,1816,1824,1806,1599,2011,1777,1899,1807,1796,1844,1815,1816,1824,1806,1599,2011,1777,1899,1807,1796,1844,1815,1816,1824,1806,1599,2011,1777,1899,1807,1796,1844,1815,1816,1824,1806,1599,2011,1777,1899,1807,1796,1844,1815,1816,1824,1806,1599,2011,1777,1899,1807,1796,1844,1815,1816,1824,1806,1599,2011,1777,1899,564
2426,2261,2157,2521,2565,1581,3313,1759,3051,3278,2786,2426,2261,2157,2521,2565,1581,3313,1759,3051,3278,2786,2426,2261,2157,2521,2565,1581,3313,1759,3051,3278,2786,2426,2261,2157,2521,2565,1581,3313,1759,3051,3278,2786,2426,2261,2157,2521,2565,1581,3313,1759,3051,3278,2786,2426,2261,2157,2521,2565,1581,3313,1759,3051,3278,2786,2426,2261,2157,2521,2565,1581,3313,1759,3051,3278,2786,2426,2261,2157,2521,2565,1581,3313,1759,3051,3278,2786,2426,2261,2157,2521,2565,1581,3313,1759,3051,3278,2786,2426,2261,2157,2521,2565,1581,3313,1759,3051,3278,2786,2426,2261,2157,2521,2565,1581,3313,1759,3051,3278,2786,2426,2261,2157,2521,2565,1581,3313,1759,3051,3278,2786,628
555,545,564,553,541,563,560,555,554,530,580,555,545,564,553,541,563,560,555,554,530,580,555,545,564,553,541,563,560,555,554,530,580,555,545,564,553,541,563,560,555,554,530,580,555,545,564,553,541,563,560,555,554,530,580,555,545,564,553,541,563,560,555,554,530,580,555,545,564,553,541,563,560,555,554,530,580,555,545,564,553,541,563,560,555,554,530,580,555,545,564,553,541,563,560,555,554,530,580,555,545,564,553,541,563,560,555,554,530,580,555,545,564,553,541,563,560,555,554,530,580,555,545,564,553,541,563,560,555,554,530,580,139
1186,1289,1450,1310,1314,1311,1264,1352,1269,1355,1311,1186,1289,1450,1310,1314,1311,1264,1352,1269,1355,1311,1186,1289,1450,1310,1314,1311,1264,1352,1269,1355,1311,1186,1289,1450,1310,1314,1311,1264,1352,1269,1355,1311,1186,1289,1450,1310,1314,1311,1264,1352,1269,1355,1311,1186,1289,1450,1310,1314,1311,1264,1352,1269,1355,1311,1186,1289,1450,1310,1314,1311,1264,1352,1269,1355,1311,1186,1289,1450,1310,1314,1311,1264,1352,1269,1355,1311,1186,1289,1450,1310,1314,1311,1264,1352,1269,1355,1311,1186,1289,1450,1310,1314,1311,1264,1352,1269,1355,1311,1186,1289,1450,1310,1314,1311,1264,1352,1269,1355,1311,1186,1289,1450,1310,1314,1311,1264,1352,1269,1355,1311,163
2246,2469,1850,2059,3179,2282,2243,2488,2225,2558,2378,2246,2469,1850,2059,3179,2282,2243,2488,2225,2558,2378,2246,2469,1850,2059,3179,2282,2243,2488,2225,2558,2378,2246,2469,1850,2059,3179,2282,2243,2488,2225,2558,2378,2246,2469,1850,2059,3179,2282,2243,2488,2225,2558,2378,2246,2469,1850,2059,3179,2282,2243,2488,2225,2558,2378,2246,2469,1850,2059,3179,2282,2243,2488,2225,2558,2378,2246,2469,1850,2059,3179,2282,2243,2488,2225,2558,2378,2246,2469,1850,2059,3179,2282,2243,2488,2225,2558,2378,2246,2469,1850,2059,3179,2282,2243,2488,2225,2558,2378,2246,2469,1850,2059,3179,2282,2243,2488,2225,2558,2378,2246,2469,1850,2059,3179,2282,2243,2488,2225,2558,2378,577
1888,1988,1925,1357,2520,1746,2119,1952,1944,1925,1954,1888,1988,1925,1357,2520,1746,2119,1952,1944,1925,1954,1888,1988,1925,1357,2520,1746,2119,1952,1944,1925,1954,1888,1988,1925,1357,2520,1746,2119,1952,1944,1925,1954,1888,1988,1925,1357,2520,1746,2119,1952,1944,1925,1954,1888,1988,1925,1357,2520,1746,2119,1952,1944,1925,1954,1888,1988,1925,1357,2520,1746,2119,1952,1944,1925,1954,1888,1988,1925,1357,2520,1746,2119,1952,1944,1925,1954,1888,1988,1925,1357,2520,1746,2119,1952,1944,1925,1954,1888,1988,1925,1357,2520,1746,2119,1952,1944,1925,1954,1888,1988,1925,1357,2520,1746,2119,1952,1944,1925,1954,1888,1988,1925,1357,2520,1746,2119,1952,1944,1925,1954,123
182,184,210,191,188,195,192,186,197,195,192,182,184,210,191,188,195,192,186,197,195,192,182,184,210,191,188,195,192,186,197,195,192,182,184,210,191,188,195,192,186,197,195,192,182,184,210,191,188,195,192,186,197,195,192,182,184,210,191,188,195,192,186,197,195,192,182,184,210,191,188,195,192,186,197,195,192,182,184,210,191,188,195,192,186,197,195,192,182,184,210,191,188,195,192,186,197,195,192,182,184,210,191,188,195,192,186,197,195,192,182,184,210,191,188,195,192,186,197,195,192,182,184,210,191,188,195,192,186,197,195,192,496
5199,5324,5277,5264,5157,5317,5077,5432,5329,5292,5270,5199,5324,5277,5264,5157,5317,5077,5432,5329,5292,5270,5199,5324,5277,5264,5157,5317,5077,5432,5329,5292,5270,5199,5324,5277,5264,5157,5317,5077,5432,5329,5292,5270,5199,5324,5277,5264,5157,5317,5077,5432,5329,5292,5270,5199,5324,5277,5264,5157,5317,5077,5432,5329,5292,5270,5199,5324,5277,5264,5157,5317,5077,5432,5329,5292,5270,5199,5324,5277,5264,5157,5317,5077,5432,5329,5292,5270,5199,5324,5277,5264,5157,5317,5077,5432,5329,5292,5270,5199,5324,5277,5264,5157,5317,5077,5432,5329,5292,5270,5199,5324,5277,5264,5157,5317,5077,5432,5329,5292,5270,5199,5324,5277,5264,5157,5317,5077,5432,5329,5292,5270,510
2502,2486,2469,2560,2492,2491,2528,2483,2529,2505,2517,2502,2486,2469,2560,2492,2491,2528,2483,2529,2505,2517,2502,2486,2469,2560,2492,2491,2528,2483,2529,2505,2517,2502,2486,2469,2560,2492,2491,2528,2483,2529,2505,2517,2502,2486,2469,2560,2492,2491,2528,2483,2529,2505,2517,2502,2486,2469,2560,2492,2491,2528,2483,2529,2505,2517,2502,2486,2469,2560,2492,2491,2528,2483,2529,2505,2517,2502,2486,2469,2560,2492,2491,2528,2483,2529,2505,2517,2502,2486,2469,2560,2492,2491,2528,2483,2529,2505,2517,2502,2486,2469,2560,2492,2491,2528,2483,2529,2505,2517,2502,2486,2469,2560,2492,2491,2528,2483,2529,2505,2517,2502,2486,2469,2560,2492,2491,2528,2483,2529,2505,2517,129
825,838,773,885,922,845,839,876,851,850,851,825,838,773,885,922,845,839,876,851,850,851,825,838,773,885,922,845,839,876,851,850,851,825,838,773,885,922,845,839,876,851,850,851,825,838,773,885,922,845,839,876,851,850,851,825,838,773,885,922,845,839,876,851,850,851,825,838,773,885,922,845,839,876,851,850,851,825,838,773,885,922,845,839,876,851,850,851,825,838,773,885,922,845,839,876,851,850,851,825,838,773,885,922,845,839,876,851,850,851,825,838,773,885,922,845,839,876,851,850,851,825,838,773,885,922,845,839,876,851,850,851,354
764,746,574,628,1309,803,632,560,1282,799,827,764,746,574,628,1309,803,632,560,1282,799,827,764,746,574,628,1309,803,632,560,1282,799,827,764,746,574,628,1309,803,632,560,1282,799,827,764,746,574,628,1309,803,632,560,1282,799,827,764,746,574,628,1309,803,632,560,1282,799,827,764,746,574,628,1309,803,632,560,1282,799,827,764,746,574,628,1309,803,632,560,1282,799,827,764,746,574,628,1309,803,632,560,1282,799,827,764,746,574,628,1309,803,632,560,1282,799,827,764,746,574,628,1309,803,632,560,1282,799,827,764,746,574,628,1309,803,632,560,1282,799,827,202
849,938,399,1878,870,913,1157,958,1148,973,1127,849,938,399,1878,870,913,1157,958,1148,973,1127,849,938,399,1878,870,913,1157,958,1148,973,1127,849,938,399,1878,870,913,1157,958,1148,973,1127,849,938,399,1878,870,913,1157,958,1148,973,1127,849,938,399,1878,870,913,1157,958,1148,973,1127,849,938,399,1878,870,913,1157,958,1148,973,1127,849,938,399,1878,870,913,1157,958,1148,973,1127,849,938,399,1878,870,913,1157,958,1148,973,1127,849,938,399,1878,870,913,1157,958,1148,973,1127,849,938,399,1878,870,913,1157,958,1148,973,1127,849,938,399,1878,870,913,1157,958,1148,973,1127,255
2537,1927,2138,2612,2839,3684,2665,2425,2740,2938,2680,2537,1927,2138,2612,2839,3684,2665,2425,2740,2938,2680,2537,1927,2138,2612,2839,3684,2665,2425,2740,2938,2680,2537,1927,2138,2612,2839,3684,2665,2425,2740,2938,2680,2537,1927,2138,2612,2839,3684,2665,2425,2740,2938,2680,2537,1927,2138,2612,2839,3684,2665,2425,2740,2938,2680,2537,1927,2138,2612,2839,3684,2665,2425,2740,2938,2680,2537,1927,2138,2612,2839,3684,2665,2425,2740,2938,2680,2537,1927,2138,2612,2839,3684,2665,2425,2740,2938,2680,2537,1927,2138,2612,2839,3684,2665,2425,2740,2938,2680,2537,1927,2138,2612,2839,3684,2665,2425,2740,2938,2680,2537,1927,2138,2612,2839,3684,2665,2425,2740,2938,2680,418
1058,1051,872,1302,1050,1090,1089,1077,1075,1074,1075,1058,1051,872,1302,1050,1090,1089,1077,1075,1074,1075,1058,1051,872,1302,1050,1090,1089,1077,1075,1074,1075,1058,1051,872,1302,1050,1090,1089,1077,1075,1074,1075,1058,1051,872,1302,1050,1090,1089,1077,1075,1074,1075,1058,1051,872,1302,1050,1090,1089,1077,1075,1074,1075,1058,1051,872,1302,1050,1090,1089,1077,1075,1074,1075,1058,1051,872,1302,1050,1090,1089,1077,1075,1074,1075,1058,1051,872,1302,1050,1090,1089,1077,1075,1074,1075,1058,1051,872,1302,1050,1090,1089,1077,1075,1074,1075,1058,1051,872,1302,1050,1090,1089,1077,1075,1074,1075,1058,1051,872,1302,1050,1090,1089,1077,1075,1074,1075,308
3157,3201,3208,3166,3206,3190,3157,2691,3719,2470,3908,3157,3201,3208,3166,3206,3190,3157,2691,3719,2470,3908,3157,3201,3208,3166,3206,3190,3157,2691,3719,2470,3908,3157,3201,3208,3166,3206,3190,3157,2691,3719,2470,3908,3157,3201,3208,3166,3206,3190,3157,2691,3719,2470,3908,3157,3201,3208,3166,3206,3190,3157,2691,3719,2470,3908,3157,3201,3208,3166,3206,3190,3157,2691,3719,2470,3908,3157,3201,3208,3166,3206,3190,3157,2691,3719,2470,3908,3157,3201,3208,3166,3206,3190,3157,2691,3719,2470,3908,3157,3201,3208,3166,3206,3190,3157,2691,3719,2470,3908,3157,3201,3208,3166,3206,3190,3157,2691,3719,2470,3908,3157,3201,3208,3166,3206,3190,3157,2691,3719,2470,3908,566
1796,1793,1783,1761,1695,1784,1377,2379,1767,1808,1814,1796,1793,1783,1761,1695,1784,1377,2379,1767,1808,1814,1796,1793,1783,1761,1695,1784,1377,2379,1767,1808,1814,1796,1793,1783,1761,1695,1784,1377,2379,1767,1808,1814,1796,1793,1783,1761,1695,1784,1377,2379,1767,1808,1814,1796,1793,1783,1761,1695,1784,1377,2379,1767,1808,1814,1796,1793,1783,1761,1695,1784,1377,2379,1767,1808,1814,1796,1793,1783,1761,1695,1784,1377,2379,1767,1808,1814,1796,1793,1783,1761,1695,1784,1377,2379,1767,1808,1814,1796,1793,1783,1761,1695,1784,1377,2379,1767,1808,1814,1796,1793,1783,1761,1695,1784,1377,2379,1767,1808,1814,1796,1793,1783,1761,1695,1784,1377,2379,1767,1808,1814,279
26,25,25,26,24,27,16,34,20,29,28,26,25,25,26,24,27,16,34,20,29,28,26,25,25,26,24,27,16,34,20,29,28,26,25,25,26,24,27,16,34,20,29,28,26,25,25,26,24,27,16,34,20,29,28,26,25,25,26,24,27,16,34,20,29,28,26,25,25,26,24,27,16,34,20,29,28,26,25,25,26,24,27,16,34,20,29,28,26,25,25,26,24,27,16,34,20,29,28,26,25,25,26,24,27,16,34,20,29,28,26,25,25,26,24,27,16,34,20,29,28,26,25,25,26,24,27,16,34,20,29,28,92
2208,2010,2763,2400,1894,2740,2491,2315,2413,2356,2363,2208,2010,2763,2400,1894,2740,2491,2315,2413,2356,2363,2208,2010,2763,2400,1894,2740,2491,2315,2413,2356,2363,2208,2010,2763,2400,1894,2740,2491,2315,2413,2356,2363,2208,2010,2763,2400,1894,2740,2491,2315,2413,2356,2363,2208,2010,2763,2400,1894,2740,2491,2315,2413,2356,2363,2208,2010,2763,2400,1894,2740,2491,2315,2413,2356,2363,2208,2010,2763,2400,1894,2740,2491,2315,2413,2356,2363,2208,2010,2763,2400,1894,2740,2491,2315,2413,2356,2363,2208,2010,2763,2400,1894,2740,2491,2315,2413,2356,2363,2208,2010,2763,2400,1894,2740,2491,2315,2413,2356,2363,2208,2010,2763,2400,1894,2740,2491,2315,2413,2356,2363,258
449,466,397,520,458,458,454,418,501,442,478,449,466,397,520,458,458,454,418,501,442,478,449,466,397,520,458,458,454,418,501,442,478,449,466,397,520,458,458,454,418,501,442,478,449,466,397,520,458,458,454,418,501,442,478,449,466,397,520,458,458,454,418,501,442,478,449,466,397,520,458,458,454,418,501,442,478,449,466,397,520,458,458,454,418,501,442,478,449,466,397,520,458,458,454,418,501,442,478,449,466,397,520,458,458,454,418,501,442,478,449,466,397,520,458,458,454,418,501,442,478,449,466,397,520,458,458,454,418,501,442,478,285
1148,1095,1293,1052,1114,1222,1244,1206,1167,1202,1229,1148,1095,1293,1052,1114,1222,1244,1206,1167,1202,1229,1148,1095,1293,1052,1114,1222,1244,1206,1167,1202,1229,1148,1095,1293,1052,1114,1222,1244,1206,1167,1202,1229,1148,1095,1293,1052,1114,1222,1244,1206,1167,1202,1229,1148,1095,1293,1052,1114,1222,1244,1206,1167,1202,1229,1148,1095,1293,1052,1114,1222,1244,1206,1167,1202,1229,1148,1095,1293,1052,1114,1222,1244,1206,1167,1202,1229,1148,1095,1293,1052,1114,1222,1244,1206,1167,1202,1229,1148,1095,1293,1052,1114,1222,1244,1206,1167,1202,1229,1148,1095,1293,1052,1114,1222,1244,1206,1167,1202,1229,1148,1095,1293,1052,1114,1222,1244,1206,1167,1202,1229,185
409,909,570,750,773,790,803,722,717,613,845,409,909,570,750,773,790,803,722,717,613,845,409,909,570,750,773,790,803,722,717,613,845,409,909,570,750,773,790,803,722,717,613,845,409,909,570,750,773,790,803,722,717,613,845,409,909,570,750,773,790,803,722,717,613,845,409,909,570,750,773,790,803,722,717,613,845,409,909,570,750,773,790,803,722,717,613,845,409,909,570,750,773,790,803,722,717,613,845,409,909,570,750,773,790,803,722,717,613,845,409,909,570,750,773,790,803,722,717,613,845,409,909,570,750,773,790,803,722,717,613,845,82
572,893,1449,989,1027,1132,984,1128,963,1078,1024,572,893,1449,989,1027,1132,984,1128,963,1078,1024,572,893,1449,989,1027,1132,984,1128,963,1078,1024,572,893,1449,989,1027,1132,984,1128,963,1078,1024,572,893,1449,989,1027,1132,984,1128,963,1078,1024,572,893,1449,989,1027,1132,984,1128,963,1078,1024,572,893,1449,989,1027,1132,984,1128,963,1078,1024,572,893,1449,989,1027,1132,984,1128,963,1078,1024,572,893,1449,989,1027,1132,984,1128,963,1078,1024,572,893,1449,989,1027,1132,984,1128,963,1078,1024,572,893,1449,989,1027,1132,984,1128,963,1078,1024,572,893,1449,989,1027,1132,984,1128,963,1078,1024,50
1673,2493,1719,1967,2476,2027,2291,2194,1962,2356,2116,1673,2493,1719,1967,2476,2027,2291,2194,1962,2356,2116,1673,2493,1719,1967,2476,2027,2291,2194,1962,2356,2116,1673,2493,1719,1967,2476,2027,2291,2194,1962,2356,2116,1673,2493,1719,1967,2476,2027,2291,2194,1962,2356,2116,1673,2493,1719,1967,2476,2027,2291,2194,1962,2356,2116,1673,2493,1719,1967,2476,2027,2291,2194,1962,2356,2116,1673,2493,1719,1967,2476,2027,2291,2194,1962,2356,2116,1673,2493,1719,1967,2476,2027,2291,2194,1962,2356,2116,1673,2493,1719,1967,2476,2027,2291,2194,1962,2356,2116,1673,2493,1719,1967,2476,2027,2291,2194,1962,2356,2116,1673,2493,1719,1967,2476,2027,2291,2194,1962,2356,2116,296
318,314,361,401,413,430,349,344,351,567,419,318,314,361,401,413,430,349,344,351,567,419,318,314,361,401,413,430,349,344,351,567,419,318,314,361,401,413,430,349,344,351,567,419,318,314,361,401,413,430,349,344,351,567,419,318,314,361,401,413,430,349,344,351,567,419,318,314,361,401,413,430,349,344,351,567,419,318,314,361,401,413,430,349,344,351,567,419,318,314,361,401,413,430,349,344,351,567,419,318,314,361,401,413,430,349,344,351,567,419,318,314,361,401,413,430,349,344,351,567,419,318,314,361,401,413,430,349,344,351,567,419,244
767,428,1008,921,796,793,802,713,861,777,801,767,428,1008,921,796,793,802,713,861,777,801,767,428,1008,921,796,793,802,713,861,777,801,767,428,1008,921,796,793,802,713,861,777,801,767,428,1008,921,796,793,802,713,861,777,801,767,428,1008,921,796,793,802,713,861,777,801,767,428,1008,921,796,793,802,713,861,777,801,767,428,1008,921,796,793,802,713,861,777,801,767,428,1008,921,796,793,802,713,861,777,801,767,428,1008,921,796,793,802,713,861,777,801,767,428,1008,921,796,793,802,713,861,777,801,767,428,1008,921,796,793,802,713,861,777,801,287
1428,1358,1353,1715,1448,1273,1614,1526,1457,1460,1477,1428,1358,1353,1715,1448,1273,1614,1526,1457,1460,1477,1428,1358,1353,1715,1448,1273,1614,1526,1457,1460,1477,1428,1358,1353,1715,1448,1273,1614,1526,1457,1460,1477,1428,1358,1353,1715,1448,1273,1614,1526,1457,1460,1477,1428,1358,1353,1715,1448,1273,1614,1526,1457,1460,1477,1428,1358,1353,1715,1448,1273,1614,1526,1457,1460,1477,1428,1358,1353,1715,1448,1273,1614,1526,1457,1460,1477,1428,1358,1353,1715,1448,1273,1614,1526,1457,1460,1477,1428,1358,1353,1715,1448,1273,1614,1526,1457,1460,1477,1428,1358,1353,1715,1448,1273,1614,1526,1457,1460,1477,1428,1358,1353,1715,1448,1273,1614,1526,1457,1460,1477,626
261,900,359,885,644,638,590,650,578,632,638,261,900,359,885,644,638,590,650,578,632,638,261,900,359,885,644,638,590,650,578,632,638,261,900,359,885,644,638,590,650,578,632,638,261,900,359,885,644,638,590,650,578,632,638,261,900,359,885,644,638,590,650,578,632,638,261,900,359,885,644,638,590,650,578,632,638,261,900,359,885,644,638,590,650,578,632,638,261,900,359,885,644,638,590,650,578,632,638,261,900,359,885,644,638,590,650,578,632,638,261,900,359,885,644,638,590,650,578,632,638,261,900,359,885,644,638,590,650,578,632,638,45
3228,2936,3508,3289,3247,3084,3369,3245,3276,3211,3306,3228,2936,3508,3289,3247,3084,3369,3245,3276,3211,3306,3228,2936,3508,3289,3247,3084,3369,3245,3276,3211,3306,3228,2936,3508,3289,3247,3084,3369,3245,3276,3211,3306,3228,2936,3508,3289,3247,3084,3369,3245,3276,3211,3306,3228,2936,3508,3289,3247,3084,3369,3245,3276,3211,3306,3228,2936,3508,3289,3247,3084,3369,3245,3276,3211,3306,3228,2936,3508,3289,3247,3084,3369,3245,3276,3211,3306,3228,2936,3508,3289,3247,3084,3369,3245,3276,3211,3306,3228,2936,3508,3289,3247,3084,3369,3245,3276,3211,3306,3228,2936,3508,3289,3247,3084,3369,3245,3276,3211,3306,3228,2936,3508,3289,3247,3084,3369,3245,3276,3211,3306,479
668,914,986,678,957,1131,1133,1098,846,1302,668,914,986,678,957,1131,1133,1098,846,1302,668,914,986,678,957,1131,1133,1098,846,1302,668,914,986,678,957,1131,1133,1098,846,1302,668,914,986,678,957,1131,1133,1098,846,1302,668,914,986,678,957,1131,1133,1098,846,1302,668,914,986,678,957,1131,1133,1098,846,1302,668,914,986,678,957,1131,1133,1098,846,1302,668,914,986,678,957,1131,1133,1098,846,1302,668,914,986,678,957,1131,1133,1098,846,1302,668,914,986,678,957,1131,1133,1098,846,1302,668,914,986,678,957,1131,1133,1098,846,1302,352,,,,,,,,,,,,
