band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,census_code
1159,983,986,1509,569,1682,563,1785,622,1530,808,1359,1346,1343,1159,983,986,1509,569,1682,563,1785,622,1530,808,1359,1346,1343,1159,983,986,1509,569,1682,563,1785,622,1530,808,1359,1346,1343,1159,983,986,1509,569,1682,563,1785,622,1530,808,1359,1346,1343,1159,983,986,1509,569,1682,563,1785,622,1530,808,1359,1346,1343,1159,983,986,1509,569,1682,563,1785,622,1530,808,1359,1346,1343,1159,983,986,1509,569,1682,563,1785,622,1530,808,1359,1346,1343,1159,983,986,1509,569,1682,563,1785,622,1530,808,1359,1346,1343,1159,983,986,1509,569,1682,563,1785,622,1530,808,1359,1346,1343,1159,983,986,1509,569,1682,563,1785,622,1530,808,1359,1346,1343,1159,983,986,1509,569,1682,563,1785,622,1530,808,1359,1346,1343,1159,983,986,1509,569,1682,563,1785,622,1530,808,1359,1346,1343,142
1962,1879,2052,1760,2131,2006,1951,1913,2021,1975,1939,1576,2054,2295,1962,1879,2052,1760,2131,2006,1951,1913,2021,1975,1939,1576,2054,2295,1962,1879,2052,1760,2131,2006,1951,1913,2021,1975,1939,1576,2054,2295,1962,1879,2052,1760,2131,2006,1951,1913,2021,1975,1939,1576,2054,2295,1962,1879,2052,1760,2131,2006,1951,1913,2021,1975,1939,1576,2054,2295,1962,1879,2052,1760,2131,2006,1951,1913,2021,1975,1939,1576,2054,2295,1962,1879,2052,1760,2131,2006,1951,1913,2021,1975,1939,1576,2054,2295,1962,1879,2052,1760,2131,2006,1951,1913,2021,1975,1939,1576,2054,2295,1962,1879,2052,1760,2131,2006,1951,1913,2021,1975,1939,1576,2054,2295,1962,1879,2052,1760,2131,2006,1951,1913,2021,1975,1939,1576,2054,2295,1962,1879,2052,1760,2131,2006,1951,1913,2021,1975,1939,1576,2054,2295,1962,1879,2052,1760,2131,2006,1951,1913,2021,1975,1939,1576,2054,2295,556
2165,2212,2216,2178,2216,2126,2269,2193,2201,2095,2206,2010,2237,2442,2165,2212,2216,2178,2216,2126,2269,2193,2201,2095,2206,2010,2237,2442,2165,2212,2216,2178,2216,2126,2269,2193,2201,2095,2206,2010,2237,2442,2165,2212,2216,2178,2216,2126,2269,2193,2201,2095,2206,2010,2237,2442,2165,2212,2216,2178,2216,2126,2269,2193,2201,2095,2206,2010,2237,2442,2165,2212,2216,2178,2216,2126,2269,2193,2201,2095,2206,2010,2237,2442,2165,2212,2216,2178,2216,2126,2269,2193,2201,2095,2206,2010,2237,2442,2165,2212,2216,2178,2216,2126,2269,2193,2201,2095,2206,2010,2237,2442,2165,2212,2216,2178,2216,2126,2269,2193,2201,2095,2206,2010,2237,2442,2165,2212,2216,2178,2216,2126,2269,2193,2201,2095,2206,2010,2237,2442,2165,2212,2216,2178,2216,2126,2269,2193,2201,2095,2206,2010,2237,2442,2165,2212,2216,2178,2216,2126,2269,2193,2201,2095,2206,2010,2237,2442,335
542,531,553,522,520,576,538,553,541,541,538,526,561,544,542,531,553,522,520,576,538,553,541,541,538,526,561,544,542,531,553,522,520,576,538,553,541,541,538,526,561,544,542,531,553,522,520,576,538,553,541,541,538,526,561,544,542,531,553,522,520,576,538,553,541,541,538,526,561,544,542,531,553,522,520,576,538,553,541,541,538,526,561,544,542,531,553,522,520,576,538,553,541,541,538,526,561,544,542,531,553,522,520,576,538,553,541,541,538,526,561,544,542,531,553,522,520,576,538,553,541,541,538,526,561,544,542,531,553,522,520,576,538,553,541,541,538,526,561,544,542,531,553,522,520,576,538,553,541,541,538,526,561,544,542,531,553,522,520,576,538,553,541,541,538,526,561,544,489
1440,1475,1416,1498,1458,1345,1484,1484,1498,1467,1463,1430,1487,1458,1440,1475,1416,1498,1458,1345,1484,1484,1498,1467,1463,1430,1487,1458,1440,1475,1416,1498,1458,1345,1484,1484,1498,1467,1463,1430,1487,1458,1440,1475,1416,1498,1458,1345,1484,1484,1498,1467,1463,1430,1487,1458,1440,1475,1416,1498,1458,1345,1484,1484,1498,1467,1463,1430,1487,1458,1440,1475,1416,1498,1458,1345,1484,1484,1498,1467,1463,1430,1487,1458,1440,1475,1416,1498,1458,1345,1484,1484,1498,1467,1463,1430,1487,1458,1440,1475,1416,1498,1458,1345,1484,1484,1498,1467,1463,1430,1487,1458,1440,1475,1416,1498,1458,1345,1484,1484,1498,1467,1463,1430,1487,1458,1440,1475,1416,1498,1458,1345,1484,1484,1498,1467,1463,1430,1487,1458,1440,1475,1416,1498,1458,1345,1484,1484,1498,1467,1463,1430,1487,1458,1440,1475,1416,1498,1458,1345,1484,1484,1498,1467,1463,1430,1487,1458,411
1374,1385,1390,1385,1315,1452,1369,1370,1409,1270,1473,1416,1339,1430,1374,1385,1390,1385,1315,1452,1369,1370,1409,1270,1473,1416,1339,1430,1374,1385,1390,1385,1315,1452,1369,1370,1409,1270,1473,1416,1339,1430,1374,1385,1390,1385,1315,1452,1369,1370,1409,1270,1473,1416,1339,1430,1374,1385,1390,1385,1315,1452,1369,1370,1409,1270,1473,1416,1339,1430,1374,1385,1390,1385,1315,1452,1369,1370,1409,1270,1473,1416,1339,1430,1374,1385,1390,1385,1315,1452,1369,1370,1409,1270,1473,1416,1339,1430,1374,1385,1390,1385,1315,1452,1369,1370,1409,1270,1473,1416,1339,1430,1374,1385,1390,1385,1315,1452,1369,1370,1409,1270,1473,1416,1339,1430,1374,1385,1390,1385,1315,1452,1369,1370,1409,1270,1473,1416,1339,1430,1374,1385,1390,1385,1315,1452,1369,1370,1409,1270,1473,1416,1339,1430,1374,1385,1390,1385,1315,1452,1369,1370,1409,1270,1473,1416,1339,1430,561
491,434,578,501,301,690,512,434,516,399,657,381,579,544,491,434,578,501,301,690,512,434,516,399,657,381,579,544,491,434,578,501,301,690,512,434,516,399,657,381,579,544,491,434,578,501,301,690,512,434,516,399,657,381,579,544,491,434,578,501,301,690,512,434,516,399,657,381,579,544,491,434,578,501,301,690,512,434,516,399,657,381,579,544,491,434,578,501,301,690,512,434,516,399,657,381,579,544,491,434,578,501,301,690,512,434,516,399,657,381,579,544,491,434,578,501,301,690,512,434,516,399,657,381,579,544,491,434,578,501,301,690,512,434,516,399,657,381,579,544,491,434,578,501,301,690,512,434,516,399,657,381,579,544,491,434,578,501,301,690,512,434,516,399,657,381,579,544,585
448,401,387,481,420,522,441,461,453,328,440,597,446,451,448,401,387,481,420,522,441,461,453,328,440,597,446,451,448,401,387,481,420,522,441,461,453,328,440,597,446,451,448,401,387,481,420,522,441,461,453,328,440,597,446,451,448,401,387,481,420,522,441,461,453,328,440,597,446,451,448,401,387,481,420,522,441,461,453,328,440,597,446,451,448,401,387,481,420,522,441,461,453,328,440,597,446,451,448,401,387,481,420,522,441,461,453,328,440,597,446,451,448,401,387,481,420,522,441,461,453,328,440,597,446,451,448,401,387,481,420,522,441,461,453,328,440,597,446,451,448,401,387,481,420,522,441,461,453,328,440,597,446,451,448,401,387,481,420,522,441,461,453,328,440,597,446,451,630
1293,1371,1336,1333,1095,1329,1230,1619,1292,1204,1565,1335,1315,1354,1293,1371,1336,1333,1095,1329,1230,1619,1292,1204,1565,1335,1315,1354,1293,1371,1336,1333,1095,1329,1230,1619,1292,1204,1565,1335,1315,1354,1293,1371,1336,1333,1095,1329,1230,1619,1292,1204,1565,1335,1315,1354,1293,1371,1336,1333,1095,1329,1230,1619,1292,1204,1565,1335,1315,1354,1293,1371,1336,1333,1095,1329,1230,1619,1292,1204,1565,1335,1315,1354,1293,1371,1336,1333,1095,1329,1230,1619,1292,1204,1565,1335,1315,1354,1293,1371,1336,1333,1095,1329,1230,1619,1292,1204,1565,1335,1315,1354,1293,1371,1336,1333,1095,1329,1230,1619,1292,1204,1565,1335,1315,1354,1293,1371,1336,1333,1095,1329,1230,1619,1292,1204,1565,1335,1315,1354,1293,1371,1336,1333,1095,1329,1230,1619,1292,1204,1565,1335,1315,1354,1293,1371,1336,1333,1095,1329,1230,1619,1292,1204,1565,1335,1315,1354,133
2073,2063,2089,2073,2055,2077,2074,2064,2105,2078,2065,2060,2098,2078,2073,2063,2089,2073,2055,2077,2074,2064,2105,2078,2065,2060,2098,2078,2073,2063,2089,2073,2055,2077,2074,2064,2105,2078,2065,2060,2098,2078,2073,2063,2089,2073,2055,2077,2074,2064,2105,2078,2065,2060,2098,2078,2073,2063,2089,2073,2055,2077,2074,2064,2105,2078,2065,2060,2098,2078,2073,2063,2089,2073,2055,2077,2074,2064,2105,2078,2065,2060,2098,2078,2073,2063,2089,2073,2055,2077,2074,2064,2105,2078,2065,2060,2098,2078,2073,2063,2089,2073,2055,2077,2074,2064,2105,2078,2065,2060,2098,2078,2073,2063,2089,2073,2055,2077,2074,2064,2105,2078,2065,2060,2098,2078,2073,2063,2089,2073,2055,2077,2074,2064,2105,2078,2065,2060,2098,2078,2073,2063,2089,2073,2055,2077,2074,2064,2105,2078,2065,2060,2098,2078,2073,2063,2089,2073,2055,2077,2074,2064,2105,2078,2065,2060,2098,2078,372
2137,2528,1826,1734,3372,2216,2263,2575,1839,2830,2234,2433,2333,2333,2137,2528,1826,1734,3372,2216,2263,2575,1839,2830,2234,2433,2333,2333,2137,2528,1826,1734,3372,2216,2263,2575,1839,2830,2234,2433,2333,2333,2137,2528,1826,1734,3372,2216,2263,2575,1839,2830,2234,2433,2333,2333,2137,2528,1826,1734,3372,2216,2263,2575,1839,2830,2234,2433,2333,2333,2137,2528,1826,1734,3372,2216,2263,2575,1839,2830,2234,2433,2333,2333,2137,2528,1826,1734,3372,2216,2263,2575,1839,2830,2234,2433,2333,2333,2137,2528,1826,1734,3372,2216,2263,2575,1839,2830,2234,2433,2333,2333,2137,2528,1826,1734,3372,2216,2263,2575,1839,2830,2234,2433,2333,2333,2137,2528,1826,1734,3372,2216,2263,2575,1839,2830,2234,2433,2333,2333,2137,2528,1826,1734,3372,2216,2263,2575,1839,2830,2234,2433,2333,2333,2137,2528,1826,1734,3372,2216,2263,2575,1839,2830,2234,2433,2333,2333,486
180,179,149,134,216,165,220,200,361,164,199,163,200,180,179,149,134,216,165,220,200,361,164,199,163,200,180,179,149,134,216,165,220,200,361,164,199,163,200,180,179,149,134,216,165,220,200,361,164,199,163,200,180,179,149,134,216,165,220,200,361,164,199,163,200,180,179,149,134,216,165,220,200,361,164,199,163,200,180,179,149,134,216,165,220,200,361,164,199,163,200,180,179,149,134,216,165,220,200,361,164,199,163,200,180,179,149,134,216,165,220,200,361,164,199,163,200,180,179,149,134,216,165,220,200,361,164,199,163,200,180,179,149,134,216,165,220,200,361,164,199,163,200,180,179,149,134,216,165,220,200,361,164,199,163,200,268,,,,,,,,,,,,
1551,1726,1715,1632,1609,1648,1793,1692,1674,1652,1684,1674,1668,1677,1551,1726,1715,1632,1609,1648,1793,1692,1674,1652,1684,1674,1668,1677,1551,1726,1715,1632,1609,1648,1793,1692,1674,1652,1684,1674,1668,1677,1551,1726,1715,1632,1609,1648,1793,1692,1674,1652,1684,1674,1668,1677,1551,1726,1715,1632,1609,1648,1793,1692,1674,1652,1684,1674,1668,1677,1551,1726,1715,1632,1609,1648,1793,1692,1674,1652,1684,1674,1668,1677,1551,1726,1715,1632,1609,1648,1793,1692,1674,1652,1684,1674,1668,1677,1551,1726,1715,1632,1609,1648,1793,1692,1674,1652,1684,1674,1668,1677,1551,1726,1715,1632,1609,1648,1793,1692,1674,1652,1684,1674,1668,1677,1551,1726,1715,1632,1609,1648,1793,1692,1674,1652,1684,1674,1668,1677,1551,1726,1715,1632,1609,1648,1793,1692,1674,1652,1684,1674,1668,1677,1551,1726,1715,1632,1609,1648,1793,1692,1674,1652,1684,1674,1668,1677,366
715,797,770,700,800,722,810,617,812,776,694,842,758,833,715,797,770,700,800,722,810,617,812,776,694,842,758,833,715,797,770,700,800,722,810,617,812,776,694,842,758,833,715,797,770,700,800,722,810,617,812,776,694,842,758,833,715,797,770,700,800,722,810,617,812,776,694,842,758,833,715,797,770,700,800,722,810,617,812,776,694,842,758,833,715,797,770,700,800,722,810,617,812,776,694,842,758,833,715,797,770,700,800,722,810,617,812,776,694,842,758,833,715,797,770,700,800,722,810,617,812,776,694,842,758,833,715,797,770,700,800,722,810,617,812,776,694,842,758,833,715,797,770,700,800,722,810,617,812,776,694,842,758,833,715,797,770,700,800,722,810,617,812,776,694,842,758,833,73
470,928,686,787,1044,865,824,810,791,810,809,758,804,846,470,928,686,787,1044,865,824,810,791,810,809,758,804,846,470,928,686,787,1044,865,824,810,791,810,809,758,804,846,470,928,686,787,1044,865,824,810,791,810,809,758,804,846,470,928,686,787,1044,865,824,810,791,810,809,758,804,846,470,928,686,787,1044,865,824,810,791,810,809,758,804,846,470,928,686,787,1044,865,824,810,791,810,809,758,804,846,470,928,686,787,1044,865,824,810,791,810,809,758,804,846,470,928,686,787,1044,865,824,810,791,810,809,758,804,846,470,928,686,787,1044,865,824,810,791,810,809,758,804,846,470,928,686,787,1044,865,824,810,791,810,809,758,804,846,470,928,686,787,1044,865,824,810,791,810,809,758,804,846,196
1596,1734,1688,1548,1679,1750,1559,1685,1767,1529,1717,1892,1707,1681,1596,1734,1688,1548,1679,1750,1559,1685,1767,1529,1717,1892,1707,1681,1596,1734,1688,1548,1679,1750,1559,1685,1767,1529,1717,1892,1707,1681,1596,1734,1688,1548,1679,1750,1559,1685,1767,1529,1717,1892,1707,1681,1596,1734,1688,1548,1679,1750,1559,1685,1767,1529,1717,1892,1707,1681,1596,1734,1688,1548,1679,1750,1559,1685,1767,1529,1717,1892,1707,1681,1596,1734,1688,1548,1679,1750,1559,1685,1767,1529,1717,1892,1707,1681,1596,1734,1688,1548,1679,1750,1559,1685,1767,1529,1717,1892,1707,1681,1596,1734,1688,1548,1679,1750,1559,1685,1767,1529,1717,1892,1707,1681,1596,1734,1688,1548,1679,1750,1559,1685,1767,1529,1717,1892,1707,1681,1596,1734,1688,1548,1679,1750,1559,1685,1767,1529,1717,1892,1707,1681,1596,1734,1688,1548,1679,1750,1559,1685,1767,1529,1717,1892,1707,1681,441
719,703,753,721,729,702,758,523,933,719,562,901,724,731,719,703,753,721,729,702,758,523,933,719,562,901,724,731,719,703,753,721,729,702,758,523,933,719,562,901,724,731,719,703,753,721,729,702,758,523,933,719,562,901,724,731,719,703,753,721,729,702,758,523,933,719,562,901,724,731,719,703,753,721,729,702,758,523,933,719,562,901,724,731,719,703,753,721,729,702,758,523,933,719,562,901,724,731,719,703,753,721,729,702,758,523,933,719,562,901,724,731,719,703,753,721,729,702,758,523,933,719,562,901,724,731,719,703,753,721,729,702,758,523,933,719,562,901,724,731,719,703,753,721,729,702,758,523,933,719,562,901,724,731,719,703,753,721,729,702,758,523,933,719,562,901,724,731,618
1147,1289,966,1247,1333,573,1763,1352,824,1585,1195,1339,1222,1234,1147,1289,966,1247,1333,573,1763,1352,824,1585,1195,1339,1222,1234,1147,1289,966,1247,1333,573,1763,1352,824,1585,1195,1339,1222,1234,1147,1289,966,1247,1333,573,1763,1352,824,1585,1195,1339,1222,1234,1147,1289,966,1247,1333,573,1763,1352,824,1585,1195,1339,1222,1234,1147,1289,966,1247,1333,573,1763,1352,824,1585,1195,1339,1222,1234,1147,1289,966,1247,1333,573,1763,1352,824,1585,1195,1339,1222,1234,1147,1289,966,1247,1333,573,1763,1352,824,1585,1195,1339,1222,1234,1147,1289,966,1247,1333,573,1763,1352,824,1585,1195,1339,1222,1234,1147,1289,966,1247,1333,573,1763,1352,824,1585,1195,1339,1222,1234,1147,1289,966,1247,1333,573,1763,1352,824,1585,1195,1339,1222,1234,1147,1289,966,1247,1333,573,1763,1352,824,1585,1195,1339,1222,1234,439
3470,3441,3204,3774,3199,3681,3520,3492,3426,3375,3248,3843,3396,3550,3470,3441,3204,3774,3199,3681,3520,3492,3426,3375,3248,3843,3396,3550,3470,3441,3204,3774,3199,3681,3520,3492,3426,3375,3248,3843,3396,3550,3470,3441,3204,3774,3199,3681,3520,3492,3426,3375,3248,3843,3396,3550,3470,3441,3204,3774,3199,3681,3520,3492,3426,3375,3248,3843,3396,3550,3470,3441,3204,3774,3199,3681,3520,3492,3426,3375,3248,3843,3396,3550,3470,3441,3204,3774,3199,3681,3520,3492,3426,3375,3248,3843,3396,3550,3470,3441,3204,3774,3199,3681,3520,3492,3426,3375,3248,3843,3396,3550,3470,3441,3204,3774,3199,3681,3520,3492,3426,3375,3248,3843,3396,3550,3470,3441,3204,3774,3199,3681,3520,3492,3426,3375,3248,3843,3396,3550,3470,3441,3204,3774,3199,3681,3520,3492,3426,3375,3248,3843,3396,3550,3470,3441,3204,3774,3199,3681,3520,3492,3426,3375,3248,3843,3396,3550,476
732,846,655,824,733,745,636,787,726,1168,600,1012,788,796,732,846,655,824,733,745,636,787,726,1168,600,1012,788,796,732,846,655,824,733,745,636,787,726,1168,600,1012,788,796,732,846,655,824,733,745,636,787,726,1168,600,1012,788,796,732,846,655,824,733,745,636,787,726,1168,600,1012,788,796,732,846,655,824,733,745,636,787,726,1168,600,1012,788,796,732,846,655,824,733,745,636,787,726,1168,600,1012,788,796,732,846,655,824,733,745,636,787,726,1168,600,1012,788,796,732,846,655,824,733,745,636,787,726,1168,600,1012,788,796,732,846,655,824,733,745,636,787,726,1168,600,1012,788,796,732,846,655,824,733,745,636,787,726,1168,600,1012,788,796,732,846,655,824,733,745,636,787,726,1168,600,1012,788,796,68
2414,2168,2583,2482,2438,2360,2309,2479,2268,2649,2401,2443,2427,2418,2414,2168,2583,2482,2438,2360,2309,2479,2268,2649,2401,2443,2427,2418,2414,2168,2583,2482,2438,2360,2309,2479,2268,2649,2401,2443,2427,2418,2414,2168,2583,2482,2438,2360,2309,2479,2268,2649,2401,2443,2427,2418,2414,2168,2583,2482,2438,2360,2309,2479,2268,2649,2401,2443,2427,2418,2414,2168,2583,2482,2438,2360,2309,2479,2268,2649,2401,2443,2427,2418,2414,2168,2583,2482,2438,2360,2309,2479,2268,2649,2401,2443,2427,2418,2414,2168,2583,2482,2438,2360,2309,2479,2268,2649,2401,2443,2427,2418,2414,2168,2583,2482,2438,2360,2309,2479,2268,2649,2401,2443,2427,2418,2414,2168,2583,2482,2438,2360,2309,2479,2268,2649,2401,2443,2427,2418,2414,2168,2583,2482,2438,2360,2309,2479,2268,2649,2401,2443,2427,2418,2414,2168,2583,2482,2438,2360,2309,2479,2268,2649,2401,2443,2427,2418,126
1330,1327,940,1461,612,1682,1988,334,2298,1186,1261,1571,1311,1386,1330,1327,940,1461,612,1682,1988,334,2298,1186,1261,1571,1311,1386,1330,1327,940,1461,612,1682,1988,334,2298,1186,1261,1571,1311,1386,1330,1327,940,1461,612,1682,1988,334,2298,1186,1261,1571,1311,1386,1330,1327,940,1461,612,1682,1988,334,2298,1186,1261,1571,1311,1386,1330,1327,940,1461,612,1682,1988,334,2298,1186,1261,1571,1311,1386,1330,1327,940,1461,612,1682,1988,334,2298,1186,1261,1571,1311,1386,1330,1327,940,1461,612,1682,1988,334,2298,1186,1261,1571,1311,1386,1330,1327,940,1461,612,1682,1988,334,2298,1186,1261,1571,1311,1386,1330,1327,940,1461,612,1682,1988,334,2298,1186,1261,1571,1311,1386,1330,1327,940,1461,612,1682,1988,334,2298,1186,1261,1571,1311,1386,1330,1327,940,1461,612,1682,1988,334,2298,1186,1261,1571,1311,1386,492
959,945,757,1060,1002,765,1215,881,1898,1022,964,992,962,959,945,757,1060,1002,765,1215,881,1898,1022,964,992,962,959,945,757,1060,1002,765,1215,881,1898,1022,964,992,962,959,945,757,1060,1002,765,1215,881,1898,1022,964,992,962,959,945,757,1060,1002,765,1215,881,1898,1022,964,992,962,959,945,757,1060,1002,765,1215,881,1898,1022,964,992,962,959,945,757,1060,1002,765,1215,881,1898,1022,964,992,962,959,945,757,1060,1002,765,1215,881,1898,1022,964,992,962,959,945,757,1060,1002,765,1215,881,1898,1022,964,992,962,959,945,757,1060,1002,765,1215,881,1898,1022,964,992,962,959,945,757,1060,1002,765,1215,881,1898,1022,964,992,962,959,945,757,1060,1002,765,1215,881,1898,1022,964,992,962,193,,,,,,,,,,,,
88,83,89,58,137,88,114,99,94,95,92,99,96,95,88,83,89,58,137,88,114,99,94,95,92,99,96,95,88,83,89,58,137,88,114,99,94,95,92,99,96,95,88,83,89,58,137,88,114,99,94,95,92,99,96,95,88,83,89,58,137,88,114,99,94,95,92,99,96,95,88,83,89,58,137,88,114,99,94,95,92,99,96,95,88,83,89,58,137,88,114,99,94,95,92,99,96,95,88,83,89,58,137,88,114,99,94,95,92,99,96,95,88,83,89,58,137,88,114,99,94,95,92,99,96,95,88,83,89,58,137,88,114,99,94,95,92,99,96,95,88,83,89,58,137,88,114,99,94,95,92,99,96,95,88,83,89,58,137,88,114,99,94,95,92,99,96,95,277
2451,2379,2600,2442,2478,2514,2355,2586,2341,2626,2399,2547,2488,2481,2451,2379,2600,2442,2478,2514,2355,2586,2341,2626,2399,2547,2488,2481,2451,2379,2600,2442,2478,2514,2355,2586,2341,2626,2399,2547,2488,2481,2451,2379,2600,2442,2478,2514,2355,2586,2341,2626,2399,2547,2488,2481,2451,2379,2600,2442,2478,2514,2355,2586,2341,2626,2399,2547,2488,2481,2451,2379,2600,2442,2478,2514,2355,2586,2341,2626,2399,2547,2488,2481,2451,2379,2600,2442,2478,2514,2355,2586,2341,2626,2399,2547,2488,2481,2451,2379,2600,2442,2478,2514,2355,2586,2341,2626,2399,2547,2488,2481,2451,2379,2600,2442,2478,2514,2355,2586,2341,2626,2399,2547,2488,2481,2451,2379,2600,2442,2478,2514,2355,2586,2341,2626,2399,2547,2488,2481,2451,2379,2600,2442,2478,2514,2355,2586,2341,2626,2399,2547,2488,2481,2451,2379,2600,2442,2478,2514,2355,2586,2341,2626,2399,2547,2488,2481,408
2053,1901,3026,2847,2368,1844,2822,2168,1920,2001,2504,1954,2432,2053,1901,3026,2847,2368,1844,2822,2168,1920,2001,2504,1954,2432,2053,1901,3026,2847,2368,1844,2822,2168,1920,2001,2504,1954,2432,2053,1901,3026,2847,2368,1844,2822,2168,1920,2001,2504,1954,2432,2053,1901,3026,2847,2368,1844,2822,2168,1920,2001,2504,1954,2432,2053,1901,3026,2847,2368,1844,2822,2168,1920,2001,2504,1954,2432,2053,1901,3026,2847,2368,1844,2822,2168,1920,2001,2504,1954,2432,2053,1901,3026,2847,2368,1844,2822,2168,1920,2001,2504,1954,2432,2053,1901,3026,2847,2368,1844,2822,2168,1920,2001,2504,1954,2432,2053,1901,3026,2847,2368,1844,2822,2168,1920,2001,2504,1954,2432,2053,1901,3026,2847,2368,1844,2822,2168,1920,2001,2504,1954,2432,2053,1901,3026,2847,2368,1844,2822,2168,1920,2001,2504,1954,2432,570,,,,,,,,,,,,
1737,1782,1734,1787,1577,1923,1776,1720,1668,1774,1739,1766,1860,1805,1737,1782,1734,1787,1577,1923,1776,1720,1668,1774,1739,1766,1860,1805,1737,1782,1734,1787,1577,1923,1776,1720,1668,1774,1739,1766,1860,1805,1737,1782,1734,1787,1577,1923,1776,1720,1668,1774,1739,1766,1860,1805,1737,1782,1734,1787,1577,1923,1776,1720,1668,1774,1739,1766,1860,1805,1737,1782,1734,1787,1577,1923,1776,1720,1668,1774,1739,1766,1860,1805,1737,1782,1734,1787,1577,1923,1776,1720,1668,1774,1739,1766,1860,1805,1737,1782,1734,1787,1577,1923,1776,1720,1668,1774,1739,1766,1860,1805,1737,1782,1734,1787,1577,1923,1776,1720,1668,1774,1739,1766,1860,1805,1737,1782,1734,1787,1577,1923,1776,1720,1668,1774,1739,1766,1860,1805,1737,1782,1734,1787,1577,1923,1776,1720,1668,1774,1739,1766,1860,1805,1737,1782,1734,1787,1577,1923,1776,1720,1668,1774,1739,1766,1860,1805,399
794,838,804,801,831,828,811,821,816,773,858,786,847,816,794,838,804,801,831,828,811,821,816,773,858,786,847,816,794,838,804,801,831,828,811,821,816,773,858,786,847,816,794,838,804,801,831,828,811,821,816,773,858,786,847,816,794,838,804,801,831,828,811,821,816,773,858,786,847,816,794,838,804,801,831,828,811,821,816,773,858,786,847,816,794,838,804,801,831,828,811,821,816,773,858,786,847,816,794,838,804,801,831,828,811,821,816,773,858,786,847,816,794,838,804,801,831,828,811,821,816,773,858,786,847,816,794,838,804,801,831,828,811,821,816,773,858,786,847,816,794,838,804,801,831,828,811,821,816,773,858,786,847,816,794,838,804,801,831,828,811,821,816,773,858,786,847,816,157
2569,2524,2610,2509,2584,2518,2515,2758,2513,2564,2614,2593,2519,2642,2569,2524,2610,2509,2584,2518,2515,2758,2513,2564,2614,2593,2519,2642,2569,2524,2610,2509,2584,2518,2515,2758,2513,2564,2614,2593,2519,2642,2569,2524,2610,2509,2584,2518,2515,2758,2513,2564,2614,2593,2519,2642,2569,2524,2610,2509,2584,2518,2515,2758,2513,2564,2614,2593,2519,2642,2569,2524,2610,2509,2584,2518,2515,2758,2513,2564,2614,2593,2519,2642,2569,2524,2610,2509,2584,2518,2515,2758,2513,2564,2614,2593,2519,2642,2569,2524,2610,2509,2584,2518,2515,2758,2513,2564,2614,2593,2519,2642,2569,2524,2610,2509,2584,2518,2515,2758,2513,2564,2614,2593,2519,2642,2569,2524,2610,2509,2584,2518,2515,2758,2513,2564,2614,2593,2519,2642,2569,2524,2610,2509,2584,2518,2515,2758,2513,2564,2614,2593,2519,2642,2569,2524,2610,2509,2584,2518,2515,2758,2513,2564,2614,2593,2519,2642,531
