band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,census_code
1332,2053,1845,1373,1888,1602,1439,2524,1439,2058,1606,1920,1777,1332,2053,1845,1373,1888,1602,1439,2524,1439,2058,1606,1920,1777,1332,2053,1845,1373,1888,1602,1439,2524,1439,2058,1606,1920,1777,1332,2053,1845,1373,1888,1602,1439,2524,1439,2058,1606,1920,1777,1332,2053,1845,1373,1888,1602,1439,2524,1439,2058,1606,1920,1777,1332,2053,1845,1373,1888,1602,1439,2524,1439,2058,1606,1920,1777,1332,2053,1845,1373,1888,1602,1439,2524,1439,2058,1606,1920,1777,1332,2053,1845,1373,1888,1602,1439,2524,1439,2058,1606,1920,1777,1332,2053,1845,1373,1888,1602,1439,2524,1439,2058,1606,1920,1777,1332,2053,1845,1373,1888,1602,1439,2524,1439,2058,1606,1920,1777,1332,2053,1845,1373,1888,1602,1439,2524,1439,2058,1606,1920,1777,1332,2053,1845,1373,1888,1602,1439,2524,1439,2058,1606,1920,1777,488
5773,5742,6865,5294,5694,6079,7547,3869,8267,4343,8076,5884,6448,5773,5742,6865,5294,5694,6079,7547,3869,8267,4343,8076,5884,6448,5773,5742,6865,5294,5694,6079,7547,3869,8267,4343,8076,5884,6448,5773,5742,6865,5294,5694,6079,7547,3869,8267,4343,8076,5884,6448,5773,5742,6865,5294,5694,6079,7547,3869,8267,4343,8076,5884,6448,5773,5742,6865,5294,5694,6079,7547,3869,8267,4343,8076,5884,6448,5773,5742,6865,5294,5694,6079,7547,3869,8267,4343,8076,5884,6448,5773,5742,6865,5294,5694,6079,7547,3869,8267,4343,8076,5884,6448,5773,5742,6865,5294,5694,6079,7547,3869,8267,4343,8076,5884,6448,5773,5742,6865,5294,5694,6079,7547,3869,8267,4343,8076,5884,6448,5773,5742,6865,5294,5694,6079,7547,3869,8267,4343,8076,5884,6448,5773,5742,6865,5294,5694,6079,7547,3869,8267,4343,8076,5884,6448,553
652,884,773,424,1267,407,974,713,604,1198,804,905,802,652,884,773,424,1267,407,974,713,604,1198,804,905,802,652,884,773,424,1267,407,974,713,604,1198,804,905,802,652,884,773,424,1267,407,974,713,604,1198,804,905,802,652,884,773,424,1267,407,974,713,604,1198,804,905,802,652,884,773,424,1267,407,974,713,604,1198,804,905,802,652,884,773,424,1267,407,974,713,604,1198,804,905,802,652,884,773,424,1267,407,974,713,604,1198,804,905,802,652,884,773,424,1267,407,974,713,604,1198,804,905,802,652,884,773,424,1267,407,974,713,604,1198,804,905,802,652,884,773,424,1267,407,974,713,604,1198,804,905,802,652,884,773,424,1267,407,974,713,604,1198,804,905,802,137
946,834,1228,982,1062,1031,1008,1020,960,990,1085,1016,1018,946,834,1228,982,1062,1031,1008,1020,960,990,1085,1016,1018,946,834,1228,982,1062,1031,1008,1020,960,990,1085,1016,1018,946,834,1228,982,1062,1031,1008,1020,960,990,1085,1016,1018,946,834,1228,982,1062,1031,1008,1020,960,990,1085,1016,1018,946,834,1228,982,1062,1031,1008,1020,960,990,1085,1016,1018,946,834,1228,982,1062,1031,1008,1020,960,990,1085,1016,1018,946,834,1228,982,1062,1031,1008,1020,960,990,1085,1016,1018,946,834,1228,982,1062,1031,1008,1020,960,990,1085,1016,1018,946,834,1228,982,1062,1031,1008,1020,960,990,1085,1016,1018,946,834,1228,982,1062,1031,1008,1020,960,990,1085,1016,1018,946,834,1228,982,1062,1031,1008,1020,960,990,1085,1016,1018,289
1763,1816,1570,1561,2264,1578,1987,1752,1281,2376,1710,1880,1795,1763,1816,1570,1561,2264,1578,1987,1752,1281,2376,1710,1880,1795,1763,1816,1570,1561,2264,1578,1987,1752,1281,2376,1710,1880,1795,1763,1816,1570,1561,2264,1578,1987,1752,1281,2376,1710,1880,1795,1763,1816,1570,1561,2264,1578,1987,1752,1281,2376,1710,1880,1795,1763,1816,1570,1561,2264,1578,1987,1752,1281,2376,1710,1880,1795,1763,1816,1570,1561,2264,1578,1987,1752,1281,2376,1710,1880,1795,1763,1816,1570,1561,2264,1578,1987,1752,1281,2376,1710,1880,1795,1763,1816,1570,1561,2264,1578,1987,1752,1281,2376,1710,1880,1795,1763,1816,1570,1561,2264,1578,1987,1752,1281,2376,1710,1880,1795,1763,1816,1570,1561,2264,1578,1987,1752,1281,2376,1710,1880,1795,1763,1816,1570,1561,2264,1578,1987,1752,1281,2376,1710,1880,1795,421
99,211,319,362,298,251,265,263,269,232,463,270,99,211,319,362,298,251,265,263,269,232,463,270,99,211,319,362,298,251,265,263,269,232,463,270,99,211,319,362,298,251,265,263,269,232,463,270,99,211,319,362,298,251,265,263,269,232,463,270,99,211,319,362,298,251,265,263,269,232,463,270,99,211,319,362,298,251,265,263,269,232,463,270,99,211,319,362,298,251,265,263,269,232,463,270,99,211,319,362,298,251,265,263,269,232,463,270,99,211,319,362,298,251,265,263,269,232,463,270,99,211,319,362,298,251,265,263,269,232,463,270,99,211,319,362,298,251,265,263,269,232,463,270,243,,,,,,,,,,,,
3423,3484,3246,3370,3491,3743,3403,3212,3816,3501,3458,3452,3500,3423,3484,3246,3370,3491,3743,3403,3212,3816,3501,3458,3452,3500,3423,3484,3246,3370,3491,3743,3403,3212,3816,3501,3458,3452,3500,3423,3484,3246,3370,3491,3743,3403,3212,3816,3501,3458,3452,3500,3423,3484,3246,3370,3491,3743,3403,3212,3816,3501,3458,3452,3500,3423,3484,3246,3370,3491,3743,3403,3212,3816,3501,3458,3452,3500,3423,3484,3246,3370,3491,3743,3403,3212,3816,3501,3458,3452,3500,3423,3484,3246,3370,3491,3743,3403,3212,3816,3501,3458,3452,3500,3423,3484,3246,3370,3491,3743,3403,3212,3816,3501,3458,3452,3500,3423,3484,3246,3370,3491,3743,3403,3212,3816,3501,3458,3452,3500,3423,3484,3246,3370,3491,3743,3403,3212,3816,3501,3458,3452,3500,3423,3484,3246,3370,3491,3743,3403,3212,3816,3501,3458,3452,3500,511
1471,915,2071,1419,1546,1494,1423,1490,1545,1346,1613,1499,1487,1471,915,2071,1419,1546,1494,1423,1490,1545,1346,1613,1499,1487,1471,915,2071,1419,1546,1494,1423,1490,1545,1346,1613,1499,1487,1471,915,2071,1419,1546,1494,1423,1490,1545,1346,1613,1499,1487,1471,915,2071,1419,1546,1494,1423,1490,1545,1346,1613,1499,1487,1471,915,2071,1419,1546,1494,1423,1490,1545,1346,1613,1499,1487,1471,915,2071,1419,1546,1494,1423,1490,1545,1346,1613,1499,1487,1471,915,2071,1419,1546,1494,1423,1490,1545,1346,1613,1499,1487,1471,915,2071,1419,1546,1494,1423,1490,1545,1346,1613,1499,1487,1471,915,2071,1419,1546,1494,1423,1490,1545,1346,1613,1499,1487,1471,915,2071,1419,1546,1494,1423,1490,1545,1346,1613,1499,1487,1471,915,2071,1419,1546,1494,1423,1490,1545,1346,1613,1499,1487,80
1649,1332,1724,1711,1988,1777,1100,1537,1851,1814,1634,2495,1750,1649,1332,1724,1711,1988,1777,1100,1537,1851,1814,1634,2495,1750,1649,1332,1724,1711,1988,1777,1100,1537,1851,1814,1634,2495,1750,1649,1332,1724,1711,1988,1777,1100,1537,1851,1814,1634,2495,1750,1649,1332,1724,1711,1988,1777,1100,1537,1851,1814,1634,2495,1750,1649,1332,1724,1711,1988,1777,1100,1537,1851,1814,1634,2495,1750,1649,1332,1724,1711,1988,1777,1100,1537,1851,1814,1634,2495,1750,1649,1332,1724,1711,1988,1777,1100,1537,1851,1814,1634,2495,1750,1649,1332,1724,1711,1988,1777,1100,1537,1851,1814,1634,2495,1750,1649,1332,1724,1711,1988,1777,1100,1537,1851,1814,1634,2495,1750,1649,1332,1724,1711,1988,1777,1100,1537,1851,1814,1634,2495,1750,1649,1332,1724,1711,1988,1777,1100,1537,1851,1814,1634,2495,1750,610
2602,2791,2667,2640,2569,2780,2742,2761,2726,2571,2793,2732,2705,2602,2791,2667,2640,2569,2780,2742,2761,2726,2571,2793,2732,2705,2602,2791,2667,2640,2569,2780,2742,2761,2726,2571,2793,2732,2705,2602,2791,2667,2640,2569,2780,2742,2761,2726,2571,2793,2732,2705,2602,2791,2667,2640,2569,2780,2742,2761,2726,2571,2793,2732,2705,2602,2791,2667,2640,2569,2780,2742,2761,2726,2571,2793,2732,2705,2602,2791,2667,2640,2569,2780,2742,2761,2726,2571,2793,2732,2705,2602,2791,2667,2640,2569,2780,2742,2761,2726,2571,2793,2732,2705,2602,2791,2667,2640,2569,2780,2742,2761,2726,2571,2793,2732,2705,2602,2791,2667,2640,2569,2780,2742,2761,2726,2571,2793,2732,2705,2602,2791,2667,2640,2569,2780,2742,2761,2726,2571,2793,2732,2705,2602,2791,2667,2640,2569,2780,2742,2761,2726,2571,2793,2732,2705,153
2858,2113,3602,2227,3464,2884,1043,3713,3603,5930,1559,4168,2858,2113,3602,2227,3464,2884,1043,3713,3603,5930,1559,4168,2858,2113,3602,2227,3464,2884,1043,3713,3603,5930,1559,4168,2858,2113,3602,2227,3464,2884,1043,3713,3603,5930,1559,4168,2858,2113,3602,2227,3464,2884,1043,3713,3603,5930,1559,4168,2858,2113,3602,2227,3464,2884,1043,3713,3603,5930,1559,4168,2858,2113,3602,2227,3464,2884,1043,3713,3603,5930,1559,4168,2858,2113,3602,2227,3464,2884,1043,3713,3603,5930,1559,4168,2858,2113,3602,2227,3464,2884,1043,3713,3603,5930,1559,4168,2858,2113,3602,2227,3464,2884,1043,3713,3603,5930,1559,4168,2858,2113,3602,2227,3464,2884,1043,3713,3603,5930,1559,4168,2858,2113,3602,2227,3464,2884,1043,3713,3603,5930,1559,4168,446,,,,,,,,,,,,
1166,1172,1169,1154,1144,1189,1185,1164,1177,1161,1175,1169,1174,1166,1172,1169,1154,1144,1189,1185,1164,1177,1161,1175,1169,1174,1166,1172,1169,1154,1144,1189,1185,1164,1177,1161,1175,1169,1174,1166,1172,1169,1154,1144,1189,1185,1164,1177,1161,1175,1169,1174,1166,1172,1169,1154,1144,1189,1185,1164,1177,1161,1175,1169,1174,1166,1172,1169,1154,1144,1189,1185,1164,1177,1161,1175,1169,1174,1166,1172,1169,1154,1144,1189,1185,1164,1177,1161,1175,1169,1174,1166,1172,1169,1154,1144,1189,1185,1164,1177,1161,1175,1169,1174,1166,1172,1169,1154,1144,1189,1185,1164,1177,1161,1175,1169,1174,1166,1172,1169,1154,1144,1189,1185,1164,1177,1161,1175,1169,1174,1166,1172,1169,1154,1144,1189,1185,1164,1177,1161,1175,1169,1174,1166,1172,1169,1154,1144,1189,1185,1164,1177,1161,1175,1169,1174,145
798,731,815,829,676,1031,804,729,888,834,798,834,814,798,731,815,829,676,1031,804,729,888,834,798,834,814,798,731,815,829,676,1031,804,729,888,834,798,834,814,798,731,815,829,676,1031,804,729,888,834,798,834,814,798,731,815,829,676,1031,804,729,888,834,798,834,814,798,731,815,829,676,1031,804,729,888,834,798,834,814,798,731,815,829,676,1031,804,729,888,834,798,834,814,798,731,815,829,676,1031,804,729,888,834,798,834,814,798,731,815,829,676,1031,804,729,888,834,798,834,814,798,731,815,829,676,1031,804,729,888,834,798,834,814,798,731,815,829,676,1031,804,729,888,834,798,834,814,798,731,815,829,676,1031,804,729,888,834,798,834,814,63
1534,1842,1739,1472,2044,1661,1794,1307,2144,1729,1567,1875,1739,1534,1842,1739,1472,2044,1661,1794,1307,2144,1729,1567,1875,1739,1534,1842,1739,1472,2044,1661,1794,1307,2144,1729,1567,1875,1739,1534,1842,1739,1472,2044,1661,1794,1307,2144,1729,1567,1875,1739,1534,1842,1739,1472,2044,1661,1794,1307,2144,1729,1567,1875,1739,1534,1842,1739,1472,2044,1661,1794,1307,2144,1729,1567,1875,1739,1534,1842,1739,1472,2044,1661,1794,1307,2144,1729,1567,1875,1739,1534,1842,1739,1472,2044,1661,1794,1307,2144,1729,1567,1875,1739,1534,1842,1739,1472,2044,1661,1794,1307,2144,1729,1567,1875,1739,1534,1842,1739,1472,2044,1661,1794,1307,2144,1729,1567,1875,1739,1534,1842,1739,1472,2044,1661,1794,1307,2144,1729,1567,1875,1739,1534,1842,1739,1472,2044,1661,1794,1307,2144,1729,1567,1875,1739,452
1612,1635,1629,1619,1612,1624,1624,1652,1611,1633,1633,1615,1638,1612,1635,1629,1619,1612,1624,1624,1652,1611,1633,1633,1615,1638,1612,1635,1629,1619,1612,1624,1624,1652,1611,1633,1633,1615,1638,1612,1635,1629,1619,1612,1624,1624,1652,1611,1633,1633,1615,1638,1612,1635,1629,1619,1612,1624,1624,1652,1611,1633,1633,1615,1638,1612,1635,1629,1619,1612,1624,1624,1652,1611,1633,1633,1615,1638,1612,1635,1629,1619,1612,1624,1624,1652,1611,1633,1633,1615,1638,1612,1635,1629,1619,1612,1624,1624,1652,1611,1633,1633,1615,1638,1612,1635,1629,1619,1612,1624,1624,1652,1611,1633,1633,1615,1638,1612,1635,1629,1619,1612,1624,1624,1652,1611,1633,1633,1615,1638,1612,1635,1629,1619,1612,1624,1624,1652,1611,1633,1633,1615,1638,1612,1635,1629,1619,1612,1624,1624,1652,1611,1633,1633,1615,1638,434
1618,1703,980,2580,1363,551,3155,1807,1665,1452,1963,1886,1762,1618,1703,980,2580,1363,551,3155,1807,1665,1452,1963,1886,1762,1618,1703,980,2580,1363,551,3155,1807,1665,1452,1963,1886,1762,1618,1703,980,2580,1363,551,3155,1807,1665,1452,1963,1886,1762,1618,1703,980,2580,1363,551,3155,1807,1665,1452,1963,1886,1762,1618,1703,980,2580,1363,551,3155,1807,1665,1452,1963,1886,1762,1618,1703,980,2580,1363,551,3155,1807,1665,1452,1963,1886,1762,1618,1703,980,2580,1363,551,3155,1807,1665,1452,1963,1886,1762,1618,1703,980,2580,1363,551,3155,1807,1665,1452,1963,1886,1762,1618,1703,980,2580,1363,551,3155,1807,1665,1452,1963,1886,1762,1618,1703,980,2580,1363,551,3155,1807,1665,1452,1963,1886,1762,1618,1703,980,2580,1363,551,3155,1807,1665,1452,1963,1886,1762,24
846,1098,938,1112,988,1016,831,1099,1067,781,1209,1013,1000,846,1098,938,1112,988,1016,831,1099,1067,781,1209,1013,1000,846,1098,938,1112,988,1016,831,1099,1067,781,1209,1013,1000,846,1098,938,1112,988,1016,831,1099,1067,781,1209,1013,1000,846,1098,938,1112,988,1016,831,1099,1067,781,1209,1013,1000,846,1098,938,1112,988,1016,831,1099,1067,781,1209,1013,1000,846,1098,938,1112,988,1016,831,1099,1067,781,1209,1013,1000,846,1098,938,1112,988,1016,831,1099,1067,781,1209,1013,1000,846,1098,938,1112,988,1016,831,1099,1067,781,1209,1013,1000,846,1098,938,1112,988,1016,831,1099,1067,781,1209,1013,1000,846,1098,938,1112,988,1016,831,1099,1067,781,1209,1013,1000,846,1098,938,1112,988,1016,831,1099,1067,781,1209,1013,1000,189
619,841,813,16,1138,1308,1050,814,730,992,698,870,619,841,813,16,1138,1308,1050,814,730,992,698,870,619,841,813,16,1138,1308,1050,814,730,992,698,870,619,841,813,16,1138,1308,1050,814,730,992,698,870,619,841,813,16,1138,1308,1050,814,730,992,698,870,619,841,813,16,1138,1308,1050,814,730,992,698,870,619,841,813,16,1138,1308,1050,814,730,992,698,870,619,841,813,16,1138,1308,1050,814,730,992,698,870,619,841,813,16,1138,1308,1050,814,730,992,698,870,619,841,813,16,1138,1308,1050,814,730,992,698,870,619,841,813,16,1138,1308,1050,814,730,992,698,870,619,841,813,16,1138,1308,1050,814,730,992,698,870,478,,,,,,,,,,,,
1696,1687,1504,1937,1696,1631,1784,1708,1604,1787,1726,1675,1742,1696,1687,1504,1937,1696,1631,1784,1708,1604,1787,1726,1675,1742,1696,1687,1504,1937,1696,1631,1784,1708,1604,1787,1726,1675,1742,1696,1687,1504,1937,1696,1631,1784,1708,1604,1787,1726,1675,1742,1696,1687,1504,1937,1696,1631,1784,1708,1604,1787,1726,1675,1742,1696,1687,1504,1937,1696,1631,1784,1708,1604,1787,1726,1675,1742,1696,1687,1504,1937,1696,1631,1784,1708,1604,1787,1726,1675,1742,1696,1687,1504,1937,1696,1631,1784,1708,1604,1787,1726,1675,1742,1696,1687,1504,1937,1696,1631,1784,1708,1604,1787,1726,1675,1742,1696,1687,1504,1937,1696,1631,1784,1708,1604,1787,1726,1675,1742,1696,1687,1504,1937,1696,1631,1784,1708,1604,1787,1726,1675,1742,1696,1687,1504,1937,1696,1631,1784,1708,1604,1787,1726,1675,1742,580
364,403,598,441,453,471,453,455,453,433,480,398,512,364,403,598,441,453,471,453,455,453,433,480,398,512,364,403,598,441,453,471,453,455,453,433,480,398,512,364,403,598,441,453,471,453,455,453,433,480,398,512,364,403,598,441,453,471,453,455,453,433,480,398,512,364,403,598,441,453,471,453,455,453,433,480,398,512,364,403,598,441,453,471,453,455,453,433,480,398,512,364,403,598,441,453,471,453,455,453,433,480,398,512,364,403,598,441,453,471,453,455,453,433,480,398,512,364,403,598,441,453,471,453,455,453,433,480,398,512,364,403,598,441,453,471,453,455,453,433,480,398,512,364,403,598,441,453,471,453,455,453,433,480,398,512,51
1017,1123,797,1543,998,1252,898,1228,1202,1066,1253,1069,1182,1017,1123,797,1543,998,1252,898,1228,1202,1066,1253,1069,1182,1017,1123,797,1543,998,1252,898,1228,1202,1066,1253,1069,1182,1017,1123,797,1543,998,1252,898,1228,1202,1066,1253,1069,1182,1017,1123,797,1543,998,1252,898,1228,1202,1066,1253,1069,1182,1017,1123,797,1543,998,1252,898,1228,1202,1066,1253,1069,1182,1017,1123,797,1543,998,1252,898,1228,1202,1066,1253,1069,1182,1017,1123,797,1543,998,1252,898,1228,1202,1066,1253,1069,1182,1017,1123,797,1543,998,1252,898,1228,1202,1066,1253,1069,1182,1017,1123,797,1543,998,1252,898,1228,1202,1066,1253,1069,1182,1017,1123,797,1543,998,1252,898,1228,1202,1066,1253,1069,1182,1017,1123,797,1543,998,1252,898,1228,1202,1066,1253,1069,1182,592
3453,3461,3467,3410,3523,3105,3475,3800,2032,4917,2582,4221,3593,3453,3461,3467,3410,3523,3105,3475,3800,2032,4917,2582,4221,3593,3453,3461,3467,3410,3523,3105,3475,3800,2032,4917,2582,4221,3593,3453,3461,3467,3410,3523,3105,3475,3800,2032,4917,2582,4221,3593,3453,3461,3467,3410,3523,3105,3475,3800,2032,4917,2582,4221,3593,3453,3461,3467,3410,3523,3105,3475,3800,2032,4917,2582,4221,3593,3453,3461,3467,3410,3523,3105,3475,3800,2032,4917,2582,4221,3593,3453,3461,3467,3410,3523,3105,3475,3800,2032,4917,2582,4221,3593,3453,3461,3467,3410,3523,3105,3475,3800,2032,4917,2582,4221,3593,3453,3461,3467,3410,3523,3105,3475,3800,2032,4917,2582,4221,3593,3453,3461,3467,3410,3523,3105,3475,3800,2032,4917,2582,4221,3593,3453,3461,3467,3410,3523,3105,3475,3800,2032,4917,2582,4221,3593,427
1541,1620,981,864,2480,1452,2117,1543,2047,1480,1670,1731,1628,1541,1620,981,864,2480,1452,2117,1543,2047,1480,1670,1731,1628,1541,1620,981,864,2480,1452,2117,1543,2047,1480,1670,1731,1628,1541,1620,981,864,2480,1452,2117,1543,2047,1480,1670,1731,1628,1541,1620,981,864,2480,1452,2117,1543,2047,1480,1670,1731,1628,1541,1620,981,864,2480,1452,2117,1543,2047,1480,1670,1731,1628,1541,1620,981,864,2480,1452,2117,1543,2047,1480,1670,1731,1628,1541,1620,981,864,2480,1452,2117,1543,2047,1480,1670,1731,1628,1541,1620,981,864,2480,1452,2117,1543,2047,1480,1670,1731,1628,1541,1620,981,864,2480,1452,2117,1543,2047,1480,1670,1731,1628,1541,1620,981,864,2480,1452,2117,1543,2047,1480,1670,1731,1628,1541,1620,981,864,2480,1452,2117,1543,2047,1480,1670,1731,1628,81
626,522,693,713,594,1311,226,1031,430,846,663,763,626,522,693,713,594,1311,226,1031,430,846,663,763,626,522,693,713,594,1311,226,1031,430,846,663,763,626,522,693,713,594,1311,226,1031,430,846,663,763,626,522,693,713,594,1311,226,1031,430,846,663,763,626,522,693,713,594,1311,226,1031,430,846,663,763,626,522,693,713,594,1311,226,1031,430,846,663,763,626,522,693,713,594,1311,226,1031,430,846,663,763,626,522,693,713,594,1311,226,1031,430,846,663,763,626,522,693,713,594,1311,226,1031,430,846,663,763,626,522,693,713,594,1311,226,1031,430,846,663,763,626,522,693,713,594,1311,226,1031,430,846,663,763,422,,,,,,,,,,,,
3189,3188,3189,3189,3189,3186,3191,3188,3170,3179,3168,1355,5072,3189,3188,3189,3189,3189,3186,3191,3188,3170,3179,3168,1355,5072,3189,3188,3189,3189,3189,3186,3191,3188,3170,3179,3168,1355,5072,3189,3188,3189,3189,3189,3186,3191,3188,3170,3179,3168,1355,5072,3189,3188,3189,3189,3189,3186,3191,3188,3170,3179,3168,1355,5072,3189,3188,3189,3189,3189,3186,3191,3188,3170,3179,3168,1355,5072,3189,3188,3189,3189,3189,3186,3191,3188,3170,3179,3168,1355,5072,3189,3188,3189,3189,3189,3186,3191,3188,3170,3179,3168,1355,5072,3189,3188,3189,3189,3189,3186,3191,3188,3170,3179,3168,1355,5072,3189,3188,3189,3189,3189,3186,3191,3188,3170,3179,3168,1355,5072,3189,3188,3189,3189,3189,3186,3191,3188,3170,3179,3168,1355,5072,3189,3188,3189,3189,3189,3186,3191,3188,3170,3179,3168,1355,5072,18
1531,1540,1532,1534,1550,1512,1565,1513,1562,1488,1302,1647,1718,1531,1540,1532,1534,1550,1512,1565,1513,1562,1488,1302,1647,1718,1531,1540,1532,1534,1550,1512,1565,1513,1562,1488,1302,1647,1718,1531,1540,1532,1534,1550,1512,1565,1513,1562,1488,1302,1647,1718,1531,1540,1532,1534,1550,1512,1565,1513,1562,1488,1302,1647,1718,1531,1540,1532,1534,1550,1512,1565,1513,1562,1488,1302,1647,1718,1531,1540,1532,1534,1550,1512,1565,1513,1562,1488,1302,1647,1718,1531,1540,1532,1534,1550,1512,1565,1513,1562,1488,1302,1647,1718,1531,1540,1532,1534,1550,1512,1565,1513,1562,1488,1302,1647,1718,1531,1540,1532,1534,1550,1512,1565,1513,1562,1488,1302,1647,1718,1531,1540,1532,1534,1550,1512,1565,1513,1562,1488,1302,1647,1718,1531,1540,1532,1534,1550,1512,1565,1513,1562,1488,1302,1647,1718,564
2110,2150,1899,2263,2141,1367,1581,3313,1759,1583,2762,1984,2786,2110,2150,1899,2263,2141,1367,1581,3313,1759,1583,2762,1984,2786,2110,2150,1899,2263,2141,1367,1581,3313,1759,1583,2762,1984,2786,2110,2150,1899,2263,2141,1367,1581,3313,1759,1583,2762,1984,2786,2110,2150,1899,2263,2141,1367,1581,3313,1759,1583,2762,1984,2786,2110,2150,1899,2263,2141,1367,1581,3313,1759,1583,2762,1984,2786,2110,2150,1899,2263,2141,1367,1581,3313,1759,1583,2762,1984,2786,2110,2150,1899,2263,2141,1367,1581,3313,1759,1583,2762,1984,2786,2110,2150,1899,2263,2141,1367,1581,3313,1759,1583,2762,1984,2786,2110,2150,1899,2263,2141,1367,1581,3313,1759,1583,2762,1984,2786,2110,2150,1899,2263,2141,1367,1581,3313,1759,1583,2762,1984,2786,2110,2150,1899,2263,2141,1367,1581,3313,1759,1583,2762,1984,2786,628
454,484,411,475,505,485,457,480,465,476,463,448,497,454,484,411,475,505,485,457,480,465,476,463,448,497,454,484,411,475,505,485,457,480,465,476,463,448,497,454,484,411,475,505,485,457,480,465,476,463,448,497,454,484,411,475,505,485,457,480,465,476,463,448,497,454,484,411,475,505,485,457,480,465,476,463,448,497,454,484,411,475,505,485,457,480,465,476,463,448,497,454,484,411,475,505,485,457,480,465,476,463,448,497,454,484,411,475,505,485,457,480,465,476,463,448,497,454,484,411,475,505,485,457,480,465,476,463,448,497,454,484,411,475,505,485,457,480,465,476,463,448,497,454,484,411,475,505,485,457,480,465,476,463,448,497,139
976,1208,1141,1074,1116,1130,1045,1122,1165,1106,1090,1128,1110,976,1208,1141,1074,1116,1130,1045,1122,1165,1106,1090,1128,1110,976,1208,1141,1074,1116,1130,1045,1122,1165,1106,1090,1128,1110,976,1208,1141,1074,1116,1130,1045,1122,1165,1106,1090,1128,1110,976,1208,1141,1074,1116,1130,1045,1122,1165,1106,1090,1128,1110,976,1208,1141,1074,1116,1130,1045,1122,1165,1106,1090,1128,1110,976,1208,1141,1074,1116,1130,1045,1122,1165,1106,1090,1128,1110,976,1208,1141,1074,1116,1130,1045,1122,1165,1106,1090,1128,1110,976,1208,1141,1074,1116,1130,1045,1122,1165,1106,1090,1128,1110,976,1208,1141,1074,1116,1130,1045,1122,1165,1106,1090,1128,1110,976,1208,1141,1074,1116,1130,1045,1122,1165,1106,1090,1128,1110,976,1208,1141,1074,1116,1130,1045,1122,1165,1106,1090,1128,1110,163
1987,1889,2054,1840,2118,2043,2055,1999,1886,1734,2368,2005,1999,1987,1889,2054,1840,2118,2043,2055,1999,1886,1734,2368,2005,1999,1987,1889,2054,1840,2118,2043,2055,1999,1886,1734,2368,2005,1999,1987,1889,2054,1840,2118,2043,2055,1999,1886,1734,2368,2005,1999,1987,1889,2054,1840,2118,2043,2055,1999,1886,1734,2368,2005,1999,1987,1889,2054,1840,2118,2043,2055,1999,1886,1734,2368,2005,1999,1987,1889,2054,1840,2118,2043,2055,1999,1886,1734,2368,2005,1999,1987,1889,2054,1840,2118,2043,2055,1999,1886,1734,2368,2005,1999,1987,1889,2054,1840,2118,2043,2055,1999,1886,1734,2368,2005,1999,1987,1889,2054,1840,2118,2043,2055,1999,1886,1734,2368,2005,1999,1987,1889,2054,1840,2118,2043,2055,1999,1886,1734,2368,2005,1999,1987,1889,2054,1840,2118,2043,2055,1999,1886,1734,2368,2005,1999,577
