band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,census_code
278,350,230,385,200,361,371,355,278,350,230,385,200,361,371,355,278,350,230,385,200,361,371,355,278,350,230,385,200,361,371,355,278,350,230,385,200,361,371,355,278,350,230,385,200,361,371,355,278,350,230,385,200,361,371,355,278,350,230,385,200,361,371,355,278,350,230,385,200,361,371,355,278,350,230,385,200,361,371,355,278,350,230,385,200,361,371,355,278,350,230,385,200,361,371,355,268
2814,3026,2927,2907,2764,3102,2930,2925,2814,3026,2927,2907,2764,3102,2930,2925,2814,3026,2927,2907,2764,3102,2930,2925,2814,3026,2927,2907,2764,3102,2930,2925,2814,3026,2927,2907,2764,3102,2930,2925,2814,3026,2927,2907,2764,3102,2930,2925,2814,3026,2927,2907,2764,3102,2930,2925,2814,3026,2927,2907,2764,3102,2930,2925,2814,3026,2927,2907,2764,3102,2930,2925,2814,3026,2927,2907,2764,3102,2930,2925,2814,3026,2927,2907,2764,3102,2930,2925,2814,3026,2927,2907,2764,3102,2930,2925,366
1210,1278,1377,1449,1334,1281,1381,1336,1210,1278,1377,1449,1334,1281,1381,1336,1210,1278,1377,1449,1334,1281,1381,1336,1210,1278,1377,1449,1334,1281,1381,1336,1210,1278,1377,1449,1334,1281,1381,1336,1210,1278,1377,1449,1334,1281,1381,1336,1210,1278,1377,1449,1334,1281,1381,1336,1210,1278,1377,1449,1334,1281,1381,1336,1210,1278,1377,1449,1334,1281,1381,1336,1210,1278,1377,1449,1334,1281,1381,1336,1210,1278,1377,1449,1334,1281,1381,1336,1210,1278,1377,1449,1334,1281,1381,1336,73
1398,1277,1240,1689,1382,1088,1694,1464,1398,1277,1240,1689,1382,1088,1694,1464,1398,1277,1240,1689,1382,1088,1694,1464,1398,1277,1240,1689,1382,1088,1694,1464,1398,1277,1240,1689,1382,1088,1694,1464,1398,1277,1240,1689,1382,1088,1694,1464,1398,1277,1240,1689,1382,1088,1694,1464,1398,1277,1240,1689,1382,1088,1694,1464,1398,1277,1240,1689,1382,1088,1694,1464,1398,1277,1240,1689,1382,1088,1694,1464,1398,1277,1240,1689,1382,1088,1694,1464,1398,1277,1240,1689,1382,1088,1694,1464,196
2918,2710,3004,2922,2823,2668,3532,2955,2918,2710,3004,2922,2823,2668,3532,2955,2918,2710,3004,2922,2823,2668,3532,2955,2918,2710,3004,2922,2823,2668,3532,2955,2918,2710,3004,2922,2823,2668,3532,2955,2918,2710,3004,2922,2823,2668,3532,2955,2918,2710,3004,2922,2823,2668,3532,2955,2918,2710,3004,2922,2823,2668,3532,2955,2918,2710,3004,2922,2823,2668,3532,2955,2918,2710,3004,2922,2823,2668,3532,2955,2918,2710,3004,2922,2823,2668,3532,2955,2918,2710,3004,2922,2823,2668,3532,2955,441
1261,1263,1290,1271,1030,1302,1487,1274,1261,1263,1290,1271,1030,1302,1487,1274,1261,1263,1290,1271,1030,1302,1487,1274,1261,1263,1290,1271,1030,1302,1487,1274,1261,1263,1290,1271,1030,1302,1487,1274,1261,1263,1290,1271,1030,1302,1487,1274,1261,1263,1290,1271,1030,1302,1487,1274,1261,1263,1290,1271,1030,1302,1487,1274,1261,1263,1290,1271,1030,1302,1487,1274,1261,1263,1290,1271,1030,1302,1487,1274,1261,1263,1290,1271,1030,1302,1487,1274,1261,1263,1290,1271,1030,1302,1487,1274,618
2111,2090,2144,1973,2176,2230,2209,2136,2111,2090,2144,1973,2176,2230,2209,2136,2111,2090,2144,1973,2176,2230,2209,2136,2111,2090,2144,1973,2176,2230,2209,2136,2111,2090,2144,1973,2176,2230,2209,2136,2111,2090,2144,1973,2176,2230,2209,2136,2111,2090,2144,1973,2176,2230,2209,2136,2111,2090,2144,1973,2176,2230,2209,2136,2111,2090,2144,1973,2176,2230,2209,2136,2111,2090,2144,1973,2176,2230,2209,2136,2111,2090,2144,1973,2176,2230,2209,2136,2111,2090,2144,1973,2176,2230,2209,2136,439
5254,5312,7180,6543,5482,6360,6376,6112,5254,5312,7180,6543,5482,6360,6376,6112,5254,5312,7180,6543,5482,6360,6376,6112,5254,5312,7180,6543,5482,6360,6376,6112,5254,5312,7180,6543,5482,6360,6376,6112,5254,5312,7180,6543,5482,6360,6376,6112,5254,5312,7180,6543,5482,6360,6376,6112,5254,5312,7180,6543,5482,6360,6376,6112,5254,5312,7180,6543,5482,6360,6376,6112,5254,5312,7180,6543,5482,6360,6376,6112,5254,5312,7180,6543,5482,6360,6376,6112,5254,5312,7180,6543,5482,6360,6376,6112,476
1346,1307,1137,1381,1513,1168,1780,1416,1346,1307,1137,1381,1513,1168,1780,1416,1346,1307,1137,1381,1513,1168,1780,1416,1346,1307,1137,1381,1513,1168,1780,1416,1346,1307,1137,1381,1513,1168,1780,1416,1346,1307,1137,1381,1513,1168,1780,1416,1346,1307,1137,1381,1513,1168,1780,1416,1346,1307,1137,1381,1513,1168,1780,1416,1346,1307,1137,1381,1513,1168,1780,1416,1346,1307,1137,1381,1513,1168,1780,1416,1346,1307,1137,1381,1513,1168,1780,1416,1346,1307,1137,1381,1513,1168,1780,1416,68
4205,4232,4180,4137,4323,4262,4268,4232,4205,4232,4180,4137,4323,4262,4268,4232,4205,4232,4180,4137,4323,4262,4268,4232,4205,4232,4180,4137,4323,4262,4268,4232,4205,4232,4180,4137,4323,4262,4268,4232,4205,4232,4180,4137,4323,4262,4268,4232,4205,4232,4180,4137,4323,4262,4268,4232,4205,4232,4180,4137,4323,4262,4268,4232,4205,4232,4180,4137,4323,4262,4268,4232,4205,4232,4180,4137,4323,4262,4268,4232,4205,4232,4180,4137,4323,4262,4268,4232,4205,4232,4180,4137,4323,4262,4268,4232,126
2229,2300,1141,3670,2339,2329,2251,2428,2229,2300,1141,3670,2339,2329,2251,2428,2229,2300,1141,3670,2339,2329,2251,2428,2229,2300,1141,3670,2339,2329,2251,2428,2229,2300,1141,3670,2339,2329,2251,2428,2229,2300,1141,3670,2339,2329,2251,2428,2229,2300,1141,3670,2339,2329,2251,2428,2229,2300,1141,3670,2339,2329,2251,2428,2229,2300,1141,3670,2339,2329,2251,2428,2229,2300,1141,3670,2339,2329,2251,2428,2229,2300,1141,3670,2339,2329,2251,2428,2229,2300,1141,3670,2339,2329,2251,2428,492
1544,1702,1786,1671,881,2197,1921,1720,1544,1702,1786,1671,881,2197,1921,1720,1544,1702,1786,1671,881,2197,1921,1720,1544,1702,1786,1671,881,2197,1921,1720,1544,1702,1786,1671,881,2197,1921,1720,1544,1702,1786,1671,881,2197,1921,1720,1544,1702,1786,1671,881,2197,1921,1720,1544,1702,1786,1671,881,2197,1921,1720,1544,1702,1786,1671,881,2197,1921,1720,1544,1702,1786,1671,881,2197,1921,1720,1544,1702,1786,1671,881,2197,1921,1720,1544,1702,1786,1671,881,2197,1921,1720,193
165,153,165,174,155,167,181,167,165,153,165,174,155,167,181,167,165,153,165,174,155,167,181,167,165,153,165,174,155,167,181,167,165,153,165,174,155,167,181,167,165,153,165,174,155,167,181,167,165,153,165,174,155,167,181,167,165,153,165,174,155,167,181,167,165,153,165,174,155,167,181,167,165,153,165,174,155,167,181,167,165,153,165,174,155,167,181,167,165,153,165,174,155,167,181,167,277
4305,4364,4322,4228,4459,4205,4468,4336,4305,4364,4322,4228,4459,4205,4468,4336,4305,4364,4322,4228,4459,4205,4468,4336,4305,4364,4322,4228,4459,4205,4468,4336,4305,4364,4322,4228,4459,4205,4468,4336,4305,4364,4322,4228,4459,4205,4468,4336,4305,4364,4322,4228,4459,4205,4468,4336,4305,4364,4322,4228,4459,4205,4468,4336,4305,4364,4322,4228,4459,4205,4468,4336,4305,4364,4322,4228,4459,4205,4468,4336,4305,4364,4322,4228,4459,4205,4468,4336,4305,4364,4322,4228,4459,4205,4468,4336,408
2053,4927,2847,4212,4011,3934,4121,3735,2053,4927,2847,4212,4011,3934,4121,3735,2053,4927,2847,4212,4011,3934,4121,3735,2053,4927,2847,4212,4011,3934,4121,3735,2053,4927,2847,4212,4011,3934,4121,3735,2053,4927,2847,4212,4011,3934,4121,3735,2053,4927,2847,4212,4011,3934,4121,3735,2053,4927,2847,4212,4011,3934,4121,3735,2053,4927,2847,4212,4011,3934,4121,3735,2053,4927,2847,4212,4011,3934,4121,3735,2053,4927,2847,4212,4011,3934,4121,3735,2053,4927,2847,4212,4011,3934,4121,3735,570
3079,2973,3155,3109,2949,2953,3349,3081,3079,2973,3155,3109,2949,2953,3349,3081,3079,2973,3155,3109,2949,2953,3349,3081,3079,2973,3155,3109,2949,2953,3349,3081,3079,2973,3155,3109,2949,2953,3349,3081,3079,2973,3155,3109,2949,2953,3349,3081,3079,2973,3155,3109,2949,2953,3349,3081,3079,2973,3155,3109,2949,2953,3349,3081,3079,2973,3155,3109,2949,2953,3349,3081,3079,2973,3155,3109,2949,2953,3349,3081,3079,2973,3155,3109,2949,2953,3349,3081,3079,2973,3155,3109,2949,2953,3349,3081,399
1418,1437,1425,1427,1406,1455,1428,1428,1418,1437,1425,1427,1406,1455,1428,1428,1418,1437,1425,1427,1406,1455,1428,1428,1418,1437,1425,1427,1406,1455,1428,1428,1418,1437,1425,1427,1406,1455,1428,1428,1418,1437,1425,1427,1406,1455,1428,1428,1418,1437,1425,1427,1406,1455,1428,1428,1418,1437,1425,1427,1406,1455,1428,1428,1418,1437,1425,1427,1406,1455,1428,1428,1418,1437,1425,1427,1406,1455,1428,1428,1418,1437,1425,1427,1406,1455,1428,1428,1418,1437,1425,1427,1406,1455,1428,1428,157
4450,4544,4467,4368,4683,4442,4570,4508,4450,4544,4467,4368,4683,4442,4570,4508,4450,4544,4467,4368,4683,4442,4570,4508,4450,4544,4467,4368,4683,4442,4570,4508,4450,4544,4467,4368,4683,4442,4570,4508,4450,4544,4467,4368,4683,4442,4570,4508,4450,4544,4467,4368,4683,4442,4570,4508,4450,4544,4467,4368,4683,4442,4570,4508,4450,4544,4467,4368,4683,4442,4570,4508,4450,4544,4467,4368,4683,4442,4570,4508,4450,4544,4467,4368,4683,4442,4570,4508,4450,4544,4467,4368,4683,4442,4570,4508,531
3915,3916,3916,3827,3994,3917,3919,3924,3915,3916,3916,3827,3994,3917,3919,3924,3915,3916,3916,3827,3994,3917,3919,3924,3915,3916,3916,3827,3994,3917,3919,3924,3915,3916,3916,3827,3994,3917,3919,3924,3915,3916,3916,3827,3994,3917,3919,3924,3915,3916,3916,3827,3994,3917,3919,3924,3915,3916,3916,3827,3994,3917,3919,3924,3915,3916,3916,3827,3994,3917,3919,3924,3915,3916,3916,3827,3994,3917,3919,3924,3915,3916,3916,3827,3994,3917,3919,3924,3915,3916,3916,3827,3994,3917,3919,3924,426
4260,4488,4385,4359,4367,4399,4368,4397,4260,4488,4385,4359,4367,4399,4368,4397,4260,4488,4385,4359,4367,4399,4368,4397,4260,4488,4385,4359,4367,4399,4368,4397,4260,4488,4385,4359,4367,4399,4368,4397,4260,4488,4385,4359,4367,4399,4368,4397,4260,4488,4385,4359,4367,4399,4368,4397,4260,4488,4385,4359,4367,4399,4368,4397,4260,4488,4385,4359,4367,4399,4368,4397,4260,4488,4385,4359,4367,4399,4368,4397,4260,4488,4385,4359,4367,4399,4368,4397,4260,4488,4385,4359,4367,4399,4368,4397,568
248,248,258,260,252,244,261,257,248,248,258,260,252,244,261,257,248,248,258,260,252,244,261,257,248,248,258,260,252,244,261,257,248,248,258,260,252,244,261,257,248,248,258,260,252,244,261,257,248,248,258,260,252,244,261,257,248,248,258,260,252,244,261,257,248,248,258,260,252,244,261,257,248,248,258,260,252,244,261,257,248,248,258,260,252,244,261,257,248,248,258,260,252,244,261,257,90
8998,9000,9000,8999,8996,9002,8994,9008,8998,9000,9000,8999,8996,9002,8994,9008,8998,9000,9000,8999,8996,9002,8994,9008,8998,9000,9000,8999,8996,9002,8994,9008,8998,9000,9000,8999,8996,9002,8994,9008,8998,9000,9000,8999,8996,9002,8994,9008,8998,9000,9000,8999,8996,9002,8994,9008,8998,9000,9000,8999,8996,9002,8994,9008,8998,9000,9000,8999,8996,9002,8994,9008,8998,9000,9000,8999,8996,9002,8994,9008,8998,9000,9000,8999,8996,9002,8994,9008,8998,9000,9000,8999,8996,9002,8994,9008,4
1485,1488,1574,1506,1271,1516,1492,1792,1485,1488,1574,1506,1271,1516,1492,1792,1485,1488,1574,1506,1271,1516,1492,1792,1485,1488,1574,1506,1271,1516,1492,1792,1485,1488,1574,1506,1271,1516,1492,1792,1485,1488,1574,1506,1271,1516,1492,1792,1485,1488,1574,1506,1271,1516,1492,1792,1485,1488,1574,1506,1271,1516,1492,1792,1485,1488,1574,1506,1271,1516,1492,1792,1485,1488,1574,1506,1271,1516,1492,1792,1485,1488,1574,1506,1271,1516,1492,1792,1485,1488,1574,1506,1271,1516,1492,1792,373
1091,894,983,1423,700,1318,1543,1301,1091,894,983,1423,700,1318,1543,1301,1091,894,983,1423,700,1318,1543,1301,1091,894,983,1423,700,1318,1543,1301,1091,894,983,1423,700,1318,1543,1301,1091,894,983,1423,700,1318,1543,1301,1091,894,983,1423,700,1318,1543,1301,1091,894,983,1423,700,1318,1543,1301,1091,894,983,1423,700,1318,1543,1301,1091,894,983,1423,700,1318,1543,1301,1091,894,983,1423,700,1318,1543,1301,1091,894,983,1423,700,1318,1543,1301,6
3437,3327,3568,3617,3515,3475,3514,3500,3437,3327,3568,3617,3515,3475,3514,3500,3437,3327,3568,3617,3515,3475,3514,3500,3437,3327,3568,3617,3515,3475,3514,3500,3437,3327,3568,3617,3515,3475,3514,3500,3437,3327,3568,3617,3515,3475,3514,3500,3437,3327,3568,3617,3515,3475,3514,3500,3437,3327,3568,3617,3515,3475,3514,3500,3437,3327,3568,3617,3515,3475,3514,3500,3437,3327,3568,3617,3515,3475,3514,3500,3437,3327,3568,3617,3515,3475,3514,3500,3437,3327,3568,3617,3515,3475,3514,3500,328
1803,2544,2182,1949,2375,2201,2090,2281,1803,2544,2182,1949,2375,2201,2090,2281,1803,2544,2182,1949,2375,2201,2090,2281,1803,2544,2182,1949,2375,2201,2090,2281,1803,2544,2182,1949,2375,2201,2090,2281,1803,2544,2182,1949,2375,2201,2090,2281,1803,2544,2182,1949,2375,2201,2090,2281,1803,2544,2182,1949,2375,2201,2090,2281,1803,2544,2182,1949,2375,2201,2090,2281,1803,2544,2182,1949,2375,2201,2090,2281,1803,2544,2182,1949,2375,2201,2090,2281,1803,2544,2182,1949,2375,2201,2090,2281,412
1094,1043,1249,813,913,1440,1358,1151,1094,1043,1249,813,913,1440,1358,1151,1094,1043,1249,813,913,1440,1358,1151,1094,1043,1249,813,913,1440,1358,1151,1094,1043,1249,813,913,1440,1358,1151,1094,1043,1249,813,913,1440,1358,1151,1094,1043,1249,813,913,1440,1358,1151,1094,1043,1249,813,913,1440,1358,1151,1094,1043,1249,813,913,1440,1358,1151,1094,1043,1249,813,913,1440,1358,1151,1094,1043,1249,813,913,1440,1358,1151,1094,1043,1249,813,913,1440,1358,1151,326
3120,3111,3136,3106,3133,3131,2931,3318,3120,3111,3136,3106,3133,3131,2931,3318,3120,3111,3136,3106,3133,3131,2931,3318,3120,3111,3136,3106,3133,3131,2931,3318,3120,3111,3136,3106,3133,3131,2931,3318,3120,3111,3136,3106,3133,3131,2931,3318,3120,3111,3136,3106,3133,3131,2931,3318,3120,3111,3136,3106,3133,3131,2931,3318,3120,3111,3136,3106,3133,3131,2931,3318,3120,3111,3136,3106,3133,3131,2931,3318,3120,3111,3136,3106,3133,3131,2931,3318,3120,3111,3136,3106,3133,3131,2931,3318,370
4365,4367,4363,4360,4373,4348,4329,4423,4365,4367,4363,4360,4373,4348,4329,4423,4365,4367,4363,4360,4373,4348,4329,4423,4365,4367,4363,4360,4373,4348,4329,4423,4365,4367,4363,4360,4373,4348,4329,4423,4365,4367,4363,4360,4373,4348,4329,4423,4365,4367,4363,4360,4373,4348,4329,4423,4365,4367,4363,4360,4373,4348,4329,4423,4365,4367,4363,4360,4373,4348,4329,4423,4365,4367,4363,4360,4373,4348,4329,4423,4365,4367,4363,4360,4373,4348,4329,4423,4365,4367,4363,4360,4373,4348,4329,4423,474
1527,1574,1601,1544,1569,1588,1490,1649,1527,1574,1601,1544,1569,1588,1490,1649,1527,1574,1601,1544,1569,1588,1490,1649,1527,1574,1601,1544,1569,1588,1490,1649,1527,1574,1601,1544,1569,1588,1490,1649,1527,1574,1601,1544,1569,1588,1490,1649,1527,1574,1601,1544,1569,1588,1490,1649,1527,1574,1601,1544,1569,1588,1490,1649,1527,1574,1601,1544,1569,1588,1490,1649,1527,1574,1601,1544,1569,1588,1490,1649,1527,1574,1601,1544,1569,1588,1490,1649,1527,1574,1601,1544,1569,1588,1490,1649,49
681,1019,849,837,862,852,847,854,681,1019,849,837,862,852,847,854,681,1019,849,837,862,852,847,854,681,1019,849,837,862,852,847,854,681,1019,849,837,862,852,847,854,681,1019,849,837,862,852,847,854,681,1019,849,837,862,852,847,854,681,1019,849,837,862,852,847,854,681,1019,849,837,862,852,847,854,681,1019,849,837,862,852,847,854,681,1019,849,837,862,852,847,854,681,1019,849,837,862,852,847,854,85
1311,1318,1198,1236,1340,1498,1286,1348,1311,1318,1198,1236,1340,1498,1286,1348,1311,1318,1198,1236,1340,1498,1286,1348,1311,1318,1198,1236,1340,1498,1286,1348,1311,1318,1198,1236,1340,1498,1286,1348,1311,1318,1198,1236,1340,1498,1286,1348,1311,1318,1198,1236,1340,1498,1286,1348,1311,1318,1198,1236,1340,1498,1286,1348,1311,1318,1198,1236,1340,1498,1286,1348,1311,1318,1198,1236,1340,1498,1286,1348,1311,1318,1198,1236,1340,1498,1286,1348,1311,1318,1198,1236,1340,1498,1286,1348,231
1050,1045,1402,774,1508,1320,1260,1219,1050,1045,1402,774,1508,1320,1260,1219,1050,1045,1402,774,1508,1320,1260,1219,1050,1045,1402,774,1508,1320,1260,1219,1050,1045,1402,774,1508,1320,1260,1219,1050,1045,1402,774,1508,1320,1260,1219,1050,1045,1402,774,1508,1320,1260,1219,1050,1045,1402,774,1508,1320,1260,1219,1050,1045,1402,774,1508,1320,1260,1219,1050,1045,1402,774,1508,1320,1260,1219,1050,1045,1402,774,1508,1320,1260,1219,1050,1045,1402,774,1508,1320,1260,1219,591
3786,3954,3869,3481,3928,4207,3798,3950,3786,3954,3869,3481,3928,4207,3798,3950,3786,3954,3869,3481,3928,4207,3798,3950,3786,3954,3869,3481,3928,4207,3798,3950,3786,3954,3869,3481,3928,4207,3798,3950,3786,3954,3869,3481,3928,4207,3798,3950,3786,3954,3869,3481,3928,4207,3798,3950,3786,3954,3869,3481,3928,4207,3798,3950,3786,3954,3869,3481,3928,4207,3798,3950,3786,3954,3869,3481,3928,4207,3798,3950,3786,3954,3869,3481,3928,4207,3798,3950,3786,3954,3869,3481,3928,4207,3798,3950,498
2184,2361,2290,2234,2315,2285,2261,2300,2184,2361,2290,2234,2315,2285,2261,2300,2184,2361,2290,2234,2315,2285,2261,2300,2184,2361,2290,2234,2315,2285,2261,2300,2184,2361,2290,2234,2315,2285,2261,2300,2184,2361,2290,2234,2315,2285,2261,2300,2184,2361,2290,2234,2315,2285,2261,2300,2184,2361,2290,2234,2315,2285,2261,2300,2184,2361,2290,2234,2315,2285,2261,2300,2184,2361,2290,2234,2315,2285,2261,2300,2184,2361,2290,2234,2315,2285,2261,2300,2184,2361,2290,2234,2315,2285,2261,2300,415
2792,2793,2781,2798,2791,2679,2909,2795,2792,2793,2781,2798,2791,2679,2909,2795,2792,2793,2781,2798,2791,2679,2909,2795,2792,2793,2781,2798,2791,2679,2909,2795,2792,2793,2781,2798,2791,2679,2909,2795,2792,2793,2781,2798,2791,2679,2909,2795,2792,2793,2781,2798,2791,2679,2909,2795,2792,2793,2781,2798,2791,2679,2909,2795,2792,2793,2781,2798,2791,2679,2909,2795,2792,2793,2781,2798,2791,2679,2909,2795,2792,2793,2781,2798,2791,2679,2909,2795,2792,2793,2781,2798,2791,2679,2909,2795,419
1846,1887,1362,2686,1636,1940,2313,1956,1846,1887,1362,2686,1636,1940,2313,1956,1846,1887,1362,2686,1636,1940,2313,1956,1846,1887,1362,2686,1636,1940,2313,1956,1846,1887,1362,2686,1636,1940,2313,1956,1846,1887,1362,2686,1636,1940,2313,1956,1846,1887,1362,2686,1636,1940,2313,1956,1846,1887,1362,2686,1636,1940,2313,1956,1846,1887,1362,2686,1636,1940,2313,1956,1846,1887,1362,2686,1636,1940,2313,1956,1846,1887,1362,2686,1636,1940,2313,1956,1846,1887,1362,2686,1636,1940,2313,1956,306
153,147,145,160,150,156,151,156,153,147,145,160,150,156,151,156,153,147,145,160,150,156,151,156,153,147,145,160,150,156,151,156,153,147,145,160,150,156,151,156,153,147,145,160,150,156,151,156,153,147,145,160,150,156,151,156,153,147,145,160,150,156,151,156,153,147,145,160,150,156,151,156,153,147,145,160,150,156,151,156,153,147,145,160,150,156,151,156,153,147,145,160,150,156,151,156,635
6271,6421,6156,5872,6849,6176,6676,6356,6271,6421,6156,5872,6849,6176,6676,6356,6271,6421,6156,5872,6849,6176,6676,6356,6271,6421,6156,5872,6849,6176,6676,6356,6271,6421,6156,5872,6849,6176,6676,6356,6271,6421,6156,5872,6849,6176,6676,6356,6271,6421,6156,5872,6849,6176,6676,6356,6271,6421,6156,5872,6849,6176,6676,6356,6271,6421,6156,5872,6849,6176,6676,6356,6271,6421,6156,5872,6849,6176,6676,6356,6271,6421,6156,5872,6849,6176,6676,6356,6271,6421,6156,5872,6849,6176,6676,6356,110
2776,2833,2842,2851,2660,2990,2807,2845,2776,2833,2842,2851,2660,2990,2807,2845,2776,2833,2842,2851,2660,2990,2807,2845,2776,2833,2842,2851,2660,2990,2807,2845,2776,2833,2842,2851,2660,2990,2807,2845,2776,2833,2842,2851,2660,2990,2807,2845,2776,2833,2842,2851,2660,2990,2807,2845,2776,2833,2842,2851,2660,2990,2807,2845,2776,2833,2842,2851,2660,2990,2807,2845,2776,2833,2842,2851,2660,2990,2807,2845,2776,2833,2842,2851,2660,2990,2807,2845,2776,2833,2842,2851,2660,2990,2807,2845,397
1533,1895,1528,1902,1703,1717,1726,1716,1533,1895,1528,1902,1703,1717,1726,1716,1533,1895,1528,1902,1703,1717,1726,1716,1533,1895,1528,1902,1703,1717,1726,1716,1533,1895,1528,1902,1703,1717,1726,1716,1533,1895,1528,1902,1703,1717,1726,1716,1533,1895,1528,1902,1703,1717,1726,1716,1533,1895,1528,1902,1703,1717,1726,1716,1533,1895,1528,1902,1703,1717,1726,1716,1533,1895,1528,1902,1703,1717,1726,1716,1533,1895,1528,1902,1703,1717,1726,1716,1533,1895,1528,1902,1703,1717,1726,1716,225
1567,2262,1737,2133,1452,2614,2392,2552,1567,2262,1737,2133,1452,2614,2392,2552,1567,2262,1737,2133,1452,2614,2392,2552,1567,2262,1737,2133,1452,2614,2392,2552,1567,2262,1737,2133,1452,2614,2392,2552,1567,2262,1737,2133,1452,2614,2392,2552,1567,2262,1737,2133,1452,2614,2392,2552,1567,2262,1737,2133,1452,2614,2392,2552,1567,2262,1737,2133,1452,2614,2392,2552,1567,2262,1737,2133,1452,2614,2392,2552,1567,2262,1737,2133,1452,2614,2392,2552,1567,2262,1737,2133,1452,2614,2392,2552,53
1001,995,1021,1017,993,977,1006,1060,1001,995,1021,1017,993,977,1006,1060,1001,995,1021,1017,993,977,1006,1060,1001,995,1021,1017,993,977,1006,1060,1001,995,1021,1017,993,977,1006,1060,1001,995,1021,1017,993,977,1006,1060,1001,995,1021,1017,993,977,1006,1060,1001,995,1021,1017,993,977,1006,1060,1001,995,1021,1017,993,977,1006,1060,1001,995,1021,1017,993,977,1006,1060,1001,995,1021,1017,993,977,1006,1060,1001,995,1021,1017,993,977,1006,1060,71
3383,3368,3435,3379,3402,3347,3385,3464,3383,3368,3435,3379,3402,3347,3385,3464,3383,3368,3435,3379,3402,3347,3385,3464,3383,3368,3435,3379,3402,3347,3385,3464,3383,3368,3435,3379,3402,3347,3385,3464,3383,3368,3435,3379,3402,3347,3385,3464,3383,3368,3435,3379,3402,3347,3385,3464,3383,3368,3435,3379,3402,3347,3385,3464,3383,3368,3435,3379,3402,3347,3385,3464,3383,3368,3435,3379,3402,3347,3385,3464,3383,3368,3435,3379,3402,3347,3385,3464,3383,3368,3435,3379,3402,3347,3385,3464,155
1699,1707,1704,1718,1691,1729,1709,1712,1699,1707,1704,1718,1691,1729,1709,1712,1699,1707,1704,1718,1691,1729,1709,1712,1699,1707,1704,1718,1691,1729,1709,1712,1699,1707,1704,1718,1691,1729,1709,1712,1699,1707,1704,1718,1691,1729,1709,1712,1699,1707,1704,1718,1691,1729,1709,1712,1699,1707,1704,1718,1691,1729,1709,1712,1699,1707,1704,1718,1691,1729,1709,1712,1699,1707,1704,1718,1691,1729,1709,1712,1699,1707,1704,1718,1691,1729,1709,1712,1699,1707,1704,1718,1691,1729,1709,1712,171
4357,4218,4505,4291,4175,4616,4348,4380,4357,4218,4505,4291,4175,4616,4348,4380,4357,4218,4505,4291,4175,4616,4348,4380,4357,4218,4505,4291,4175,4616,4348,4380,4357,4218,4505,4291,4175,4616,4348,4380,4357,4218,4505,4291,4175,4616,4348,4380,4357,4218,4505,4291,4175,4616,4348,4380,4357,4218,4505,4291,4175,4616,4348,4380,4357,4218,4505,4291,4175,4616,4348,4380,4357,4218,4505,4291,4175,4616,4348,4380,4357,4218,4505,4291,4175,4616,4348,4380,4357,4218,4505,4291,4175,4616,4348,4380,440
5815,5756,5800,5901,5810,5777,5888,5823,5815,5756,5800,5901,5810,5777,5888,5823,5815,5756,5800,5901,5810,5777,5888,5823,5815,5756,5800,5901,5810,5777,5888,5823,5815,5756,5800,5901,5810,5777,5888,5823,5815,5756,5800,5901,5810,5777,5888,5823,5815,5756,5800,5901,5810,5777,5888,5823,5815,5756,5800,5901,5810,5777,5888,5823,5815,5756,5800,5901,5810,5777,5888,5823,5815,5756,5800,5901,5810,5777,5888,5823,5815,5756,5800,5901,5810,5777,5888,5823,5815,5756,5800,5901,5810,5777,5888,5823,122
2308,2205,2268,2448,2379,2320,2323,2322,2308,2205,2268,2448,2379,2320,2323,2322,2308,2205,2268,2448,2379,2320,2323,2322,2308,2205,2268,2448,2379,2320,2323,2322,2308,2205,2268,2448,2379,2320,2323,2322,2308,2205,2268,2448,2379,2320,2323,2322,2308,2205,2268,2448,2379,2320,2323,2322,2308,2205,2268,2448,2379,2320,2323,2322,2308,2205,2268,2448,2379,2320,2323,2322,2308,2205,2268,2448,2379,2320,2323,2322,2308,2205,2268,2448,2379,2320,2323,2322,2308,2205,2268,2448,2379,2320,2323,2322,256
