band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,census_code
8177,8221,8322,8797,8745,8515,8177,8221,8322,8797,8745,8515,8177,8221,8322,8797,8745,8515,8177,8221,8322,8797,8745,8515,8177,8221,8322,8797,8745,8515,8177,8221,8322,8797,8745,8515,8177,8221,8322,8797,8745,8515,8177,8221,8322,8797,8745,8515,8177,8221,8322,8797,8745,8515,8177,8221,8322,8797,8745,8515,8177,8221,8322,8797,8745,8515,8177,8221,8322,8797,8745,8515,110
3768,3748,3786,3767,3741,3794,3768,3748,3786,3767,3741,3794,3768,3748,3786,3767,3741,3794,3768,3748,3786,3767,3741,3794,3768,3748,3786,3767,3741,3794,3768,3748,3786,3767,3741,3794,3768,3748,3786,3767,3741,3794,3768,3748,3786,3767,3741,3794,3768,3748,3786,3767,3741,3794,3768,3748,3786,3767,3741,3794,3768,3748,3786,3767,3741,3794,3768,3748,3786,3767,3741,3794,397
2205,2094,2559,2285,1922,2655,2205,2094,2559,2285,1922,2655,2205,2094,2559,2285,1922,2655,2205,2094,2559,2285,1922,2655,2205,2094,2559,2285,1922,2655,2205,2094,2559,2285,1922,2655,2205,2094,2559,2285,1922,2655,2205,2094,2559,2285,1922,2655,2205,2094,2559,2285,1922,2655,2205,2094,2559,2285,1922,2655,2205,2094,2559,2285,1922,2655,2205,2094,2559,2285,1922,2655,225
2559,3007,2133,2815,2315,3880,2559,3007,2133,2815,2315,3880,2559,3007,2133,2815,2315,3880,2559,3007,2133,2815,2315,3880,2559,3007,2133,2815,2315,3880,2559,3007,2133,2815,2315,3880,2559,3007,2133,2815,2315,3880,2559,3007,2133,2815,2315,3880,2559,3007,2133,2815,2315,3880,2559,3007,2133,2815,2315,3880,2559,3007,2133,2815,2315,3880,2559,3007,2133,2815,2315,3880,53
1279,1398,1357,1109,1556,1371,1279,1398,1357,1109,1556,1371,1279,1398,1357,1109,1556,1371,1279,1398,1357,1109,1556,1371,1279,1398,1357,1109,1556,1371,1279,1398,1357,1109,1556,1371,1279,1398,1357,1109,1556,1371,1279,1398,1357,1109,1556,1371,1279,1398,1357,1109,1556,1371,1279,1398,1357,1109,1556,1371,1279,1398,1357,1109,1556,1371,1279,1398,1357,1109,1556,1371,71
4510,4532,4523,4538,4533,4527,4510,4532,4523,4538,4533,4527,4510,4532,4523,4538,4533,4527,4510,4532,4523,4538,4533,4527,4510,4532,4523,4538,4533,4527,4510,4532,4523,4538,4533,4527,4510,4532,4523,4538,4533,4527,4510,4532,4523,4538,4533,4527,4510,4532,4523,4538,4533,4527,4510,4532,4523,4538,4533,4527,4510,4532,4523,4538,4533,4527,4510,4532,4523,4538,4533,4527,155
2277,2279,2272,2255,2297,2289,2277,2279,2272,2255,2297,2289,2277,2279,2272,2255,2297,2289,2277,2279,2272,2255,2297,2289,2277,2279,2272,2255,2297,2289,2277,2279,2272,2255,2297,2289,2277,2279,2272,2255,2297,2289,2277,2279,2272,2255,2297,2289,2277,2279,2272,2255,2297,2289,2277,2279,2272,2255,2297,2289,2277,2279,2272,2255,2297,2289,2277,2279,2272,2255,2297,2289,171
5770,5827,5774,5876,5825,5818,5770,5827,5774,5876,5825,5818,5770,5827,5774,5876,5825,5818,5770,5827,5774,5876,5825,5818,5770,5827,5774,5876,5825,5818,5770,5827,5774,5876,5825,5818,5770,5827,5774,5876,5825,5818,5770,5827,5774,5876,5825,5818,5770,5827,5774,5876,5825,5818,5770,5827,5774,5876,5825,5818,5770,5827,5774,5876,5825,5818,5770,5827,5774,5876,5825,5818,440
7743,7769,7760,7767,7766,7765,7743,7769,7760,7767,7766,7765,7743,7769,7760,7767,7766,7765,7743,7769,7760,7767,7766,7765,7743,7769,7760,7767,7766,7765,7743,7769,7760,7767,7766,7765,7743,7769,7760,7767,7766,7765,7743,7769,7760,7767,7766,7765,7743,7769,7760,7767,7766,7765,7743,7769,7760,7767,7766,7765,7743,7769,7760,7767,7766,7765,7743,7769,7760,7767,7766,7765,122
2837,3352,3040,3150,3098,3096,2837,3352,3040,3150,3098,3096,2837,3352,3040,3150,3098,3096,2837,3352,3040,3150,3098,3096,2837,3352,3040,3150,3098,3096,2837,3352,3040,3150,3098,3096,2837,3352,3040,3150,3098,3096,2837,3352,3040,3150,3098,3096,2837,3352,3040,3150,3098,3096,2837,3352,3040,3150,3098,3096,2837,3352,3040,3150,3098,3096,2837,3352,3040,3150,3098,3096,256
3774,3832,3794,3690,3813,3915,3774,3832,3794,3690,3813,3915,3774,3832,3794,3690,3813,3915,3774,3832,3794,3690,3813,3915,3774,3832,3794,3690,3813,3915,3774,3832,3794,3690,3813,3915,3774,3832,3794,3690,3813,3915,3774,3832,3794,3690,3813,3915,3774,3832,3794,3690,3813,3915,3774,3832,3794,3690,3813,3915,3774,3832,3794,3690,3813,3915,3774,3832,3794,3690,3813,3915,105
6916,8191,8851,7911,8066,7990,6916,8191,8851,7911,8066,7990,6916,8191,8851,7911,8066,7990,6916,8191,8851,7911,8066,7990,6916,8191,8851,7911,8066,7990,6916,8191,8851,7911,8066,7990,6916,8191,8851,7911,8066,7990,6916,8191,8851,7911,8066,7990,6916,8191,8851,7911,8066,7990,6916,8191,8851,7911,8066,7990,6916,8191,8851,7911,8066,7990,6916,8191,8851,7911,8066,7990,548
940,941,933,954,942,943,940,941,933,954,942,943,940,941,933,954,942,943,940,941,933,954,942,943,940,941,933,954,942,943,940,941,933,954,942,943,940,941,933,954,942,943,940,941,933,954,942,943,940,941,933,954,942,943,940,941,933,954,942,943,940,941,933,954,942,943,940,941,933,954,942,943,86
1002,997,949,1001,1053,1012,1002,997,949,1001,1053,1012,1002,997,949,1001,1053,1012,1002,997,949,1001,1053,1012,1002,997,949,1001,1053,1012,1002,997,949,1001,1053,1012,1002,997,949,1001,1053,1012,1002,997,949,1001,1053,1012,1002,997,949,1001,1053,1012,1002,997,949,1001,1053,1012,1002,997,949,1001,1053,1012,1002,997,949,1001,1053,1012,89
1814,1960,2383,2992,2490,2394,1814,1960,2383,2992,2490,2394,1814,1960,2383,2992,2490,2394,1814,1960,2383,2992,2490,2394,1814,1960,2383,2992,2490,2394,1814,1960,2383,2992,2490,2394,1814,1960,2383,2992,2490,2394,1814,1960,2383,2992,2490,2394,1814,1960,2383,2992,2490,2394,1814,1960,2383,2992,2490,2394,1814,1960,2383,2992,2490,2394,1814,1960,2383,2992,2490,2394,280
4436,4183,3921,5171,4497,4443,4436,4183,3921,5171,4497,4443,4436,4183,3921,5171,4497,4443,4436,4183,3921,5171,4497,4443,4436,4183,3921,5171,4497,4443,4436,4183,3921,5171,4497,4443,4436,4183,3921,5171,4497,4443,4436,4183,3921,5171,4497,4443,4436,4183,3921,5171,4497,4443,4436,4183,3921,5171,4497,4443,4436,4183,3921,5171,4497,4443,4436,4183,3921,5171,4497,4443,435
332,325,337,331,333,332,332,325,337,331,333,332,332,325,337,331,333,332,332,325,337,331,333,332,332,325,337,331,333,332,332,325,337,331,333,332,332,325,337,331,333,332,332,325,337,331,333,332,332,325,337,331,333,332,332,325,337,331,333,332,332,325,337,331,333,332,332,325,337,331,333,332,97
5382,5305,5458,5364,5401,5387,5382,5305,5458,5364,5401,5387,5382,5305,5458,5364,5401,5387,5382,5305,5458,5364,5401,5387,5382,5305,5458,5364,5401,5387,5382,5305,5458,5364,5401,5387,5382,5305,5458,5364,5401,5387,5382,5305,5458,5364,5401,5387,5382,5305,5458,5364,5401,5387,5382,5305,5458,5364,5401,5387,5382,5305,5458,5364,5401,5387,5382,5305,5458,5364,5401,5387,466
1075,1114,1120,1079,1123,1113,1075,1114,1120,1079,1123,1113,1075,1114,1120,1079,1123,1113,1075,1114,1120,1079,1123,1113,1075,1114,1120,1079,1123,1113,1075,1114,1120,1079,1123,1113,1075,1114,1120,1079,1123,1113,1075,1114,1120,1079,1123,1113,1075,1114,1120,1079,1123,1113,1075,1114,1120,1079,1123,1113,1075,1114,1120,1079,1123,1113,1075,1114,1120,1079,1123,1113,223
3917,3971,3955,3890,3995,3990,3917,3971,3955,3890,3995,3990,3917,3971,3955,3890,3995,3990,3917,3971,3955,3890,3995,3990,3917,3971,3955,3890,3995,3990,3917,3971,3955,3890,3995,3990,3917,3971,3955,3890,3995,3990,3917,3971,3955,3890,3995,3990,3917,3971,3955,3890,3995,3990,3917,3971,3955,3890,3995,3990,3917,3971,3955,3890,3995,3990,3917,3971,3955,3890,3995,3990,543
411,522,435,503,490,474,411,522,435,503,490,474,411,522,435,503,490,474,411,522,435,503,490,474,411,522,435,503,490,474,411,522,435,503,490,474,411,522,435,503,490,474,411,522,435,503,490,474,411,522,435,503,490,474,411,522,435,503,490,474,411,522,435,503,490,474,411,522,435,503,490,474,228
982,985,983,821,1142,1029,982,985,983,821,1142,1029,982,985,983,821,1142,1029,982,985,983,821,1142,1029,982,985,983,821,1142,1029,982,985,983,821,1142,1029,982,985,983,821,1142,1029,982,985,983,821,1142,1029,982,985,983,821,1142,1029,982,985,983,821,1142,1029,982,985,983,821,1142,1029,982,985,983,821,1142,1029,282
3808,3744,3783,3005,4634,3882,3808,3744,3783,3005,4634,3882,3808,3744,3783,3005,4634,3882,3808,3744,3783,3005,4634,3882,3808,3744,3783,3005,4634,3882,3808,3744,3783,3005,4634,3882,3808,3744,3783,3005,4634,3882,3808,3744,3783,3005,4634,3882,3808,3744,3783,3005,4634,3882,3808,3744,3783,3005,4634,3882,3808,3744,3783,3005,4634,3882,3808,3744,3783,3005,4634,3882,488
12977,11958,13456,14533,13413,13544,12977,11958,13456,14533,13413,13544,12977,11958,13456,14533,13413,13544,12977,11958,13456,14533,13413,13544,12977,11958,13456,14533,13413,13544,12977,11958,13456,14533,13413,13544,12977,11958,13456,14533,13413,13544,12977,11958,13456,14533,13413,13544,12977,11958,13456,14533,13413,13544,12977,11958,13456,14533,13413,13544,12977,11958,13456,14533,13413,13544,12977,11958,13456,14533,13413,13544,553
1735,1733,1735,1495,1973,1736,1735,1733,1735,1495,1973,1736,1735,1733,1735,1495,1973,1736,1735,1733,1735,1495,1973,1736,1735,1733,1735,1495,1973,1736,1735,1733,1735,1495,1973,1736,1735,1733,1735,1495,1973,1736,1735,1733,1735,1495,1973,1736,1735,1733,1735,1495,1973,1736,1735,1733,1735,1495,1973,1736,1735,1733,1735,1495,1973,1736,1735,1733,1735,1495,1973,1736,137
2195,2167,2047,2376,2038,2357,2195,2167,2047,2376,2038,2357,2195,2167,2047,2376,2038,2357,2195,2167,2047,2376,2038,2357,2195,2167,2047,2376,2038,2357,2195,2167,2047,2376,2038,2357,2195,2167,2047,2376,2038,2357,2195,2167,2047,2376,2038,2357,2195,2167,2047,2376,2038,2357,2195,2167,2047,2376,2038,2357,2195,2167,2047,2376,2038,2357,2195,2167,2047,2376,2038,2357,289
3884,3499,4076,4092,3893,3889,3884,3499,4076,4092,3893,3889,3884,3499,4076,4092,3893,3889,3884,3499,4076,4092,3893,3889,3884,3499,4076,4092,3893,3889,3884,3499,4076,4092,3893,3889,3884,3499,4076,4092,3893,3889,3884,3499,4076,4092,3893,3889,3884,3499,4076,4092,3893,3889,3884,3499,4076,4092,3893,3889,3884,3499,4076,4092,3893,3889,3884,3499,4076,4092,3893,3889,421
310,681,549,528,501,733,310,681,549,528,501,733,310,681,549,528,501,733,310,681,549,528,501,733,310,681,549,528,501,733,310,681,549,528,501,733,310,681,549,528,501,733,310,681,549,528,501,733,310,681,549,528,501,733,310,681,549,528,501,733,310,681,549,528,501,733,310,681,549,528,501,733,243
7509,7520,7520,7004,7697,7849,7509,7520,7520,7004,7697,7849,7509,7520,7520,7004,7697,7849,7509,7520,7520,7004,7697,7849,7509,7520,7520,7004,7697,7849,7509,7520,7520,7004,7697,7849,7509,7520,7520,7004,7697,7849,7509,7520,7520,7004,7697,7849,7509,7520,7520,7004,7697,7849,7509,7520,7520,7004,7697,7849,7509,7520,7520,7004,7697,7849,7509,7520,7520,7004,7697,7849,511
3214,3217,3221,3033,3398,3236,3214,3217,3221,3033,3398,3236,3214,3217,3221,3033,3398,3236,3214,3217,3221,3033,3398,3236,3214,3217,3221,3033,3398,3236,3214,3217,3221,3033,3398,3236,3214,3217,3221,3033,3398,3236,3214,3217,3221,3033,3398,3236,3214,3217,3221,3033,3398,3236,3214,3217,3221,3033,3398,3236,3214,3217,3221,3033,3398,3236,3214,3217,3221,3033,3398,3236,80
2981,4111,3089,4488,3448,4245,2981,4111,3089,4488,3448,4245,2981,4111,3089,4488,3448,4245,2981,4111,3089,4488,3448,4245,2981,4111,3089,4488,3448,4245,2981,4111,3089,4488,3448,4245,2981,4111,3089,4488,3448,4245,2981,4111,3089,4488,3448,4245,2981,4111,3089,4488,3448,4245,2981,4111,3089,4488,3448,4245,2981,4111,3089,4488,3448,4245,2981,4111,3089,4488,3448,4245,610
5691,5911,5767,5885,5962,5863,5691,5911,5767,5885,5962,5863,5691,5911,5767,5885,5962,5863,5691,5911,5767,5885,5962,5863,5691,5911,5767,5885,5962,5863,5691,5911,5767,5885,5962,5863,5691,5911,5767,5885,5962,5863,5691,5911,5767,5885,5962,5863,5691,5911,5767,5885,5962,5863,5691,5911,5767,5885,5962,5863,5691,5911,5767,5885,5962,5863,5691,5911,5767,5885,5962,5863,153
5770,5912,6509,6345,6278,6350,5770,5912,6509,6345,6278,6350,5770,5912,6509,6345,6278,6350,5770,5912,6509,6345,6278,6350,5770,5912,6509,6345,6278,6350,5770,5912,6509,6345,6278,6350,5770,5912,6509,6345,6278,6350,5770,5912,6509,6345,6278,6350,5770,5912,6509,6345,6278,6350,5770,5912,6509,6345,6278,6350,5770,5912,6509,6345,6278,6350,5770,5912,6509,6345,6278,6350,446
2524,2521,2532,2547,2539,2536,2524,2521,2532,2547,2539,2536,2524,2521,2532,2547,2539,2536,2524,2521,2532,2547,2539,2536,2524,2521,2532,2547,2539,2536,2524,2521,2532,2547,2539,2536,2524,2521,2532,2547,2539,2536,2524,2521,2532,2547,2539,2536,2524,2521,2532,2547,2539,2536,2524,2521,2532,2547,2539,2536,2524,2521,2532,2547,2539,2536,2524,2521,2532,2547,2539,2536,145
1640,1533,2062,1752,1813,1781,1640,1533,2062,1752,1813,1781,1640,1533,2062,1752,1813,1781,1640,1533,2062,1752,1813,1781,1640,1533,2062,1752,1813,1781,1640,1533,2062,1752,1813,1781,1640,1533,2062,1752,1813,1781,1640,1533,2062,1752,1813,1781,1640,1533,2062,1752,1813,1781,1640,1533,2062,1752,1813,1781,1640,1533,2062,1752,1813,1781,1640,1533,2062,1752,1813,1781,63
3499,3088,4373,2433,4984,4070,3499,3088,4373,2433,4984,4070,3499,3088,4373,2433,4984,4070,3499,3088,4373,2433,4984,4070,3499,3088,4373,2433,4984,4070,3499,3088,4373,2433,4984,4070,3499,3088,4373,2433,4984,4070,3499,3088,4373,2433,4984,4070,3499,3088,4373,2433,4984,4070,3499,3088,4373,2433,4984,4070,3499,3088,4373,2433,4984,4070,3499,3088,4373,2433,4984,4070,452
3519,3522,3526,3522,3516,3532,3519,3522,3526,3522,3516,3532,3519,3522,3526,3522,3516,3532,3519,3522,3526,3522,3516,3532,3519,3522,3526,3522,3516,3532,3519,3522,3526,3522,3516,3532,3519,3522,3526,3522,3516,3532,3519,3522,3526,3522,3516,3532,3519,3522,3526,3522,3516,3532,3519,3522,3526,3522,3516,3532,3519,3522,3526,3522,3516,3532,3519,3522,3526,3522,3516,3532,434
3321,3560,3544,4420,3835,3805,3321,3560,3544,4420,3835,3805,3321,3560,3544,4420,3835,3805,3321,3560,3544,4420,3835,3805,3321,3560,3544,4420,3835,3805,3321,3560,3544,4420,3835,3805,3321,3560,3544,4420,3835,3805,3321,3560,3544,4420,3835,3805,3321,3560,3544,4420,3835,3805,3321,3560,3544,4420,3835,3805,3321,3560,3544,4420,3835,3805,3321,3560,3544,4420,3835,3805,24
1944,2076,2455,2174,2128,2221,1944,2076,2455,2174,2128,2221,1944,2076,2455,2174,2128,2221,1944,2076,2455,2174,2128,2221,1944,2076,2455,2174,2128,2221,1944,2076,2455,2174,2128,2221,1944,2076,2455,2174,2128,2221,1944,2076,2455,2174,2128,2221,1944,2076,2455,2174,2128,2221,1944,2076,2455,2174,2128,2221,1944,2076,2455,2174,2128,2221,1944,2076,2455,2174,2128,2221,189
1460,829,2446,1844,1305,2005,1460,829,2446,1844,1305,2005,1460,829,2446,1844,1305,2005,1460,829,2446,1844,1305,2005,1460,829,2446,1844,1305,2005,1460,829,2446,1844,1305,2005,1460,829,2446,1844,1305,2005,1460,829,2446,1844,1305,2005,1460,829,2446,1844,1305,2005,1460,829,2446,1844,1305,2005,1460,829,2446,1844,1305,2005,1460,829,2446,1844,1305,2005,478
3659,3659,3687,3758,3644,3770,3659,3659,3687,3758,3644,3770,3659,3659,3687,3758,3644,3770,3659,3659,3687,3758,3644,3770,3659,3659,3687,3758,3644,3770,3659,3659,3687,3758,3644,3770,3659,3659,3687,3758,3644,3770,3659,3659,3687,3758,3644,3770,3659,3659,3687,3758,3644,3770,3659,3659,3687,3758,3644,3770,3659,3659,3687,3758,3644,3770,3659,3659,3687,3758,3644,3770,580
967,997,992,986,971,1001,967,997,992,986,971,1001,967,997,992,986,971,1001,967,997,992,986,971,1001,967,997,992,986,971,1001,967,997,992,986,971,1001,967,997,992,986,971,1001,967,997,992,986,971,1001,967,997,992,986,971,1001,967,997,992,986,971,1001,967,997,992,986,971,1001,967,997,992,986,971,1001,51
2423,2057,2829,2437,2350,2532,2423,2057,2829,2437,2350,2532,2423,2057,2829,2437,2350,2532,2423,2057,2829,2437,2350,2532,2423,2057,2829,2437,2350,2532,2423,2057,2829,2437,2350,2532,2423,2057,2829,2437,2350,2532,2423,2057,2829,2437,2350,2532,2423,2057,2829,2437,2350,2532,2423,2057,2829,2437,2350,2532,2423,2057,2829,2437,2350,2532,2423,2057,2829,2437,2350,2532,592
7445,7564,7510,7207,7499,7814,7445,7564,7510,7207,7499,7814,7445,7564,7510,7207,7499,7814,7445,7564,7510,7207,7499,7814,7445,7564,7510,7207,7499,7814,7445,7564,7510,7207,7499,7814,7445,7564,7510,7207,7499,7814,7445,7564,7510,7207,7499,7814,7445,7564,7510,7207,7499,7814,7445,7564,7510,7207,7499,7814,7445,7564,7510,7207,7499,7814,7445,7564,7510,7207,7499,7814,427
3161,3788,1989,4462,4220,3534,3161,3788,1989,4462,4220,3534,3161,3788,1989,4462,4220,3534,3161,3788,1989,4462,4220,3534,3161,3788,1989,4462,4220,3534,3161,3788,1989,4462,4220,3534,3161,3788,1989,4462,4220,3534,3161,3788,1989,4462,4220,3534,3161,3788,1989,4462,4220,3534,3161,3788,1989,4462,4220,3534,3161,3788,1989,4462,4220,3534,3161,3788,1989,4462,4220,3534,81
1373,1181,1496,635,2307,1426,1373,1181,1496,635,2307,1426,1373,1181,1496,635,2307,1426,1373,1181,1496,635,2307,1426,1373,1181,1496,635,2307,1426,1373,1181,1496,635,2307,1426,1373,1181,1496,635,2307,1426,1373,1181,1496,635,2307,1426,1373,1181,1496,635,2307,1426,1373,1181,1496,635,2307,1426,1373,1181,1496,635,2307,1426,1373,1181,1496,635,2307,1426,422
6909,6909,6908,6907,6891,6929,6909,6909,6908,6907,6891,6929,6909,6909,6908,6907,6891,6929,6909,6909,6908,6907,6891,6929,6909,6909,6908,6907,6891,6929,6909,6909,6908,6907,6891,6929,6909,6909,6908,6907,6891,6929,6909,6909,6908,6907,6891,6929,6909,6909,6908,6907,6891,6929,6909,6909,6908,6907,6891,6929,6909,6909,6908,6907,6891,6929,6909,6909,6908,6907,6891,6929,18
3328,3333,3323,3321,3324,3365,3328,3333,3323,3321,3324,3365,3328,3333,3323,3321,3324,3365,3328,3333,3323,3321,3324,3365,3328,3333,3323,3321,3324,3365,3328,3333,3323,3321,3324,3365,3328,3333,3323,3321,3324,3365,3328,3333,3323,3321,3324,3365,3328,3333,3323,3321,3324,3365,3328,3333,3323,3321,3324,3365,3328,3333,3323,3321,3324,3365,3328,3333,3323,3321,3324,3365,564
4291,4131,5089,3313,6104,4770,4291,4131,5089,3313,6104,4770,4291,4131,5089,3313,6104,4770,4291,4131,5089,3313,6104,4770,4291,4131,5089,3313,6104,4770,4291,4131,5089,3313,6104,4770,4291,4131,5089,3313,6104,4770,4291,4131,5089,3313,6104,4770,4291,4131,5089,3313,6104,4770,4291,4131,5089,3313,6104,4770,4291,4131,5089,3313,6104,4770,4291,4131,5089,3313,6104,4770,628
993,1039,969,1065,1015,1019,993,1039,969,1065,1015,1019,993,1039,969,1065,1015,1019,993,1039,969,1065,1015,1019,993,1039,969,1065,1015,1019,993,1039,969,1065,1015,1019,993,1039,969,1065,1015,1019,993,1039,969,1065,1015,1019,993,1039,969,1065,1015,1019,993,1039,969,1065,1015,1019,993,1039,969,1065,1015,1019,993,1039,969,1065,1015,1019,139
2184,2605,2416,2314,2488,2404,2184,2605,2416,2314,2488,2404,2184,2605,2416,2314,2488,2404,2184,2605,2416,2314,2488,2404,2184,2605,2416,2314,2488,2404,2184,2605,2416,2314,2488,2404,2184,2605,2416,2314,2488,2404,2184,2605,2416,2314,2488,2404,2184,2605,2416,2314,2488,2404,2184,2605,2416,2314,2488,2404,2184,2605,2416,2314,2488,2404,2184,2605,2416,2314,2488,2404,163
3876,4748,4332,4068,4451,4502,3876,4748,4332,4068,4451,4502,3876,4748,4332,4068,4451,4502,3876,4748,4332,4068,4451,4502,3876,4748,4332,4068,4451,4502,3876,4748,4332,4068,4451,4502,3876,4748,4332,4068,4451,4502,3876,4748,4332,4068,4451,4502,3876,4748,4332,4068,4451,4502,3876,4748,4332,4068,4451,4502,3876,4748,4332,4068,4451,4502,3876,4748,4332,4068,4451,4502,577
3234,3867,3019,3921,3655,3622,3234,3867,3019,3921,3655,3622,3234,3867,3019,3921,3655,3622,3234,3867,3019,3921,3655,3622,3234,3867,3019,3921,3655,3622,3234,3867,3019,3921,3655,3622,3234,3867,3019,3921,3655,3622,3234,3867,3019,3921,3655,3622,3234,3867,3019,3921,3655,3622,3234,3867,3019,3921,3655,3622,3234,3867,3019,3921,3655,3622,3234,3867,3019,3921,3655,3622,123
337,364,353,350,356,352,337,364,353,350,356,352,337,364,353,350,356,352,337,364,353,350,356,352,337,364,353,350,356,352,337,364,353,350,356,352,337,364,353,350,356,352,337,364,353,350,356,352,337,364,353,350,356,352,337,364,353,350,356,352,337,364,353,350,356,352,337,364,353,350,356,352,496
9637,9589,9546,9835,9657,9674,9637,9589,9546,9835,9657,9674,9637,9589,9546,9835,9657,9674,9637,9589,9546,9835,9657,9674,9637,9589,9546,9835,9657,9674,9637,9589,9546,9835,9657,9674,9637,9589,9546,9835,9657,9674,9637,9589,9546,9835,9657,9674,9637,9589,9546,9835,9657,9674,9637,9589,9546,9835,9657,9674,9637,9589,9546,9835,9657,9674,9637,9589,9546,9835,9657,9674,510
4588,4594,4486,4636,4637,4621,4588,4594,4486,4636,4637,4621,4588,4594,4486,4636,4637,4621,4588,4594,4486,4636,4637,4621,4588,4594,4486,4636,4637,4621,4588,4594,4486,4636,4637,4621,4588,4594,4486,4636,4637,4621,4588,4594,4486,4636,4637,4621,4588,4594,4486,4636,4637,4621,4588,4594,4486,4636,4637,4621,4588,4594,4486,4636,4637,4621,4588,4594,4486,4636,4637,4621,129
1472,1646,1554,1562,1560,1561,1472,1646,1554,1562,1560,1561,1472,1646,1554,1562,1560,1561,1472,1646,1554,1562,1560,1561,1472,1646,1554,1562,1560,1561,1472,1646,1554,1562,1560,1561,1472,1646,1554,1562,1560,1561,1472,1646,1554,1562,1560,1561,1472,1646,1554,1562,1560,1561,1472,1646,1554,1562,1560,1561,1472,1646,1554,1562,1560,1561,1472,1646,1554,1562,1560,1561,354
1488,1224,1396,1348,1872,1596,1488,1224,1396,1348,1872,1596,1488,1224,1396,1348,1872,1596,1488,1224,1396,1348,1872,1596,1488,1224,1396,1348,1872,1596,1488,1224,1396,1348,1872,1596,1488,1224,1396,1348,1872,1596,1488,1224,1396,1348,1872,1596,1488,1224,1396,1348,1872,1596,1488,1224,1396,1348,1872,1596,1488,1224,1396,1348,1872,1596,1488,1224,1396,1348,1872,1596,202
1787,1836,1803,2018,1785,1981,1787,1836,1803,2018,1785,1981,1787,1836,1803,2018,1785,1981,1787,1836,1803,2018,1785,1981,1787,1836,1803,2018,1785,1981,1787,1836,1803,2018,1785,1981,1787,1836,1803,2018,1785,1981,1787,1836,1803,2018,1785,1981,1787,1836,1803,2018,1785,1981,1787,1836,1803,2018,1785,1981,1787,1836,1803,2018,1785,1981,1787,1836,1803,2018,1785,1981,255
4464,4750,4898,5317,4702,5054,4464,4750,4898,5317,4702,5054,4464,4750,4898,5317,4702,5054,4464,4750,4898,5317,4702,5054,4464,4750,4898,5317,4702,5054,4464,4750,4898,5317,4702,5054,4464,4750,4898,5317,4702,5054,4464,4750,4898,5317,4702,5054,4464,4750,4898,5317,4702,5054,4464,4750,4898,5317,4702,5054,4464,4750,4898,5317,4702,5054,4464,4750,4898,5317,4702,5054,418
1830,1900,2164,1973,1973,1973,1830,1900,2164,1973,1973,1973,1830,1900,2164,1973,1973,1973,1830,1900,2164,1973,1973,1973,1830,1900,2164,1973,1973,1973,1830,1900,2164,1973,1973,1973,1830,1900,2164,1973,1973,1973,1830,1900,2164,1973,1973,1973,1830,1900,2164,1973,1973,1973,1830,1900,2164,1973,1973,1973,1830,1900,2164,1973,1973,1973,1830,1900,2164,1973,1973,1973,308
5759,5738,5854,5067,6777,5878,5759,5738,5854,5067,6777,5878,5759,5738,5854,5067,6777,5878,5759,5738,5854,5067,6777,5878,5759,5738,5854,5067,6777,5878,5759,5738,5854,5067,6777,5878,5759,5738,5854,5067,6777,5878,5759,5738,5854,5067,6777,5878,5759,5738,5854,5067,6777,5878,5759,5738,5854,5067,6777,5878,5759,5738,5854,5067,6777,5878,5759,5738,5854,5067,6777,5878,566
3124,3406,3122,3511,3294,3300,3124,3406,3122,3511,3294,3300,3124,3406,3122,3511,3294,3300,3124,3406,3122,3511,3294,3300,3124,3406,3122,3511,3294,3300,3124,3406,3122,3511,3294,3300,3124,3406,3122,3511,3294,3300,3124,3406,3122,3511,3294,3300,3124,3406,3122,3511,3294,3300,3124,3406,3122,3511,3294,3300,3124,3406,3122,3511,3294,3300,3124,3406,3122,3511,3294,3300,279
47,46,47,46,37,57,47,46,47,46,37,57,47,46,47,46,37,57,47,46,47,46,37,57,47,46,47,46,37,57,47,46,47,46,37,57,47,46,47,46,37,57,47,46,47,46,37,57,47,46,47,46,37,57,47,46,47,46,37,57,47,46,47,46,37,57,47,46,47,46,37,57,92
4218,4057,4275,4596,4480,4327,4218,4057,4275,4596,4480,4327,4218,4057,4275,4596,4480,4327,4218,4057,4275,4596,4480,4327,4218,4057,4275,4596,4480,4327,4218,4057,4275,4596,4480,4327,4218,4057,4275,4596,4480,4327,4218,4057,4275,4596,4480,4327,4218,4057,4275,4596,4480,4327,4218,4057,4275,4596,4480,4327,4218,4057,4275,4596,4480,4327,4218,4057,4275,4596,4480,4327,258
